glu1	ac1	o21	glu2	ac2	o22	sd	fitness
301	-4	-14	-7	-2	-18	-7	0.0080266797811667	0.941482
215	-2	-4	-5	-2	-16	-1	0.00596006535923624	0.932065
415	-2	-4	-5	-2	-2	-1	0.00911709742118906	0.926428
499	-2	0	-1	-2	-14	-5	0.00908794936865284	0.926204
136	-2	-2	-6	-4	-14	-7	0.000107959557461977	0.925583
217	-2	-10	-5	-2	-10	-1	0.00307186729746808	0.921555
417	-2	-4	-5	-2	0	-1	0.00736461634097437	0.920696
355	-2	-16	-5	-2	0	-3	0.00645655859255686	0.920125
388	-4	-18	-2	-2	-16	-7	0.00367287086599724	0.918151
145	-4	-2	-2	-2	-18	-7	0.0133051743475445	0.918077
394	-4	-14	-2	-2	-12	-7	0.00832797637890412	0.916452
472	-2	-14	-2	-2	-2	-5	0.00676187534258984	0.916428
419	-4	0	-2	-2	-4	-7	0.0138584531884598	0.91632
229	-2	-6	-5	-2	0	-2	0.00645206235732105	0.915865
297	-4	-16	-7	-2	-12	-4	0.000460363448519099	0.915746
295	-4	-18	-7	-2	-16	-4	0.000463599261274857	0.915743
227	-2	-18	-5	-2	0	-3	0.000771331940161868	0.915044
479	-2	-18	-2	-2	-4	-5	0.00300170122308442	0.914058
371	-4	-18	-2	-2	-8	-7	0.00518969334021662	0.913167
365	-4	-2	-2	-2	-12	-7	0.0129076271786667	0.913139
467	-2	-16	-3	-6	-12	-7	0.000150586298785157	0.912917
495	-4	0	-2	-2	-12	-7	0.0111749616045269	0.91281
491	-2	-6	-2	-2	-12	-5	0.00236235476169791	0.912761
465	-2	-16	-3	-6	-18	-7	0.00034254024699019	0.912691
322	-2	-6	-3	-6	-10	-7	0.000342732140448288	0.912637
384	-6	-16	-7	-2	-6	-3	0.000342732140448288	0.912637
497	-2	0	-2	-2	-14	-5	0.0043713706255503	0.912526
219	-2	-12	-5	-2	-10	-3	0.00459924873107132	0.912456
469	-2	-14	-3	-6	-10	-7	0.000149161226102547	0.912411
