1: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-10', p5_ac2='-18', p6_o22='-7',1,0.799765
2: p1_glu1='-4', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',2,0.314466
3: p1_glu1='-10', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-8', p6_o22='-2',3,0.73602
4: p1_glu1='-10', p2_ac1='-2', p3_o21='-4', p4_glu2='-14', p5_ac2='-8', p6_o22='-6',4,0.676845
5: p1_glu1='-18', p2_ac1='-10', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-4',5,0.396132
6: p1_glu1='-8', p2_ac1='-10', p3_o21='-5', p4_glu2='-2', p5_ac2='-16', p6_o22='-3',6,0.79851
7: p1_glu1='-2', p2_ac1='-2', p3_o21='-3', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',7,0.32411
8: p1_glu1='-2', p2_ac1='-12', p3_o21='-7', p4_glu2='-20', p5_ac2='-16', p6_o22='-7',8,0.688887
9: p1_glu1='-8', p2_ac1='-6', p3_o21='-1', p4_glu2='-14', p5_ac2='-4', p6_o22='-7',9,0.704592
10: p1_glu1='-2', p2_ac1='-18', p3_o21='-5', p4_glu2='-4', p5_ac2='-6', p6_o22='-5',10,0.880819
11: p1_glu1='-14', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',11,0.63261
12: p1_glu1='-20', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-14', p6_o22='-3',12,0.5216
13: p1_glu1='-6', p2_ac1='0', p3_o21='-4', p4_glu2='-6', p5_ac2='-18', p6_o22='-1',13,0.465466
14: p1_glu1='-18', p2_ac1='-12', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-6',14,0.599219
15: p1_glu1='-10', p2_ac1='-2', p3_o21='-6', p4_glu2='-12', p5_ac2='-2', p6_o22='-7',15,0.709951
16: p1_glu1='-4', p2_ac1='-6', p3_o21='-7', p4_glu2='-16', p5_ac2='-2', p6_o22='-7',16,0.703487
17: p1_glu1='-16', p2_ac1='0', p3_o21='-5', p4_glu2='-10', p5_ac2='-2', p6_o22='-3',17,0.459141
18: p1_glu1='-14', p2_ac1='-2', p3_o21='-5', p4_glu2='-4', p5_ac2='-18', p6_o22='-1',18,0.57708
19: p1_glu1='-10', p2_ac1='-2', p3_o21='-7', p4_glu2='-10', p5_ac2='-16', p6_o22='-7',19,0.792498
20: p1_glu1='-16', p2_ac1='-8', p3_o21='-1', p4_glu2='-4', p5_ac2='-12', p6_o22='-4',20,0.44787
21: p1_glu1='-10', p2_ac1='-2', p3_o21='-7', p4_glu2='-4', p5_ac2='-8', p6_o22='-1',21,0.763693
22: p1_glu1='-4', p2_ac1='-8', p3_o21='-4', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',22,0.873338
23: p1_glu1='-4', p2_ac1='-16', p3_o21='-4', p4_glu2='-2', p5_ac2='0', p6_o22='-1',23,0.823306
24: p1_glu1='-2', p2_ac1='-6', p3_o21='-6', p4_glu2='-14', p5_ac2='-12', p6_o22='-2',24,0.497035
25: p1_glu1='-8', p2_ac1='-14', p3_o21='-4', p4_glu2='-4', p5_ac2='-8', p6_o22='-1',25,0.687725
26: p1_glu1='-18', p2_ac1='-8', p3_o21='-3', p4_glu2='-6', p5_ac2='-4', p6_o22='-2',26,0.518646
27: p1_glu1='-8', p2_ac1='-14', p3_o21='-4', p4_glu2='-4', p5_ac2='-14', p6_o22='-1',27,0.687861
28: p1_glu1='-10', p2_ac1='-12', p3_o21='-4', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',28,0.758103
29: p1_glu1='-2', p2_ac1='-10', p3_o21='-4', p4_glu2='-2', p5_ac2='-6', p6_o22='-1',29,0.820997
30: p1_glu1='-18', p2_ac1='-10', p3_o21='-5', p4_glu2='-16', p5_ac2='-12', p6_o22='-3',30,0.573839
31: p1_glu1='-4', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='0', p6_o22='-1',31,0.784427
32: p1_glu1='-2', p2_ac1='-4', p3_o21='-6', p4_glu2='-8', p5_ac2='-18', p6_o22='-5',32,0.793578
33: p1_glu1='-2', p2_ac1='-2', p3_o21='-4', p4_glu2='-6', p5_ac2='-4', p6_o22='-1',33,0.49568
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-4', p4_glu2='-12', p5_ac2='-6', p6_o22='-1',34,0.491998
35: p1_glu1='-2', p2_ac1='-4', p3_o21='-4', p4_glu2='-10', p5_ac2='-4', p6_o22='-1',35,0.459463
36: p1_glu1='-2', p2_ac1='-14', p3_o21='-4', p4_glu2='-2', p5_ac2='-10', p6_o22='-6',36,0.866998
37: p1_glu1='-4', p2_ac1='-2', p3_o21='-6', p4_glu2='-10', p5_ac2='-6', p6_o22='-3',37,0.63577
38: p1_glu1='-18', p2_ac1='-18', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-5',38,0.677656
39: p1_glu1='-2', p2_ac1='-4', p3_o21='-5', p4_glu2='-8', p5_ac2='-6', p6_o22='-3',39,0.63761
40: p1_glu1='-6', p2_ac1='0', p3_o21='-1', p4_glu2='-12', p5_ac2='-8', p6_o22='-7',40,0.773556
41: p1_glu1='-2', p2_ac1='-6', p3_o21='-6', p4_glu2='-8', p5_ac2='0', p6_o22='-2',41,0.608996
42: p1_glu1='-8', p2_ac1='-6', p3_o21='-4', p4_glu2='-8', p5_ac2='-12', p6_o22='-4',42,0.692768
43: p1_glu1='-2', p2_ac1='-2', p3_o21='-4', p4_glu2='-8', p5_ac2='0', p6_o22='-3',43,0.475717
