glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-7	-10	-18	-7	0.799765
-4	-4	-2	-12	-2	-1	0.314466
-10	-18	-6	-8	-8	-2	0.73602
-10	-2	-4	-14	-8	-6	0.676845
-18	-10	-1	-2	-14	-4	0.396132
-8	-10	-5	-2	-16	-3	0.79851
-2	-2	-3	-12	-8	-1	0.32411
-2	-12	-7	-20	-16	-7	0.688887
-8	-6	-1	-14	-4	-7	0.704592
-2	-18	-5	-4	-6	-5	0.880819
-14	-12	-4	-4	-10	-7	0.63261
-20	-14	-3	-6	-14	-3	0.5216
-6	0	-4	-6	-18	-1	0.465466
-18	-12	-4	-16	-18	-6	0.599219
-10	-2	-6	-12	-2	-7	0.709951
-4	-6	-7	-16	-2	-7	0.703487
-16	0	-5	-10	-2	-3	0.459141
-14	-2	-5	-4	-18	-1	0.57708
-10	-2	-7	-10	-16	-7	0.792498
-16	-8	-1	-4	-12	-4	0.44787
-10	-2	-7	-4	-8	-1	0.763693
-4	-8	-4	-4	-4	-6	0.873338
-4	-16	-4	-2	0	-1	0.823306
-2	-6	-6	-14	-12	-2	0.497035
-8	-14	-4	-4	-8	-1	0.687725
-18	-8	-3	-6	-4	-2	0.518646
-8	-14	-4	-4	-14	-1	0.687861
-10	-12	-4	-10	-8	-7	0.758103
-2	-10	-4	-2	-6	-1	0.820997
-18	-10	-5	-16	-12	-3	0.573839
-4	-12	-4	-4	0	-1	0.784427
-2	-4	-6	-8	-18	-5	0.793578
-2	-2	-4	-6	-4	-1	0.49568
-20	-2	-4	-12	-6	-1	0.491998
-2	-4	-4	-10	-4	-1	0.459463
-2	-14	-4	-2	-10	-6	0.866998
-4	-2	-6	-10	-6	-3	0.63577
-18	-18	-7	-12	-2	-5	0.677656
-2	-4	-5	-8	-6	-3	0.63761
-6	0	-1	-12	-8	-7	0.773556
-2	-6	-6	-8	0	-2	0.608996
-8	-6	-4	-8	-12	-4	0.692768
-2	-2	-4	-8	0	-3	0.475717
-8	-12	-3	-10	-4	-6	0.736863
-14	-2	-7	-10	0	-4	0.674116
-10	-18	-1	-8	0	-7	0.527099
-20	-6	-3	-18	-8	-7	0.623264
-12	-12	-1	-2	-4	-6	0.460559
-6	-2	-1	-2	-16	-5	0.622971
-12	-16	-1	-2	-6	-5	0.46856
-12	-2	-7	-6	-14	-1	0.701482
-6	-8	-1	-8	0	-5	0.476756
-12	-2	-1	-12	-12	-2	0.408695
-6	-10	-3	-4	-2	-5	0.748426
-2	-10	-4	-6	-6	-1	0.571878
-6	-10	-3	-20	-8	-2	0.475957
-4	-8	-4	-8	-4	-2	0.619427
-4	-12	-5	-18	-16	-1	0.458966
-2	-18	-4	-6	-2	-2	0.615096
-6	-6	-6	-16	-10	-6	0.670941
-2	-10	-5	-6	-2	-2	0.649041
-12	-16	-1	-4	0	-2	0.287932
-4	-18	-5	-6	-6	-2	0.759238
-20	-10	-7	-12	-2	-7	0.679293
-2	-12	-5	-6	-6	-3	0.719869
-2	0	-4	-2	0	-2	0.792148
-8	-18	-1	-2	-10	-4	0.504772
-4	-4	-4	-2	-4	-1	0.816388
-14	0	-1	-4	0	-2	0.27896
-2	-2	-4	-4	-6	-1	0.664694
-6	0	-1	-2	0	-2	0.312572
-4	-8	-4	-2	0	-1	0.82324
-20	-10	-2	-14	-14	-3	0.483638
-4	-8	-4	-4	0	-1	0.784427
-16	-6	-6	-4	0	-5	0.666373
-2	-4	-4	-2	-6	-1	0.820469
-4	-4	-4	-4	-4	-6	0.86684
-6	-16	-6	-18	-10	-3	0.57189
-2	-6	-4	-4	-2	-6	0.882241
-20	0	-7	-12	-2	-1	0.38765
-4	-6	-4	-4	-4	-6	0.867147
-12	-10	-1	-14	-18	-5	0.609065
-4	-4	-4	-4	0	-6	0.865223
-14	-12	-7	-2	-18	-3	0.750704
-4	-6	-5	-4	0	-7	0.895203
-12	-6	-3	-14	-16	-2	0.498405
-4	-4	-4	-4	0	-7	0.877339
-4	0	-5	-6	0	-7	0.725047
-10	-14	-6	-18	-8	-4	0.612241
-2	0	-4	-6	-2	-6	0.83965
-8	-8	-6	-14	-10	-4	0.656965
-4	0	-4	-6	-12	-7	0.905604
-18	-12	-6	-18	-10	-1	0.575147
-2	-14	-4	-6	0	-6	0.82346
-10	-16	-7	-12	-4	-2	0.713115
-2	0	-4	-6	0	-5	0.605648
-12	-10	-7	-14	-14	-6	0.736266
-4	0	-4	-8	-10	-7	0.861688
-12	0	-4	-6	-14	-6	0.69769
-8	-14	-6	-2	-2	-6	0.8225
-12	0	-7	-6	-18	-7	0.805285
-20	-18	-7	-18	-12	-5	0.646153
-2	-4	-5	-4	-2	-4	0.830792
-10	-10	-4	-10	-14	-4	0.638598
-2	-16	-7	-2	-6	-6	0.866998
-18	-6	-6	-16	-10	-3	0.611736
-4	-8	-7	-4	0	-7	0.903042
-10	-10	-4	-4	-8	-5	0.693451
-2	-10	-7	-2	-6	-6	0.866998
-4	-10	-7	-4	-14	-7	0.902855
-16	-10	-7	-20	-2	-7	0.676964
-4	-4	-4	-4	-16	-7	0.886747
-4	-12	-5	-6	-8	-2	0.754172
-4	-4	-5	-2	-18	-7	0.899248
-12	-16	-5	-14	-8	-2	0.597541
-2	-6	-7	-2	-14	-7	0.866998
-16	-18	-1	-14	-18	-6	0.611565
-4	-8	-6	-4	-16	-7	0.903251
-12	-2	-5	-10	-10	-4	0.629233
-2	-12	-5	-4	-18	-7	0.906661
-6	-6	-4	-2	-16	-7	0.804754
-10	-12	-1	-18	-6	-1	0.269345
-6	-8	-4	-2	-2	-7	0.78052
-8	-18	-3	-4	-12	-3	0.628453
-6	-10	-4	-2	-2	-7	0.786545
-12	-8	-5	-6	-2	-1	0.667875
-6	-10	-4	-2	-6	-7	0.799847
-10	-18	-5	-12	0	-7	0.762466
-6	-4	-4	-2	-6	-7	0.810404
-20	0	-6	-20	-8	-1	0.355216
-10	-12	-1	-12	0	-2	0.296383
-4	0	-5	-4	0	-7	0.818794
-4	-10	-5	-12	-4	-5	0.701294
-4	-2	-6	-4	0	-7	0.887386
-8	-10	-1	-4	-2	-1	0.281145
-2	-2	-6	-4	-14	-7	0.925583
-8	-8	-4	-8	-14	-4	0.692768
-2	-2	-5	-2	-4	-7	0.866998
-2	0	-4	-8	0	-2	0.383459
-4	-2	-5	-2	-18	-7	0.91089
-2	-16	-4	-14	-6	-1	0.424141
-4	0	-5	-2	-18	-7	0.905683
-4	-2	-2	-2	-14	-7	0.91011
-4	0	-6	-20	-18	-4	0.584838
-4	-2	-2	-2	-18	-7	0.918077
-14	-16	-5	-14	-18	-5	0.640635
-2	-6	-1	-4	-2	-7	0.878157
