glu1	ac1	o21	glu2	ac2	o22	sd	fitness
26	-16	-16	-28	-8	-4	-2	6.72583592540618e-05	0.89952
317	-18	-10	-26	-14	-8	-2	0.000445912051643167	0.895777
339	-18	-10	-28	-14	-8	-2	2.86989817342611e-05	0.894385
345	-20	-12	-24	-10	0	-6	0	0.89225
195	-20	-12	-24	-14	0	-4	0.000669635128462492	0.892178
186	-18	0	-1	-16	-2	-28	0.000694348311741769	0.892029
333	-16	-4	-26	-12	0	-4	0.000601391077429459	0.890587
309	-12	0	-2	-18	-10	-22	0.000357269974946118	0.889688
329	-16	-12	-22	-14	0	-2	0.000524833781420321	0.889095
448	-16	-2	-2	-18	-18	-20	0.000642180814833745	0.889045
413	-20	-14	-26	-12	-18	-4	0.00747605322303545	0.887604
29	-18	-18	-20	-10	-16	-8	0.0011732751674632	0.886685
203	-20	-10	-26	-12	0	-4	0.000495070769112999	0.885752
295	-20	-10	-24	-14	-14	-4	0.000672605993830091	0.885458
419	-14	-2	-26	-12	-12	-4	0.00153733801024612	0.884741
335	-20	-12	-24	-10	0	-2	0.000235334330279959	0.883016
297	-20	-12	-22	-14	-12	-4	0.000716150532308071	0.882155
207	-20	-12	-22	-14	-2	-4	0	0.881335
343	-16	-16	-20	-10	0	-4	0.00051620390908378	0.881081
348	-12	-14	-28	-20	0	-2	0.00561012687491857	0.880712
303	-18	-12	-20	-14	-16	-4	0.000610419132566984	0.880551
64	-18	-12	-20	-14	-4	-4	0.000842701982373091	0.88035
427	-18	-18	-6	-18	-12	-24	1.18273612099047e-07	0.880292
439	-14	-14	-26	-14	-10	-2	0.00142679327909805	0.880007
250	-18	-12	-2	-14	-8	-24	0.000935776770323945	0.879586
415	-20	-10	-26	-12	-12	-4	0.00043293674161074	0.879116
379	-16	-10	-20	-14	-18	-4	0.000932247613156172	0.878907
377	-16	-10	-20	-14	-4	-4	0.000995847493147893	0.878617
411	-20	-14	-22	-14	-18	-4	0.000584097639323693	0.878505
46	-18	-14	-20	-14	0	-10	0.00274396592886135	0.876823
441	-8	-16	-26	-18	0	-4	0.0121380469903166	0.87533
131	-18	-12	-18	-14	-6	-8	0.00193390755161516	0.875219
209	-20	-12	-20	-12	-2	-8	0.00132370201309832	0.873948
160	-16	-18	-16	-10	-4	-2	0.000337524159870188	0.873898
129	-16	-16	-18	-12	-8	-8	0.00898061276765864	0.873567
92	-8	-14	-14	-20	-18	-15	0	0.873376
349	-12	-18	-16	-12	-12	-14	0	0.873138
102	-10	-2	-22	-8	-16	-1	0.00112044739421636	0.872693
353	-18	-12	-22	-14	-18	-8	0.000577391340421903	0.872388
369	-20	-12	-20	-10	-8	-10	0.00182179063941877	0.87236
53	-10	-16	-4	-18	-4	-24	0.000359381049170824	0.871582
277	-8	-16	-16	-14	-18	-14	0.00607335201206311	0.871508
257	-14	-12	-20	-12	-6	-8	0.00203245110770448	0.871455
425	-18	-10	-20	-14	-6	-4	0.00540620576733129	0.870754
267	-8	-6	-14	-10	-18	-16	0	0.870646
457	-16	-18	-15	-12	-10	-14	0.00587265206512009	0.870531
305	-14	0	-1	-12	-10	-24	0.00479418716038834	0.870091
183	-12	-8	-15	-10	-16	-15	0.00167076083168008	0.870002
293	-16	-18	-16	-12	-10	-14	0.0058303247351512	0.869777
495	-20	-6	-24	-14	-2	-4	4.59162450268192e-05	0.869632
459	-12	-18	-15	-12	-12	-14	0.000514093360765069	0.869193
165	-10	-18	-16	-8	-18	-14	0.00344731925904756	0.869175
140	-10	-16	-18	-12	-8	-4	0.000247741115187421	0.869115
331	-20	-10	-22	-14	-18	-4	0.000124574393679951	0.868891
381	-16	-10	-20	-14	-18	-2	0.000526842601967914	0.868769
1	-10	-18	-15	-10	-18	-15	0	0.868626
383	-16	-10	-20	-14	-4	-2	3.64863253548466e-05	0.868423
477	-14	-16	-18	-12	-8	-4	0.000158461340510116	0.868059
479	-20	-10	-20	-12	-10	-8	0.00056248495072427	0.867768
351	-12	-18	-16	-12	-10	-13	0.00557445826182682	0.867563
489	-10	-18	-15	-12	-16	-14	0	0.866957
179	-8	-16	-18	-12	-8	-12	0.00383976555958282	0.866878
112	-14	-18	-15	-4	0	-11	0	0.86649
259	-16	-12	-20	-10	0	-4	0.000516219342934334	0.866263
287	-16	-16	-15	-12	-16	-14	0.0103470427129732	0.866022
285	-10	-18	-16	-10	-12	-14	0.00105691590833963	0.865975
465	-20	-10	-22	-12	-6	-4	0.000446202156506	0.865635
261	-8	-12	-18	-12	-10	-12	0.00219957897705724	0.865325
323	-2	-14	-4	-10	-18	-22	0.000121291576141844	0.864895
223	-14	-14	-15	-8	-8	-15	0.00434388356410171	0.864878
42	-18	-14	-18	-2	-18	-4	5.22048521326263e-06	0.864848
493	-8	-16	-14	-12	-16	-16	0	0.86386
394	-14	-14	-4	-18	-8	-20	0.00094015831797035	0.863581
357	-8	-18	-16	-12	-8	-13	0.00483607498640114	0.863561
58	-18	-18	-20	-12	-8	-1	0.000278400088371401	0.862976
239	-20	-16	-15	-14	-18	-14	0.00828617579294326	0.862942
289	-10	-18	-14	-12	-16	-13	0.000260336956385765	0.862532
272	-18	-14	-22	-18	-2	-4	0.00122308935076461	0.862262
487	-8	-8	-14	-12	-18	-15	0	0.862145
201	-20	-10	-20	-12	0	-8	0	0.861828
368	-8	-18	-11	-14	-16	-14	0.00780922499732044	0.861376
283	-18	-14	-16	-14	-6	-14	0.00514477325645338	0.861328
302	-10	-16	-14	-8	-14	-14	0.00652991955218178	0.861327
43	-10	-4	-18	-10	-16	-6	0.000750006228734875	0.861198
167	-10	-14	-16	-8	-12	-14	0	0.860856
199	-20	-12	-20	-14	0	-4	0.000745914138209729	0.860647
211	-20	-10	-20	-14	-2	-6	0.00112698924307142	0.860608
461	-8	-18	-15	-10	-14	-15	0.000823356957455148	0.860579
260	-8	-14	-13	-10	-16	-16	0.0025933392446551	0.860355
398	-12	-4	-15	-16	-14	-15	0.0111951883888841	0.860347
233	-8	-12	-20	-12	0	-10	0.00873457106281049	0.8603
27	-14	-18	-20	-16	-4	-10	0.000471232219611875	0.860286
175	-16	-12	-15	-12	-16	-15	6.00585386171964e-05	0.860063
273	-18	-18	-16	-20	-10	-14	0.00252896180650895	0.859927
107	-10	-18	-15	-8	-6	-2	0.000328186242209474	0.85964
235	-10	-16	-16	-10	-18	-8	0.00280622662209759	0.859495
215	-10	-16	-15	-8	-6	-15	0.00150303247671958	0.859169
475	-16	-12	-16	-14	-10	-6	0.000491050585481557	0.858846
225	-12	-8	-20	-14	-4	-2	0.00062875478060695	0.858623
177	-10	-16	-18	-12	-8	-11	0.00138467049326552	0.857723
123	-10	-18	-15	-8	-8	-8	0.000742488988224901	0.857709
181	-8	-16	-18	-12	-8	-11	0.00948939449727021	0.857446
447	-12	-12	-14	-10	-14	-13	0.00512673689648052	0.857433
32	-8	-18	-14	-20	-12	-16	0.00182618658483005	0.857348
171	-10	-18	-18	-14	-18	-11	0.000628785606247536	0.85698
265	-10	-10	-15	-6	-14	-13	0.0040055427375347	0.856846
154	-10	-6	-14	-8	-12	-14	0.0069617929745079	0.856756
191	-16	-8	-15	-8	-12	-14	0.0028087753001571	0.856746
499	-10	-10	-13	-14	-18	-14	0.0050794737919749	0.856349
219	-16	-8	-15	-8	-6	-15	0.00373696508553232	0.855385
