glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-15	-10	-18	-15	0.868626
-2	-6	-14	-16	-6	-12	0.779781
-18	-10	-2	-2	-14	-15	0.628984
-20	-2	-6	-4	0	-1	0.466012
-2	-2	-12	-12	-8	-1	0.195708
-10	-14	-12	-14	-6	-10	0.817186
-20	-18	-2	-12	-18	-16	0.814666
-20	-18	-10	-12	-10	-10	0.7746
-10	-6	-2	-6	-16	-2	0.265903
-14	0	-4	-12	-12	-12	0.787251
-20	-18	-6	-6	-10	-20	0.742107
-8	0	-11	-6	-14	-16	0
-18	-16	-12	-2	-16	-4	0.816543
-2	-6	-28	-4	-14	-2	0
-18	-16	-14	-8	-16	-2	0.848721
-2	-16	-18	-2	-6	-10	0.498081
-10	-18	-28	-16	-4	-1	0
-2	-6	-1	-10	-6	-10	0.761466
-18	-14	-2	-6	-6	-4	0.426743
-4	-10	-26	-6	-10	-2	0
-20	-12	-2	-10	-18	-4	0.453167
-4	-12	-16	-18	-14	-4	0.689615
-14	-18	-20	-12	-6	-10	0
-8	-14	-20	-4	-14	-1	0
-10	-18	-20	-12	-4	-8	0
-16	-16	-28	-8	-4	-2	0.89952
-14	-18	-20	-16	-4	-10	0.860286
-20	-10	-1	-10	-18	-24	0.847648
-18	-18	-20	-10	-16	-8	0.886685
-16	-16	-18	-2	-10	-1	0
-16	-18	-22	-12	-2	-8	0
-8	-18	-14	-20	-12	-16	0.857348
-8	-16	-26	-10	-18	-2	0
-20	-2	-1	-12	-18	-8	0.640632
-2	0	-22	-8	-16	-4	0.54963
-8	-16	-11	-2	-2	-13	0
-4	-14	-24	-14	-18	-2	0.786154
-8	0	-13	-12	-6	-14	0.82681
-6	-12	-20	-12	-18	-6	0
-10	-8	-1	-16	-16	-8	0.721363
-8	-6	-20	-12	-16	-6	0.84248
-18	-14	-18	-2	-18	-4	0.864848
-10	-4	-18	-10	-16	-6	0.861198
-18	0	-22	-12	0	-6	0.836603
-8	-14	-10	-18	-14	-4	0.687544
-18	-14	-20	-14	0	-10	0.876823
-16	-4	-14	-4	-4	-11	0.773025
-20	-4	-20	-14	-2	-6	0.806236
-16	-8	-13	-4	-4	-11	0.822946
-20	-14	-22	-16	-2	-6	0
-10	-12	-18	-16	-10	-12	0.846216
-20	-2	-20	-20	-2	-4	0.699605
-10	-16	-4	-18	-4	-24	0.871582
-18	-4	-22	-18	-2	-4	0.818403
-8	0	-4	-18	0	-15	0.74228
-20	-14	-15	-12	-18	-4	0.830649
-10	-10	-10	-16	-2	-14	0.795893
-18	-18	-20	-12	-8	-1	0.862976
-10	-2	-12	-14	-2	-15	0.756276
-6	-6	-2	-8	-2	-10	0.692345
-6	-6	-16	-18	0	-14	0.704685
-14	-2	-6	-18	-14	-13	0.808766
-12	-2	-14	-16	0	-15	0.558247
-18	-12	-20	-14	-4	-4	0.88035
-6	-10	-4	-18	0	-15	0.40637
-10	0	-18	-4	-14	-8	0
-16	-4	-13	-16	0	-16	0.720736
-10	0	-15	-2	-4	-8	0
-2	-18	-12	-12	0	-10	0.758444
-10	0	-15	-4	-6	-11	0
-8	-6	-12	-6	-14	-8	0.81756
-10	0	-16	-6	-16	-6	0.76257
-2	-10	-18	-18	-4	-4	0.616425
-20	0	-15	-2	-8	-4	0.362212
-4	0	-8	-12	0	-13	0.768785
-20	0	-15	-2	-4	-12	0.374158
-10	-18	-14	-10	-8	-6	0.846273
-16	-18	-12	-4	-2	-4	0.822031
-10	-18	-16	-12	-10	-6	0.84276
-16	-2	-6	-6	-10	-1	0.452535
-8	-18	-14	-10	-12	-6	0.818964
-4	-6	-1	-4	-4	-28	0
-10	-18	-14	-8	-16	-6	0.851931
-8	-6	-13	-6	-18	-15	0
-14	-18	-18	-18	-14	-6	0.835258
-8	-12	-14	-6	-4	-16	0
-14	-18	-14	-14	-12	-6	0.833988
-8	-16	-14	-14	-18	-14	0.855297
-14	-16	-2	-16	-14	-13	0.78835
-8	-16	-16	-14	-18	-12	0.854532
-18	-14	-8	-2	-6	-10	0.722688
-8	-14	-14	-20	-18	-15	0.873376
-6	-6	-12	-20	0	-16	0.623015
-8	-14	-16	-20	-18	-10	0.807452
-14	0	-28	-6	-2	-1	0
-8	-14	-16	-16	-18	-8	0.801599
-2	-2	-2	-2	-18	-22	0
-8	-18	-13	-16	-18	-10	0.806714
-12	-18	-14	-12	-8	-2	0.831298
-4	-16	-18	-4	0	-6	0
-10	-16	-14	-14	-10	-2	0.818208
-10	-2	-22	-8	-16	-1	0.872693
-12	-18	-15	-14	-8	-2	0.831183
-6	0	-2	-2	-18	-16	0
