glu1	ac1	o21	glu2	ac2	o22	fitness
-8	-8	-6	-8	0	-13	0.806497
-12	-8	-11	-12	-8	-16	0.882684
-14	-18	-10	-4	-4	-11	0.815213
-12	-14	-11	-12	-14	-15	0.884048
-16	-18	-11	-16	0	-2	0.799908
-16	-18	-28	-8	-4	-2	0.93941
-10	-16	-8	-10	-16	-15	0.892493
-20	-18	-28	-14	-4	-2	0
-12	-2	-14	-10	-12	-12	0.86895
-10	-16	-20	-18	-4	-10	0.867169
-14	-2	-28	-8	-2	-2	0
-12	-16	-10	-6	-16	-14	0.853616
-14	-18	-28	-12	-2	-1	0
-2	-6	-14	-16	-2	-16	0.768275
-12	-2	-28	-10	0	-1	0
-4	-4	-2	-4	-14	-1	0.222676
-14	-12	-22	-8	-2	-1	0.927188
-14	-14	-8	-6	-6	-15	0.813349
-14	-12	-26	-10	-2	-2	0
-20	-12	-12	-12	-6	-14	0.83704
-14	-6	-22	-12	0	-1	0.924576
-14	-14	-18	-12	-4	-12	0.899705
-10	0	-16	-16	-18	-6	0.764289
-20	-12	-13	-6	-8	-11	0.859304
-14	-14	-16	-14	-18	-11	0.882406
-16	0	-4	-10	-18	-4	0.450877
-14	-14	-16	-14	-6	-14	0.895758
-20	-8	-20	-8	-4	-6	0
-10	-14	-16	-16	-16	-14	0.887388
-4	-4	-4	-6	-12	-2	0.479773
-14	-16	-16	-10	-18	-11	0.915156
-10	-18	-24	-20	-2	-6	0.878246
-12	-14	-11	-14	-14	-10	0.844243
-10	-12	-24	-18	-2	-2	0.904319
-18	-18	-8	-4	-18	-20	0.808546
-12	-14	-24	-20	-2	-6	0.878654
-6	-12	-12	-16	-8	-2	0.718646
-16	-16	-22	-10	-2	-2	0.916645
-2	-10	-2	-8	-16	-22	0
-16	-14	-22	-8	-2	-2	0.918624
-8	-6	-12	-2	-4	-8	0.85294
-12	-12	-22	-10	0	-1	0.914605
-18	0	-1	-16	-2	-28	0.93043
-10	-14	-22	-10	0	-1	0
-18	-4	-2	-16	-16	-28	0
-10	-14	-6	-14	-10	-24	0.914092
-20	0	-24	-4	-18	-2	0.46941
-10	-6	-22	-10	-12	-1	0
-20	-4	-6	-16	-14	-12	0.798699
-10	-18	-6	-14	-12	-24	0.918132
-10	-14	-11	-10	0	-8	0.833566
-12	-10	-16	-6	-12	-10	0.907323
-2	-18	-6	-10	-2	-14	0.841918
-12	-10	-16	-6	-14	-10	0.907955
-8	-14	-14	-14	-6	-2	0.804161
-12	-10	-16	-4	-18	-14	0.894757
-8	-10	-2	-18	-6	-18	0.874203
-12	-16	-16	-6	-4	-13	0
-10	-18	-10	-4	0	-1	0.826102
-12	-14	-16	-4	-4	-11	0
-2	-16	-16	-4	-12	-10	0.743828
-16	-18	-20	-18	-4	-4	0.898692
-4	-2	-1	-16	-14	-20	0
-16	-16	-24	-18	-4	-1	0
