1: p1_glu1='-10', p2_ac1='-18', p3_o21='-15', p4_glu2='-10', p5_ac2='-18', p6_o22='-15',1,0.906386
2: p1_glu1='-2', p2_ac1='-6', p3_o21='-14', p4_glu2='-16', p5_ac2='-6', p6_o22='-12',2,0.813667
3: p1_glu1='-18', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-14', p6_o22='-15',3,0.650734
4: p1_glu1='-20', p2_ac1='-2', p3_o21='-6', p4_glu2='-4', p5_ac2='0', p6_o22='-1',4,0.490071
5: p1_glu1='-2', p2_ac1='-2', p3_o21='-12', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',5,0.212198
6: p1_glu1='-10', p2_ac1='-14', p3_o21='-12', p4_glu2='-14', p5_ac2='-6', p6_o22='-10',6,0.853768
7: p1_glu1='-20', p2_ac1='-18', p3_o21='-2', p4_glu2='-12', p5_ac2='-18', p6_o22='-16',7,0.83105
8: p1_glu1='-20', p2_ac1='-18', p3_o21='-10', p4_glu2='-12', p5_ac2='-10', p6_o22='-10',8,0.805931
9: p1_glu1='-10', p2_ac1='-6', p3_o21='-2', p4_glu2='-6', p5_ac2='-16', p6_o22='-2',9,0.285906
10: p1_glu1='-14', p2_ac1='0', p3_o21='-4', p4_glu2='-12', p5_ac2='-12', p6_o22='-12',10,0.817167
11: p1_glu1='-20', p2_ac1='-18', p3_o21='-6', p4_glu2='-6', p5_ac2='-10', p6_o22='-20',11,0.774472
12: p1_glu1='-8', p2_ac1='0', p3_o21='-11', p4_glu2='-6', p5_ac2='-14', p6_o22='-16',12,0
13: p1_glu1='-18', p2_ac1='-16', p3_o21='-12', p4_glu2='-2', p5_ac2='-16', p6_o22='-4',13,0.851303
14: p1_glu1='-2', p2_ac1='-6', p3_o21='-28', p4_glu2='-4', p5_ac2='-14', p6_o22='-2',14,0
15: p1_glu1='-18', p2_ac1='-16', p3_o21='-14', p4_glu2='-8', p5_ac2='-16', p6_o22='-2',15,0.885207
16: p1_glu1='-2', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-6', p6_o22='-10',16,0.533166
17: p1_glu1='-10', p2_ac1='-18', p3_o21='-28', p4_glu2='-16', p5_ac2='-4', p6_o22='-1',17,0
18: p1_glu1='-2', p2_ac1='-6', p3_o21='-1', p4_glu2='-10', p5_ac2='-6', p6_o22='-10',18,0.796791
19: p1_glu1='-18', p2_ac1='-14', p3_o21='-2', p4_glu2='-6', p5_ac2='-6', p6_o22='-4',19,0.448005
20: p1_glu1='-4', p2_ac1='-10', p3_o21='-26', p4_glu2='-6', p5_ac2='-10', p6_o22='-2',20,0
21: p1_glu1='-20', p2_ac1='-12', p3_o21='-2', p4_glu2='-10', p5_ac2='-18', p6_o22='-4',21,0.474236
22: p1_glu1='-4', p2_ac1='-12', p3_o21='-16', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',22,0.722505
23: p1_glu1='-18', p2_ac1='-16', p3_o21='-20', p4_glu2='-8', p5_ac2='-16', p6_o22='-8',23,0.919801
24: p1_glu1='-8', p2_ac1='-14', p3_o21='-20', p4_glu2='-4', p5_ac2='-14', p6_o22='-1',24,0
25: p1_glu1='-14', p2_ac1='-18', p3_o21='-20', p4_glu2='-12', p5_ac2='-6', p6_o22='-10',25,0
26: p1_glu1='-16', p2_ac1='-16', p3_o21='-28', p4_glu2='-8', p5_ac2='-4', p6_o22='-2',26,0.936844
27: p1_glu1='-10', p2_ac1='-18', p3_o21='-20', p4_glu2='-12', p5_ac2='-4', p6_o22='-8',27,0.893851
28: p1_glu1='-20', p2_ac1='-10', p3_o21='-1', p4_glu2='-10', p5_ac2='-18', p6_o22='-24',28,0.879379
29: p1_glu1='-14', p2_ac1='-14', p3_o21='-20', p4_glu2='-14', p5_ac2='-10', p6_o22='-8',29,0
30: p1_glu1='-16', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-10', p6_o22='-1',30,0
31: p1_glu1='-14', p2_ac1='-16', p3_o21='-20', p4_glu2='-18', p5_ac2='-6', p6_o22='-8',31,0.883448
32: p1_glu1='-8', p2_ac1='-18', p3_o21='-14', p4_glu2='-20', p5_ac2='-12', p6_o22='-16',32,0.89255
33: p1_glu1='-14', p2_ac1='-8', p3_o21='-24', p4_glu2='-4', p5_ac2='-16', p6_o22='-6',33,0
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-1', p4_glu2='-12', p5_ac2='-18', p6_o22='-8',34,0.665503
35: p1_glu1='-12', p2_ac1='-2', p3_o21='-24', p4_glu2='-4', p5_ac2='-16', p6_o22='-4',35,0
36: p1_glu1='-8', p2_ac1='-16', p3_o21='-11', p4_glu2='-2', p5_ac2='-2', p6_o22='-13',36,0
37: p1_glu1='-2', p2_ac1='-8', p3_o21='-26', p4_glu2='-2', p5_ac2='-16', p6_o22='-4',37,0.533168
38: p1_glu1='-8', p2_ac1='0', p3_o21='-13', p4_glu2='-12', p5_ac2='-6', p6_o22='-14',38,0
39: p1_glu1='-4', p2_ac1='-4', p3_o21='-26', p4_glu2='-2', p5_ac2='-16', p6_o22='-4',39,0.743828
40: p1_glu1='-10', p2_ac1='-8', p3_o21='-1', p4_glu2='-16', p5_ac2='-16', p6_o22='-8',40,0.751588
41: p1_glu1='-2', p2_ac1='-8', p3_o21='-22', p4_glu2='-4', p5_ac2='-18', p6_o22='-4',41,0
42: p1_glu1='-18', p2_ac1='-14', p3_o21='-18', p4_glu2='-2', p5_ac2='-18', p6_o22='-4',42,0.901703
43: p1_glu1='-12', p2_ac1='-4', p3_o21='-24', p4_glu2='-4', p5_ac2='-16', p6_o22='-4',43,0
44: p1_glu1='-18', p2_ac1='-16', p3_o21='-20', p4_glu2='-8', p5_ac2='-16', p6_o22='-1',44,0
45: p1_glu1='-8', p2_ac1='-14', p3_o21='-10', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',45,0.715198
46: p1_glu1='-20', p2_ac1='-18', p3_o21='-16', p4_glu2='-8', p5_ac2='-16', p6_o22='-1',46,0.910804
47: p1_glu1='-16', p2_ac1='-4', p3_o21='-14', p4_glu2='-4', p5_ac2='-4', p6_o22='-11',47,0.806678
48: p1_glu1='-20', p2_ac1='-16', p3_o21='-10', p4_glu2='-8', p5_ac2='-18', p6_o22='-1',48,0.802648
49: p1_glu1='-16', p2_ac1='-8', p3_o21='-13', p4_glu2='-4', p5_ac2='-4', p6_o22='-11',49,0.859027
50: p1_glu1='-18', p2_ac1='-16', p3_o21='-16', p4_glu2='-10', p5_ac2='-16', p6_o22='-1',50,0.90526
51: p1_glu1='-10', p2_ac1='-12', p3_o21='-18', p4_glu2='-16', p5_ac2='-10', p6_o22='-12',51,0.882162
52: p1_glu1='-18', p2_ac1='-14', p3_o21='-14', p4_glu2='-10', p5_ac2='-14', p6_o22='-1',52,0.84036
53: p1_glu1='-10', p2_ac1='-16', p3_o21='-4', p4_glu2='-18', p5_ac2='-4', p6_o22='-24',53,0.909272
54: p1_glu1='-20', p2_ac1='-16', p3_o21='-10', p4_glu2='-8', p5_ac2='-8', p6_o22='-16',54,0.831437
55: p1_glu1='-14', p2_ac1='-16', p3_o21='-16', p4_glu2='-10', p5_ac2='-2', p6_o22='-2',55,0
56: p1_glu1='-20', p2_ac1='-14', p3_o21='-15', p4_glu2='-12', p5_ac2='-18', p6_o22='-4',56,0.865599
57: p1_glu1='-20', p2_ac1='-16', p3_o21='-18', p4_glu2='-16', p5_ac2='-2', p6_o22='-2',57,0.868857
58: p1_glu1='-18', p2_ac1='-18', p3_o21='-20', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',58,0.899104
59: p1_glu1='-20', p2_ac1='-18', p3_o21='-18', p4_glu2='-10', p5_ac2='-2', p6_o22='-2',59,0.904226
60: p1_glu1='-6', p2_ac1='-6', p3_o21='-2', p4_glu2='-8', p5_ac2='-2', p6_o22='-10',60,0.727149
61: p1_glu1='-20', p2_ac1='-18', p3_o21='-16', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',61,0.860493
62: p1_glu1='-14', p2_ac1='-2', p3_o21='-6', p4_glu2='-18', p5_ac2='-14', p6_o22='-13',62,0.843584
63: p1_glu1='-16', p2_ac1='-18', p3_o21='-16', p4_glu2='-18', p5_ac2='0', p6_o22='-2',63,0.897346
64: p1_glu1='-18', p2_ac1='-12', p3_o21='-20', p4_glu2='-14', p5_ac2='-4', p6_o22='-4',64,0.918384
65: p1_glu1='-10', p2_ac1='-18', p3_o21='-15', p4_glu2='-18', p5_ac2='-2', p6_o22='-1',65,0.818264
66: p1_glu1='-16', p2_ac1='-2', p3_o21='-18', p4_glu2='-12', p5_ac2='-8', p6_o22='-6',66,0.795975
67: p1_glu1='-16', p2_ac1='-4', p3_o21='-13', p4_glu2='-16', p5_ac2='0', p6_o22='-16',67,0.756081
68: p1_glu1='-20', p2_ac1='-4', p3_o21='-16', p4_glu2='-20', p5_ac2='-6', p6_o22='-2',68,0.757839
69: p1_glu1='-2', p2_ac1='-18', p3_o21='-12', p4_glu2='-12', p5_ac2='0', p6_o22='-10',69,0.795077
70: p1_glu1='-18', p2_ac1='-2', p3_o21='-18', p4_glu2='-10', p5_ac2='-2', p6_o22='-6',70,0.784782
71: p1_glu1='-8', p2_ac1='-6', p3_o21='-12', p4_glu2='-6', p5_ac2='-14', p6_o22='-8',71,0.854897
72: p1_glu1='-16', p2_ac1='0', p3_o21='-15', p4_glu2='-20', p5_ac2='-6', p6_o22='-6',72,0.705127
73: p1_glu1='-2', p2_ac1='-10', p3_o21='-18', p4_glu2='-18', p5_ac2='-4', p6_o22='-4',73,0.640492
74: p1_glu1='-16', p2_ac1='-16', p3_o21='-22', p4_glu2='-12', p5_ac2='-8', p6_o22='-4',74,0.927596
75: p1_glu1='-4', p2_ac1='0', p3_o21='-8', p4_glu2='-12', p5_ac2='0', p6_o22='-13',75,0.798556
76: p1_glu1='-16', p2_ac1='-8', p3_o21='-24', p4_glu2='-18', p5_ac2='-8', p6_o22='-4',76,0.892505
77: p1_glu1='-18', p2_ac1='-18', p3_o21='-20', p4_glu2='-12', p5_ac2='-8', p6_o22='-10',77,0
78: p1_glu1='-16', p2_ac1='-18', p3_o21='-12', p4_glu2='-4', p5_ac2='-2', p6_o22='-4',78,0.857537
79: p1_glu1='-20', p2_ac1='-18', p3_o21='-20', p4_glu2='-12', p5_ac2='-2', p6_o22='-10',79,0.930411
80: p1_glu1='-16', p2_ac1='-2', p3_o21='-6', p4_glu2='-6', p5_ac2='-10', p6_o22='-1',80,0.476657
81: p1_glu1='-20', p2_ac1='-14', p3_o21='-20', p4_glu2='-10', p5_ac2='-8', p6_o22='-10',81,0.906552
82: p1_glu1='-4', p2_ac1='-6', p3_o21='-1', p4_glu2='-4', p5_ac2='-4', p6_o22='-28',82,0
83: p1_glu1='-18', p2_ac1='-12', p3_o21='-20', p4_glu2='-14', p5_ac2='-4', p6_o22='-10',83,0.906253
84: p1_glu1='-8', p2_ac1='-6', p3_o21='-13', p4_glu2='-6', p5_ac2='-18', p6_o22='-15',84,0
85: p1_glu1='-20', p2_ac1='-16', p3_o21='-20', p4_glu2='-20', p5_ac2='0', p6_o22='-10',85,0.876414
86: p1_glu1='-8', p2_ac1='-12', p3_o21='-14', p4_glu2='-6', p5_ac2='-4', p6_o22='-16',86,0
87: p1_glu1='-16', p2_ac1='-16', p3_o21='-20', p4_glu2='-20', p5_ac2='-12', p6_o22='-10',87,0.900717
88: p1_glu1='-20', p2_ac1='-16', p3_o21='-10', p4_glu2='-8', p5_ac2='-4', p6_o22='-1',88,0.802648
89: p1_glu1='-14', p2_ac1='-16', p3_o21='-2', p4_glu2='-16', p5_ac2='-14', p6_o22='-13',89,0.821058
90: p1_glu1='-18', p2_ac1='-18', p3_o21='-18', p4_glu2='-8', p5_ac2='0', p6_o22='-1',90,0.907508
91: p1_glu1='-18', p2_ac1='-14', p3_o21='-8', p4_glu2='-2', p5_ac2='-6', p6_o22='-10',91,0.75229
92: p1_glu1='-16', p2_ac1='-18', p3_o21='-14', p4_glu2='-8', p5_ac2='0', p6_o22='-1',92,0.861862
93: p1_glu1='-6', p2_ac1='-6', p3_o21='-12', p4_glu2='-20', p5_ac2='0', p6_o22='-16',93,0.657041
94: p1_glu1='-16', p2_ac1='-14', p3_o21='-12', p4_glu2='-8', p5_ac2='-4', p6_o22='-1',94,0.851316
95: p1_glu1='-14', p2_ac1='0', p3_o21='-28', p4_glu2='-6', p5_ac2='-2', p6_o22='-1',95,0
96: p1_glu1='-18', p2_ac1='-18', p3_o21='-13', p4_glu2='-8', p5_ac2='-2', p6_o22='-1',96,0.868318
97: p1_glu1='-2', p2_ac1='-2', p3_o21='-2', p4_glu2='-2', p5_ac2='-18', p6_o22='-22',97,0
98: p1_glu1='-12', p2_ac1='-4', p3_o21='-8', p4_glu2='-10', p5_ac2='0', p6_o22='-14',98,0.729721
99: p1_glu1='-16', p2_ac1='-18', p3_o21='-28', p4_glu2='-10', p5_ac2='-2', p6_o22='-1',99,0.939563
100: p1_glu1='-4', p2_ac1='-16', p3_o21='-18', p4_glu2='-4', p5_ac2='0', p6_o22='-6',100,0
101: p1_glu1='-16', p2_ac1='-18', p3_o21='-28', p4_glu2='-16', p5_ac2='-2', p6_o22='-1',101,0.947081
102: p1_glu1='-10', p2_ac1='-2', p3_o21='-22', p4_glu2='-8', p5_ac2='-16', p6_o22='-1',102,0.908658
103: p1_glu1='-16', p2_ac1='-10', p3_o21='-26', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',103,0.933131
104: p1_glu1='-6', p2_ac1='0', p3_o21='-2', p4_glu2='-2', p5_ac2='-18', p6_o22='-16',104,0
105: p1_glu1='-16', p2_ac1='-12', p3_o21='-26', p4_glu2='-14', p5_ac2='-4', p6_o22='-1',105,0
106: p1_glu1='-18', p2_ac1='-18', p3_o21='-4', p4_glu2='-6', p5_ac2='-10', p6_o22='-11',106,0.691232
107: p1_glu1='-18', p2_ac1='-18', p3_o21='-20', p4_glu2='-6', p5_ac2='-4', p6_o22='-10',107,0.915445
108: p1_glu1='-2', p2_ac1='-18', p3_o21='-6', p4_glu2='-6', p5_ac2='-18', p6_o22='-8',108,0.801272
109: p1_glu1='-20', p2_ac1='-18', p3_o21='-24', p4_glu2='-6', p5_ac2='0', p6_o22='-6',109,0
110: p1_glu1='-6', p2_ac1='-18', p3_o21='-2', p4_glu2='-4', p5_ac2='-18', p6_o22='-13',110,0
111: p1_glu1='-10', p2_ac1='-14', p3_o21='-6', p4_glu2='-6', p5_ac2='-12', p6_o22='-20',111,0
112: p1_glu1='-2', p2_ac1='-18', p3_o21='-12', p4_glu2='-4', p5_ac2='-4', p6_o22='-15',112,0.744105
113: p1_glu1='-2', p2_ac1='0', p3_o21='-13', p4_glu2='-18', p5_ac2='-8', p6_o22='-2',113,0.329214
114: p1_glu1='-2', p2_ac1='-18', p3_o21='-12', p4_glu2='-2', p5_ac2='-4', p6_o22='-18',114,0.533168
115: p1_glu1='-16', p2_ac1='0', p3_o21='-16', p4_glu2='-8', p5_ac2='-2', p6_o22='-2',115,0.378901
116: p1_glu1='-2', p2_ac1='-18', p3_o21='-4', p4_glu2='-4', p5_ac2='-6', p6_o22='-18',116,0.744102
