glu1	ac1	o21	glu2	ac2	o22	sd	fitness
101	-16	-18	-28	-16	-2	-1	0.000510700266778881	0.947081
99	-16	-18	-28	-10	-2	-1	0.000251525507242124	0.939563
149	-16	-18	-28	-8	-4	-2	9.35597875026765e-05	0.93941
229	-20	-16	-24	-16	0	-4	0.000922590216763281	0.939346
26	-16	-16	-28	-8	-4	-2	1.99046661040944e-05	0.936844
493	-18	-4	-4	-20	-10	-26	0.00109817692896971	0.935456
227	-14	-14	-24	-14	0	-6	0.00162753570698129	0.935273
103	-16	-10	-26	-12	-2	-1	0.000290818446432892	0.933131
483	-20	-14	-22	-20	-8	-2	0.0009780121471023	0.932177
355	-14	-18	-22	-8	-10	-2	0.000196619519089732	0.93204
329	-12	-18	-4	-20	-16	-26	0.000516726974801233	0.931191
331	-12	-10	-4	-20	-16	-26	0.000516782608059613	0.931191
215	-20	-12	-24	-14	-2	-4	0.000722032134007967	0.930824
186	-18	0	-1	-16	-2	-28	0.00063509168438108	0.93043
79	-20	-18	-20	-12	-2	-10	0.0020258565106258	0.930411
267	-14	-14	-2	-12	-18	-26	4.04708105099543e-08	0.929085
211	-10	-16	-4	-18	-8	-26	0.000433061905493444	0.928847
339	-20	-8	-24	-14	-2	-6	0.00109873725198164	0.92878
289	-12	-6	-4	-20	-12	-24	0.000450335362119966	0.928752
335	-12	-10	-1	-18	-10	-26	0.000271564177531289	0.928422
265	-16	-16	-1	-20	-16	-26	2.66438488459432e-08	0.928198
74	-16	-16	-22	-12	-8	-4	0.000610257078418879	0.927596
357	-16	-10	-22	-12	-12	-4	0.000704224455403069	0.927485
491	-14	-4	-4	-20	-10	-26	0.000619006409231569	0.927431
160	-14	-12	-22	-8	-2	-1	0.000159337762176278	0.927188
448	-16	-2	-2	-18	-18	-20	0.000694176878787686	0.926876
213	-10	-18	-1	-18	-12	-26	1.18454954659434e-08	0.926589
251	-16	-18	-20	-10	-18	-6	0.000635692113670967	0.925337
407	-16	-16	-20	-18	-10	-1	0.000820421429204288	0.925227
311	-16	-10	-2	-12	-8	-28	0.00496999497279223	0.92475
