glu1	ac1	o21	glu2	ac2	o22	sd	fitness
165	-20	0	-8	-20	-12	-22	0	1.23278
167	-20	0	-8	-20	-10	-22	0	1.23278
205	-20	0	-8	-20	-14	-22	0	1.23278
211	-20	-6	-8	-20	-18	-22	0	1.23278
343	-20	-12	-22	-20	-14	-8	0	1.23278
397	-20	-8	-8	-20	-18	-22	0	1.23278
400	-20	-8	-8	-20	-16	-22	0	1.23278
474	-20	-16	-8	-20	-14	-22	0	1.23278
259	-20	0	-24	-20	-12	-6	0	1.22542
320	-20	-18	-24	-20	-18	-6	0	1.22542
487	-20	-8	-6	-20	-14	-24	0	1.22542
197	-20	0	-11	-20	-16	-18	0	1.22248
472	-20	-16	-11	-20	-10	-18	0	1.22248
299	-18	-2	-10	-20	-14	-20	0	1.21235
355	-18	-6	-10	-20	-16	-20	0	1.21235
357	-18	-6	-10	-20	-14	-20	0	1.21235
359	-18	-8	-10	-20	-14	-20	0	1.21235
149	-18	-6	-8	-20	-18	-22	0	1.20499
154	-18	-10	-8	-20	-12	-22	0	1.20499
156	-18	-6	-8	-20	-16	-22	0	1.20499
158	-18	-10	-8	-20	-8	-22	0	1.20499
231	-18	-4	-8	-20	-6	-22	0	1.20499
265	-18	-2	-8	-20	-8	-22	0	1.20499
267	-18	-2	-8	-20	-18	-22	0	1.20499
279	-18	-4	-8	-20	-10	-22	0	1.20499
281	-18	-2	-8	-20	-10	-22	0	1.20499
295	-18	-16	-8	-20	-8	-22	0	1.20499
305	-18	0	-8	-20	-10	-22	0	1.20499
307	-18	-8	-8	-20	-16	-22	0	1.20499
475	-18	-12	-8	-20	-12	-22	0	1.20499
477	-18	-12	-8	-20	-16	-22	0	1.20499
405	-20	-8	-8	-18	-16	-22	0	1.20079
408	-20	-8	-8	-18	-18	-22	0	1.20079
415	-20	-10	-8	-18	-8	-22	0	1.20079
417	-20	-12	-8	-18	-8	-22	0	1.20079
419	-20	-10	-8	-18	-16	-22	0	1.20079
493	-20	-10	-10	-20	-4	-18	0	1.19748
341	-20	-4	-28	-20	-4	-2	0	1.19462
173	-18	0	-14	-20	-10	-15	0	1.19283
269	-20	-8	-8	-20	-18	-20	0	1.19012
462	-18	-8	-24	-20	-14	-6	0	1.18526
74	-18	-14	-4	-20	-16	-26	0	1.18453
110	-18	-6	-4	-20	-16	-26	0	1.18453
217	-18	-4	-4	-20	-16	-26	0	1.18453
345	-18	0	-4	-20	0	-26	0	1.18453
365	-18	-8	-4	-20	-16	-26	0	1.18453
125	-20	-2	-6	-20	-10	-22	0	1.18277
175	-20	0	-6	-20	-10	-22	0	1.18277
369	-20	-10	-6	-20	-10	-22	0	1.18277
421	-20	-10	-6	-20	-12	-22	0	1.18277
423	-20	-12	-6	-20	-16	-22	0	1.18277
449	-20	-4	-6	-20	-14	-22	0	1.18277
187	-16	-12	-10	-20	-16	-20	0	1.18217
191	-16	-10	-10	-20	-14	-20	0	1.18217
311	-16	0	-10	-20	-12	-20	0	1.18217
435	-16	-6	-10	-20	-16	-20	0	1.18217
