glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-15	-10	-18	-15	0.900913
-2	-6	-14	-16	-6	-12	0.661968
-18	-10	-2	-2	-14	-15	0.546551
-20	-2	-6	-4	0	-1	0.473429
-2	-2	-12	-12	-8	-1	0.292214
-10	-14	-12	-14	-6	-10	0.81957
-20	-18	-2	-12	-18	-16	0.821722
-20	-18	-10	-12	-10	-10	0.898868
-10	-6	-2	-6	-16	-2	0.28728
-14	0	-4	-12	-12	-12	0.708132
-20	-18	-6	-6	-10	-20	0.826241
-8	0	-11	-6	-14	-16	0
-8	-18	-2	-14	0	-16	0.692073
-2	-6	-28	-4	-14	-2	0
-2	-14	-2	-12	-14	-28	0
-2	-16	-18	-2	-6	-10	0.186807
-2	-14	-8	-14	-4	-11	0.599428
-2	-6	-1	-10	-6	-10	0.39175
-8	-14	-16	-20	-18	-10	0.93228
-4	-10	-26	-6	-10	-2	0
-4	-16	-16	-20	-18	-13	0.911066
-4	-12	-16	-18	-14	-4	0.663236
-4	-16	-1	-12	-18	-28	0
-8	-14	-20	-4	-14	-1	0
-6	-12	-4	-20	-18	-20	0
-16	-16	-28	-8	-4	-2	0.938411
-10	-12	-2	-18	-18	-24	0
-20	-10	-1	-10	-18	-24	0.880506
-8	-12	-8	-16	-18	-16	0
-16	-16	-18	-2	-10	-1	0
-4	-14	-4	-14	-18	-16	0.680932
-8	-18	-14	-20	-12	-16	1.03396
-12	-16	-13	-18	0	-6	0.835044
-20	-2	-1	-12	-18	-8	0.631151
-10	-16	-13	-20	-14	-6	0.828525
-8	-16	-11	-2	-2	-13	0
-16	-14	-13	-16	-18	-13	1.03286
-8	0	-13	-12	-6	-14	0
-6	-14	-13	-18	-2	-4	0.661232
-10	-8	-1	-16	-16	-8	0.551222
-16	-16	-13	-20	-6	-1	0.801784
-18	-14	-18	-2	-18	-4	0.748791
-4	-14	-13	-18	-4	-11	0.788762
-8	-16	-16	-10	-16	-12	0.820989
-8	-14	-10	-18	-14	-4	0.657056
-8	-18	-14	-12	-12	-16	0.900913
-16	-4	-14	-4	-4	-11	0.780231
-8	-14	-14	-8	-10	-14	0.779101
-16	-8	-13	-4	-4	-11	0.758902
-8	-18	-10	-12	-14	-15	0.819525
-10	-12	-18	-16	-10	-12	0.994034
-8	-16	-13	-10	-12	-16	0.840007
-10	-16	-4	-18	-4	-24	0.996322
-8	-18	-11	-10	-16	-12	0.740195
-12	-10	-15	-20	-18	-14	1.0968
-20	-14	-15	-12	-18	-4	0.872309
-14	-12	-16	-18	-18	-14	1.11818
-18	-18	-20	-12	-8	-1	0.871941
-16	-12	-16	-20	-18	-13	1.16084
-6	-6	-2	-8	-2	-10	0.440333
-20	-10	-13	-18	-18	-14	1.15017
-14	-2	-6	-18	-14	-13	0.875455
-14	-12	-16	-18	-14	-14	1.11818
-18	-12	-20	-14	-4	-4	0.974745
-10	-8	-14	-20	-10	-15	1.05737
-10	-12	-4	-18	-4	-26	1.02864
-16	-4	-13	-16	0	-16	1.09685
-14	-10	-4	-18	-10	-26	0
-2	-18	-12	-12	0	-10	0.609071
-16	-14	-4	-20	0	-26	1.15674
-8	-6	-12	-6	-14	-8	0.605084
-16	-16	-4	-20	-10	-26	1.15674
-2	-10	-18	-18	-4	-4	0.548141
-18	-14	-4	-20	-16	-26	1.18453
-4	0	-8	-12	0	-13	0.645811
-14	-10	-4	-14	-8	-26	0.994715
-4	-16	-10	-20	-16	-18	0.922306
-16	-18	-12	-4	-2	-4	0.627609
-6	-14	-20	-20	-12	-6	0.850493
-16	-2	-6	-6	-10	-1	0.445645
-2	-18	-22	-20	-14	-2	0.62276
-4	-6	-1	-4	-4	-28	0
-18	-10	-4	-18	-18	-1	0.590119
-8	-6	-13	-6	-18	-15	0
-14	-8	-4	-16	-18	-1	0.506769
-8	-12	-14	-6	-4	-16	0
-10	-2	-4	-16	-16	-11	0.69522
-20	-6	-4	-18	-10	-16	0.972784
-14	-16	-2	-16	-14	-13	0.743435
-16	-16	-4	-18	-10	-22	1.04519
-18	-14	-8	-2	-6	-10	0.59948
-16	-12	-4	-18	-18	-22	1.04519
-6	-6	-12	-20	0	-16	0.956891
-18	-16	-4	-18	-12	-24	1.10746
-14	0	-28	-6	-2	-1	0
-18	-14	-4	-18	-16	-18	0.987657
-2	-2	-2	-2	-18	-22	0
-20	-12	-4	-18	-18	-26	1.16756
-14	-6	-13	-12	-12	-14	0.95821
-4	-16	-18	-4	0	-6	0
-10	-10	-13	-18	-12	-14	0.987892
-10	-2	-22	-8	-16	-1	0.636512
-12	-6	-13	-20	0	-14	1.05419
-6	0	-2	-2	-18	-16	0
-12	-6	-13	-16	-16	-14	0.990203
-18	-18	-4	-6	-10	-11	0.628914
-14	-10	-13	-20	-4	-14	1.08618
-2	-18	-6	-6	-18	-8	0.373735
-10	-8	-13	-14	-16	-15	0.945234
-18	-6	-4	-20	-16	-26	1.18453
-10	-14	-6	-6	-12	-20	0
-16	-10	-4	-20	-10	-26	1.15674
-2	0	-13	-18	-8	-2	0.375978
-20	-10	-4	-18	-18	-26	1.16756
-16	0	-16	-8	-2	-2	0.724067
-18	-10	-4	-16	-10	-26	1.09503
-14	0	-12	-6	-14	-16	0.839544
-20	-4	-4	-16	-12	-26	1.12282
-14	-8	-8	-4	-2	-16	0.595023
-20	-10	-4	-12	-18	-26	1.00656
-16	-2	-4	-20	-16	-26	1.15674
-20	-4	-14	-16	-10	-6	0.956563
-20	0	-4	-20	0	-24	1.17541
-10	0	-2	-12	-8	-16	0.682797
-20	-2	-6	-20	-10	-22	1.18277
-6	-12	-15	-10	-6	-15	0
-18	0	-6	-20	-18	-22	0
-20	0	-1	-20	-6	-15	0.908429
-20	-2	-6	-20	-12	-16	1.05479
