1: p1_glu1='-10', p2_ac1='-18', p3_o21='-15', p4_glu2='-10', p5_ac2='-18', p6_o22='-15',1,0.900913
2: p1_glu1='-2', p2_ac1='-6', p3_o21='-14', p4_glu2='-16', p5_ac2='-6', p6_o22='-12',2,0.661968
3: p1_glu1='-18', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-14', p6_o22='-15',3,0.546551
4: p1_glu1='-20', p2_ac1='-2', p3_o21='-6', p4_glu2='-4', p5_ac2='0', p6_o22='-1',4,0.473429
5: p1_glu1='-2', p2_ac1='-2', p3_o21='-12', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',5,0.292214
6: p1_glu1='-10', p2_ac1='-14', p3_o21='-12', p4_glu2='-14', p5_ac2='-6', p6_o22='-10',6,0.81957
7: p1_glu1='-20', p2_ac1='-18', p3_o21='-2', p4_glu2='-12', p5_ac2='-18', p6_o22='-16',7,0.821722
8: p1_glu1='-20', p2_ac1='-18', p3_o21='-10', p4_glu2='-12', p5_ac2='-10', p6_o22='-10',8,0.898868
9: p1_glu1='-10', p2_ac1='-6', p3_o21='-2', p4_glu2='-6', p5_ac2='-16', p6_o22='-2',9,0.28728
10: p1_glu1='-14', p2_ac1='0', p3_o21='-4', p4_glu2='-12', p5_ac2='-12', p6_o22='-12',10,0.708132
11: p1_glu1='-20', p2_ac1='-18', p3_o21='-6', p4_glu2='-6', p5_ac2='-10', p6_o22='-20',11,0.826241
12: p1_glu1='-8', p2_ac1='0', p3_o21='-11', p4_glu2='-6', p5_ac2='-14', p6_o22='-16',12,0
13: p1_glu1='-8', p2_ac1='-18', p3_o21='-2', p4_glu2='-14', p5_ac2='0', p6_o22='-16',13,0.692073
14: p1_glu1='-2', p2_ac1='-6', p3_o21='-28', p4_glu2='-4', p5_ac2='-14', p6_o22='-2',14,0
15: p1_glu1='-2', p2_ac1='-14', p3_o21='-2', p4_glu2='-12', p5_ac2='-14', p6_o22='-28',15,0
16: p1_glu1='-2', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-6', p6_o22='-10',16,0.186807
17: p1_glu1='-2', p2_ac1='-14', p3_o21='-8', p4_glu2='-14', p5_ac2='-4', p6_o22='-11',17,0.599428
18: p1_glu1='-2', p2_ac1='-6', p3_o21='-1', p4_glu2='-10', p5_ac2='-6', p6_o22='-10',18,0.39175
19: p1_glu1='-8', p2_ac1='-14', p3_o21='-16', p4_glu2='-20', p5_ac2='-18', p6_o22='-10',19,0.93228
20: p1_glu1='-4', p2_ac1='-10', p3_o21='-26', p4_glu2='-6', p5_ac2='-10', p6_o22='-2',20,0
21: p1_glu1='-4', p2_ac1='-16', p3_o21='-16', p4_glu2='-20', p5_ac2='-18', p6_o22='-13',21,0.911066
22: p1_glu1='-4', p2_ac1='-12', p3_o21='-16', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',22,0.663236
23: p1_glu1='-4', p2_ac1='-16', p3_o21='-1', p4_glu2='-12', p5_ac2='-18', p6_o22='-28',23,0
24: p1_glu1='-8', p2_ac1='-14', p3_o21='-20', p4_glu2='-4', p5_ac2='-14', p6_o22='-1',24,0
25: p1_glu1='-6', p2_ac1='-12', p3_o21='-4', p4_glu2='-20', p5_ac2='-18', p6_o22='-20',25,0
26: p1_glu1='-16', p2_ac1='-16', p3_o21='-28', p4_glu2='-8', p5_ac2='-4', p6_o22='-2',26,0.938411
27: p1_glu1='-10', p2_ac1='-12', p3_o21='-2', p4_glu2='-18', p5_ac2='-18', p6_o22='-24',27,0
28: p1_glu1='-20', p2_ac1='-10', p3_o21='-1', p4_glu2='-10', p5_ac2='-18', p6_o22='-24',28,0.880506
29: p1_glu1='-8', p2_ac1='-12', p3_o21='-8', p4_glu2='-16', p5_ac2='-18', p6_o22='-16',29,0
30: p1_glu1='-16', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-10', p6_o22='-1',30,0
31: p1_glu1='-4', p2_ac1='-14', p3_o21='-4', p4_glu2='-14', p5_ac2='-18', p6_o22='-16',31,0.680932
