ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
192	0.55	0.1	0.1	0.25	1.4	1	1.6	1.5	0.521496769976749	0
194	0.25	0.35	0.35	0.05	1	1.3	1.2	1.7	0	0
196	0.1	0.2	0.25	0.45	1.9	1.7	2	1.9	0	0
197	0.45	0.15	0.15	0.25	1	2	2	1.3	0.5427452460263	0
199	0.7	0.1	0.15	0.05	1	2	1.7	1.1	0	0
200	0.1	0.15	0.25	0.5	1.8	1.5	1.3	1.4	0	0
201	0.4	0.1	0.15	0.35	1	2	1.9	1.2	0.547891573866283	0
204	0.25	0.5	0.1	0.15	1.5	1.3	1.2	1.4	0	0
206	0.5	0.05	0.15	0.3	1.3	1.7	1.5	1.6	0.494124462114735	0
208	0.3	0.3	0.05	0.35	1.9	1.5	1.1	1.3	0	0
210	0.5	0.4	0.05	0.05	1.8	1.6	1.5	1.3	0	0
212	0.1	0.15	0.35	0.4	1.5	1.1	1.7	1.7	0	0
216	0.15	0.25	0.55	0.05	1.6	1.5	1.7	1.6	0	0
218	0.3	0.2	0.45	0.05	1.2	1.1	1.3	1.3	0	0
220	0.05	0.25	0.05	0.65	1.5	1.4	1.9	1.3	0	0
222	0.3	0.15	0.25	0.3	1.7	1.9	1.2	1.9	0	0
228	0.2	0.05	0.1	0.65	1.3	1.8	1.1	1.4	0	0
232	0.05	0.5	0.3	0.15	1.6	1.5	1.7	1	0	0
234	0.05	0.15	0.55	0.25	1.3	2	1.5	1.9	0	0
235	0.35	0.35	0.05	0.25	2	1.9	1.8	1.6	0.153081754088089	0
236	0.1	0.25	0.45	0.2	1.9	1.4	1.5	1.8	0	0
238	0.3	0.2	0.15	0.35	1.2	1.9	1.2	1.3	0	0
240	0.1	0.25	0.15	0.5	1.7	1.4	1.3	1.2	0	0
242	0.15	0.2	0.6	0.05	1.8	1.8	1.9	1.8	0	0
244	0.1	0.1	0.25	0.55	1.5	1.7	1.2	1.2	0	0
246	0.1	0.3	0.3	0.3	1	1.3	1	2	0	0
248	0.05	0.15	0.25	0.55	1.1	1.2	1.5	1.3	0	0
249	0.35	0.1	0.15	0.4	1.5	1.6	1.4	1	0	0
250	0.2	0.2	0.2	0.4	1.1	1.3	1.8	1.2	0.485996282133991	0
251	0.4	0.2	0.05	0.35	1.2	1.8	1.7	1.1	0.556647988481596	0
252	0.2	0.2	0.35	0.25	1.1	1.7	1.9	1.9	0	0
254	0.25	0.25	0.25	0.25	1.3	1.1	1.1	1	0	0
256	0.1	0.4	0.1	0.4	1.2	1.2	1.2	1.4	0	0
261	0.4	0.3	0.05	0.25	1.4	1.8	1.9	1.1	0.117222958804142	0
262	0.2	0.25	0.1	0.45	2	1.8	1.8	1.3	0	0
263	0.4	0.2	0.05	0.35	1.3	2	1.7	1.1	0.541317529335879	0
268	0.2	0.1	0.3	0.4	1.2	2	1.6	1	0	0
271	0.45	0.3	0.15	0.1	1.4	1.9	1.7	1.3	0.500198683374701	0
272	0.2	0.1	0.3	0.4	1.2	1.5	1.7	1.8	0	0
274	0.15	0.25	0.5	0.1	1.3	1.4	1.3	1.2	0.37941044196503	0
276	0.6	0.25	0.05	0.1	1	1.7	1.5	1.6	0.110474189817962	0
278	0.15	0.35	0.2	0.3	1.2	1.7	1.1	1.3	0	0
280	0.2	0.4	0.25	0.15	1.2	1.4	1.1	2	0.461411739014814	0
282	0.3	0.4	0.05	0.25	1.7	1.1	1.9	1.9	0.441658943578606	0
283	0.75	0.15	0.05	0.05	1.6	2	1.5	1.3	0.434665113482172	0
284	0.15	0.6	0.05	0.2	1.4	1	1.4	1.2	0	0
286	0.1	0.05	0.5	0.35	2	1.9	1.2	1.5	0	0
292	0.1	0.4	0.25	0.25	1.1	1.1	1	1.8	0	0
295	0.85	0.05	0.05	0.05	1.6	1.9	1.8	1.2	0.437958360974761	0
296	0.2	0.05	0.4	0.35	1.9	1.5	1.9	1	0	0
298	0.15	0.35	0.15	0.35	1.5	1.6	1.1	1.8	0.443019444861586	0
299	0.3	0.05	0.1	0.55	1.8	1.8	1.6	1.1	0	0
300	0.1	0.4	0.05	0.45	1.6	1.5	1.4	1.1	0	0
301	0.25	0.15	0.05	0.55	1.6	1.3	1.1	1.3	0	0
302	0.1	0.1	0.15	0.65	1.7	1	1.4	1.2	0	0
303	0.25	0.1	0.05	0.6	1.5	1.9	1.2	1.1	0	0
304	0.2	0.4	0.1	0.3	1.9	1.7	1	1.7	0	0
305	0.3	0.05	0.05	0.6	1.5	2	1.7	1.1	0	0
306	0.05	0.05	0.6	0.3	2	1.5	1.8	1.2	0	0
307	0.25	0.15	0.05	0.55	1.5	1.7	1.3	1.2	0.484689261550774	0
308	0.35	0.1	0.25	0.3	1.2	1	2	2	0	0
309	0.3	0.05	0.05	0.6	1.8	1.2	1.7	1.1	0.539905696816666	0
310	0.15	0.5	0.3	0.05	1.6	1	1.2	1.3	0.450110156710899	0
311	0.25	0.05	0.1	0.6	1.8	1.9	1.5	1.3	0	0
312	0.15	0.5	0.15	0.2	1.3	1.5	1.5	1	0.404839670483555	0
314	0.1	0.35	0.4	0.15	1.5	1.2	2	1.1	0	0
316	0.2	0.05	0.7	0.05	1.6	1.5	2	1.6	0	0
317	0.35	0.2	0.1	0.35	1.4	2	1.5	1.1	0.562935318340653	0
318	0.05	0.3	0.25	0.4	1.5	1	2	1.8	0	0
320	0.1	0.25	0.25	0.4	1.1	1	1.8	1.8	0	0
322	0.35	0.5	0.1	0.05	1.4	1	1.1	1.4	0	0
324	0.05	0.55	0.15	0.25	1.3	1	1.2	1	0	0
326	0.2	0.05	0.25	0.5	1.3	1.5	1.9	1	0	0
328	0.05	0.1	0.5	0.35	1.9	1.1	1.6	1.3	0	0
330	0.5	0.1	0.1	0.3	1.2	1.2	1.4	1.5	0.499845403964369	0
332	0.15	0.5	0.3	0.05	1.8	2	1.4	2	0.106964134491518	0
333	0.35	0.2	0.1	0.35	1.5	2	1.9	1.8	0.535175564246848	0
336	0.2	0.25	0.5	0.05	2	1	1.6	1.8	0	0
338	0.4	0.45	0.1	0.05	1.7	1.3	1.3	1.1	0.187304860126703	0
340	0.15	0.05	0.65	0.15	1.6	1.2	2	1.3	0	0
342	0.15	0.6	0.1	0.15	1	1.7	1.7	1.1	0.488072726196216	0
345	0.7	0.15	0.1	0.05	1.5	1.3	1.7	1	0.132850020352149	0
346	0.05	0.3	0.55	0.1	1.2	2	1.2	2	0	0
347	0.65	0.15	0.15	0.05	1.5	1.3	1.9	1	0.44738382203688	0
348	0.05	0.3	0.4	0.25	2	1.1	1.5	1.6	0.303153672419091	0
352	0.3	0.4	0.05	0.25	1.9	1.7	1.8	2	0.402250616541393	0
353	0.35	0.2	0.1	0.35	1.5	1.3	1.9	1.1	0.517474437606545	0
354	0.1	0.1	0.05	0.75	1.5	1.4	1.6	1.9	0	0
356	0.2	0.15	0.05	0.6	1.2	1.9	1.2	1.8	0	0
358	0.4	0.15	0.25	0.2	1	1.1	1.9	1.1	0	0
360	0.45	0.05	0.2	0.3	1.3	1.5	1.7	2	0.467717991797133	0
364	0.05	0.15	0.05	0.75	1.4	1.5	1.5	1.2	0	0
366	0.05	0.2	0.7	0.05	1.4	1.3	1.1	1.2	0	0
367	0.5	0.1	0.15	0.25	1.6	2	1.6	1.6	0.543332756016556	0
368	0.2	0.7	0.05	0.05	1.9	1.8	1.5	1.6	0	0
370	0.4	0.4	0.05	0.15	1.4	1.1	1.7	1.7	0	0
372	0.45	0.05	0.3	0.2	1.9	1.7	2	1.4	0.544588534933132	0
374	0.05	0.05	0.15	0.75	1.1	1.8	1.1	1	0	0
380	0.1	0.35	0.05	0.5	1.1	1.4	1	1.6	0	0
384	0.25	0.3	0.35	0.1	1.5	1	1.3	1.8	0.527730517987798	0
386	0.45	0.05	0.4	0.1	1.8	1.8	1.4	1.1	0	0
387	0.5	0.25	0.1	0.15	1.4	1.9	1.9	1.2	0.110582409837043	0
388	0.15	0.1	0.1	0.65	1.9	1.2	1.1	1.3	0	0
390	0.75	0.05	0.15	0.05	1	1	1.2	1.4	0	0
393	0.35	0.2	0.15	0.3	1.5	1.6	1.3	1	0.553683899646019	0
394	0.1	0.45	0.05	0.4	1.4	1.8	1.1	1.2	0	0
396	0.05	0.1	0.8	0.05	1.2	1.4	1.1	1.5	0	0
398	0.15	0.25	0.2	0.4	1.7	1	1.5	1.6	0	0
400	0.2	0.25	0.35	0.2	1.6	1.3	1.9	1.1	0	0
401	0.35	0.05	0.15	0.45	1.4	1.6	1.8	1.8	0	0
402	0.5	0.05	0.35	0.1	1.5	1.4	1.2	1.7	0	0
404	0.05	0.45	0.25	0.25	1.6	1.7	1.8	1.7	0	0
407	0.4	0.25	0.3	0.05	1.7	1.1	1	1	0	0
411	0.4	0.1	0.35	0.15	1.9	1.4	1	1.1	0	0
412	0.3	0.35	0.05	0.3	2	1.5	1	1.9	0	0
413	0.35	0.1	0.35	0.2	1.9	1.2	1	1.1	0	0
414	0.15	0.05	0.35	0.45	1	1.5	1.9	1.6	0	0
415	0.35	0.05	0.15	0.45	1.6	2	1.6	1.1	0	0
416	0.3	0.05	0.35	0.3	1.8	1.4	2	2	0	0
417	0.5	0.15	0.15	0.2	1.4	1.4	1.8	1.1	0.546164048491371	0
418	0.4	0.15	0.4	0.05	1.9	1.3	1.4	1.9	0	0
422	0.6	0.05	0.15	0.2	1.3	1.8	1.4	1.3	0.109698365520864	0
424	0.1	0.15	0.25	0.5	1.1	1.3	1.6	1.1	0	0
426	0.05	0.75	0.1	0.1	1.8	2	1.1	1.5	0.113635392686185	0
428	0.35	0.15	0.25	0.25	1.9	1.8	1.8	1.7	0.529042638428635	0
429	0.35	0.05	0.1	0.5	1.8	2	1.7	1.1	0.534077173960869	0
430	0.25	0.2	0.25	0.3	2	1.7	1.5	1.1	0	0
436	0.2	0.55	0.1	0.15	1.4	1.2	2	1.6	0.458388890658118	0
438	0.1	0.05	0.65	0.2	1.5	2	1.3	1.4	0	0
439	0.5	0.15	0.05	0.3	1.2	1.1	1.4	1.7	0.494167389989398	0
440	0.25	0.1	0.6	0.05	1.5	1.4	2	1.3	0	0
442	0.1	0.45	0.1	0.35	1.2	1.7	1.1	1.5	0	0
443	0.35	0.3	0.05	0.3	1.6	1.5	1.5	1	0	0
444	0.2	0.05	0.15	0.6	1.4	1.9	1.5	1.4	0	0
445	0.35	0.1	0.05	0.5	1.6	1.8	1.4	1.1	0.55540769495316	0
446	0.05	0.25	0.55	0.15	1.1	1.3	1.5	1.8	0	0
448	0.25	0.15	0.35	0.25	1.1	1	1.6	1.5	0	0
449	0.5	0.35	0.05	0.1	1.6	1.9	1.9	1	0.561708635804234	0
450	0.15	0.3	0.1	0.45	1	1	2	1.9	0	0
452	0.05	0.45	0.35	0.15	2	1.7	1.8	1.7	0	0
454	0.2	0.1	0.3	0.4	1.1	1.4	1.1	1	0	0
456	0.15	0.25	0.2	0.4	1.4	1.4	1.3	1.5	0	0
458	0.25	0.3	0.25	0.2	2	1.3	1.4	1.9	0.106449250843603	0
460	0.2	0.55	0.05	0.2	2	1.2	1	1.1	0	0
461	0.3	0.15	0.25	0.3	1.9	1.6	1.3	1.8	0.507645518707161	0
462	0.15	0.45	0.35	0.05	1.4	1.4	1.3	1	0	0
463	0.25	0.15	0.3	0.3	1	1.6	1.7	1.6	0	0
464	0.3	0.25	0.3	0.15	1.7	1.1	1.7	1.3	0	0
465	0.25	0.1	0.25	0.4	1.4	1.6	1.6	1.6	0	0
467	0.3	0.1	0.2	0.4	1.8	1.6	1.5	2	0.515626096570324	0
468	0.2	0.15	0.15	0.5	1.9	1.2	1.5	1.4	0.379983342047178	0
469	0.3	0.05	0.25	0.4	2	1.6	1.6	1.5	0	0
471	0.3	0.05	0.2	0.45	1.7	1.6	1.3	1.8	0	0
473	0.25	0.05	0.4	0.3	1.6	1.6	1.3	1.7	0	0
474	0.1	0.1	0.6	0.2	1.5	2	1.9	1.8	0	0
476	0.45	0.05	0.05	0.45	1.5	1.5	1.5	1	0.176168557772592	0
477	0.35	0.1	0.15	0.4	1.4	1.4	2	1.1	0.54123134531644	0
478	0.1	0.65	0.2	0.05	1	1.3	2	1.8	0.153450323660216	0
482	0.35	0.1	0.15	0.4	1.2	1.9	1.1	1.2	0.491576572034896	0
490	0.1	0.1	0.1	0.7	1.3	1.5	1.8	1.4	0	0
492	0.05	0.25	0.1	0.6	1.2	1.2	1	1.7	0	0
494	0.05	0.3	0.55	0.1	1.9	1.6	1.9	1.5	0.110240217728258	0
495	0.35	0.15	0.05	0.45	1.1	1.8	1	1.4	0	0
496	0.25	0.5	0.2	0.05	1.6	1	1.2	1.1	0.464012003867689	0
497	0.4	0.15	0.05	0.4	1	1.5	1.3	1.3	0.543339678168813	0
498	0.1	0.4	0.35	0.15	1	1.5	2	1.4	0	0
499	0.6	0.05	0.1	0.25	1.4	2	1.8	1.2	0.113704971651371	0
500	0.15	0.2	0.2	0.45	1.9	1.6	1.9	1.4	0.494450467121875	0
