ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
122	0.4	0.15	0.15	0.3	1.2	1.3	1.5	1.4	0	0.923219
293	0.45	0.2	0.1	0.25	1.5	1.7	1.6	1.7	0	0.922302
357	0.4	0.2	0.1	0.3	2	1.6	1.9	1.6	0	0.922123
132	0.4	0.15	0.05	0.4	1.4	1.8	1.5	1.3	0.0533588357159752	0.922105
385	0.45	0.25	0.1	0.2	1.4	1.8	1.4	1	0.0451561512294268	0.920315
485	0.4	0.2	0.15	0.25	1.1	1.7	1.5	1.2	0.0605304112870438	0.919797
161	0.55	0.1	0.05	0.3	1.5	2	1.9	1.3	0.0699942889985679	0.91954
120	0.4	0.15	0.15	0.3	1.6	1.8	1.6	1.8	0	0.919197
392	0.35	0.3	0.15	0.2	1.7	2	2	1.5	0.0485224206551565	0.919163
371	0.6	0.1	0.15	0.15	1.8	1.5	2	1.6	0	0.918959
381	0.35	0.15	0.1	0.4	2	1.6	1.7	1.6	0	0.918112
31	0.35	0.2	0.15	0.3	1.9	1.6	1.4	1.3	0.028573947739203	0.917298
425	0.35	0.15	0.05	0.45	1.6	1.4	1.5	1.5	0	0.917102
288	0.45	0.35	0.15	0.05	1.8	1.5	1.2	1.2	0.0186349378956333	0.916855
185	0.4	0.15	0.15	0.3	1	1.5	1.6	1.2	0.0471573367975598	0.914011
62	0.45	0.1	0.05	0.4	1.9	2	1.5	1.9	0	0.913994
350	0.45	0.1	0.15	0.3	1.5	1.8	1.5	1.4	0.05274895056169	0.913981
173	0.4	0.1	0.15	0.35	1.3	2	1.8	2	0	0.913771
359	0.5	0.2	0.1	0.2	1.6	1.5	1.4	1.6	0	0.913553
156	0.4	0.35	0.05	0.2	1.9	2	1.7	2	0	0.913488
435	0.35	0.2	0.05	0.4	1.7	1.9	1.9	2	0	0.913254
486	0.5	0.3	0.1	0.1	2	1.5	2	1.7	0	0.913182
363	0.5	0.2	0.15	0.15	1.5	1.9	1	1.5	0	0.912739
484	0.65	0.05	0.15	0.15	2	1.6	1.4	1.6	0	0.912483
270	0.35	0.2	0.4	0.05	2	1.7	1.9	1.6	0.0164290860086332	0.912271
3	0.45	0.1	0.3	0.15	1.7	1.6	1.8	1.8	0	0.912122
375	0.5	0.2	0.15	0.15	1.5	1.5	1.2	1.6	0	0.911425
399	0.35	0.1	0.1	0.45	1.4	1.6	1.7	1.8	0	0.911161
267	0.7	0.15	0.1	0.05	1.7	1.9	1.6	1.7	0.0309394587247367	0.910516
164	0.35	0.15	0.25	0.25	1.9	1.7	1.2	1.4	0.0222101362439676	0.910189
378	0.3	0.25	0.25	0.2	1.2	2	1.7	1.1	0.0528512207777324	0.90883
42	0.45	0.05	0.05	0.45	1.8	1.9	1.6	2	0	0.908721
313	0.25	0.15	0.05	0.55	1.8	1.6	1.7	1.2	0.069252078041116	0.908297
155	0.45	0.15	0.15	0.25	1.6	1.3	1.6	1.6	0	0.908001
351	0.35	0.1	0.15	0.4	1.5	1.8	1.8	2	0	0.907977
365	0.5	0.1	0.1	0.3	2	1.5	1.4	1.6	0	0.907774
118	0.35	0.25	0.1	0.3	1.7	1.3	1	1.1	0.0186029659573378	0.906565
437	0.35	0.25	0.1	0.3	1.6	1.9	1.9	1.7	0.0415624624416044	0.905995
379	0.5	0.2	0.15	0.15	1.5	1.6	1.3	1.8	0	0.905912
343	0.35	0.2	0.05	0.4	1.5	1.8	1.9	2	0	0.9058
383	0.35	0.25	0.15	0.25	1.9	1.7	1.5	1.6	0.0254978248290107	0.905682
459	0.35	0.2	0.15	0.3	1.6	1.5	1.4	1.8	0.00652182877203445	0.905116
405	0.45	0.05	0.1	0.4	1.4	2	1.2	1.4	0.0522371197310518	0.904825
294	0.5	0.3	0.1	0.1	1.9	1.5	1.8	1.8	0	0.904368
65	0.55	0.1	0.2	0.15	1.6	1.3	1.6	1.2	0.0538635150865563	0.903584
466	0.45	0.2	0.15	0.2	1.3	1.6	1.3	1.9	0	0.903557
455	0.35	0.1	0.05	0.5	1.8	1.8	1.5	2	0	0.902336
215	0.55	0.15	0.05	0.25	1.7	1.7	1.7	1	0.0554079734452991	0.902113
260	0.35	0.15	0.05	0.45	1.7	1.3	2	1.7	0	0.901778
