ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
ec1	1	-0.442430574281845	-0.407966483992628	-0.360520592545828	0.0600940184233502	0.172050546551016	0.0357582017347716	-0.150047265695889	0.492700569625398
ec2	-0.442430574281845	1	-0.0734976023348084	-0.347529346812843	0.0284371222845968	-0.151154751752029	-0.0428465957784628	0.0842724893452299	-0.158980243050268
ec3	-0.407966483992628	-0.0734976023348084	1	-0.336701638280004	-0.0463445556668323	-0.162784385091229	0.0191973874608522	0.126814405900812	-0.335822576838485
ec4	-0.360520592545828	-0.347529346812843	-0.336701638280004	1	-0.0525506396320506	0.084673842845062	-0.0174354955281474	-0.018080349556889	-0.115523379778789
arg	0.0600940184233502	0.0284371222845968	-0.0463445556668323	-0.0525506396320506	1	0.0208202993944162	0.0496601003171908	0.0123017142981646	0.221118730669696
lys	0.172050546551016	-0.151154751752029	-0.162784385091229	0.084673842845062	0.0208202993944162	1	0.195102093842977	-0.0627024324529608	0.244764436771706
met	0.0357582017347716	-0.0428465957784628	0.0191973874608522	-0.0174354955281474	0.0496601003171908	0.195102093842977	1	0.00201116447764299	0.102147887895626
phe	-0.150047265695889	0.0842724893452299	0.126814405900812	-0.018080349556889	0.0123017142981646	-0.0627024324529608	0.00201116447764299	1	-0.0258189592796123
fitness	0.492700569625398	-0.158980243050268	-0.335822576838485	-0.115523379778789	0.221118730669696	0.244764436771706	0.102147887895626	-0.0258189592796123	1
