37: p1_ec1='0.15', p2_ec2='0.5', p3_ec3='0.05', p4_ec4='0.3', p5_arg='1.2', p6_lys='1.5', p7_met='1.9', p8_phe='1.1',37,0
38: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.4', p6_lys='1.6', p7_met='1.5', p8_phe='2',38,0.899762
39: p1_ec1='0.20', p2_ec2='0.4', p3_ec3='0.35', p4_ec4='0.05', p5_arg='1.1', p6_lys='2', p7_met='1.6', p8_phe='1.8',39,0.833207
40: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.45', p5_arg='1.2', p6_lys='1.6', p7_met='1.6', p8_phe='2',40,0.804095
41: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.35', p4_ec4='0.15', p5_arg='1.3', p6_lys='2', p7_met='1.6', p8_phe='2',41,0
42: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.45', p5_arg='1.8', p6_lys='1.9', p7_met='1.6', p8_phe='2',42,0.908721
43: p1_ec1='0.20', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.6', p5_arg='1.8', p6_lys='2', p7_met='2', p8_phe='1.7',43,0
44: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.9', p6_lys='1.8', p7_met='1.6', p8_phe='1',44,0.959668
45: p1_ec1='0.3', p2_ec2='0.35', p3_ec3='0.05', p4_ec4='0.3', p5_arg='1.3', p6_lys='1', p7_met='1.3', p8_phe='1.2',45,0
46: p1_ec1='0.5', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.4', p5_arg='2', p6_lys='1.2', p7_met='1.3', p8_phe='1.6',46,0.853456
47: p1_ec1='0.05', p2_ec2='0.20', p3_ec3='0.65', p4_ec4='0.1', p5_arg='1.8', p6_lys='1.4', p7_met='2', p8_phe='1.1',47,0
48: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.2', p6_lys='1.9', p7_met='1.1', p8_phe='1.2',48,0.887061
49: p1_ec1='0.05', p2_ec2='0.1', p3_ec3='0.7', p4_ec4='0.15', p5_arg='1.6', p6_lys='1.4', p7_met='1.5', p8_phe='1.6',49,0
50: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.45', p5_arg='1.3', p6_lys='1.5', p7_met='1.8', p8_phe='1',50,0
51: p1_ec1='0.15', p2_ec2='0.65', p3_ec3='0.05', p4_ec4='0.15', p5_arg='2', p6_lys='1.7', p7_met='2', p8_phe='1.9',51,0
