ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
0.5	0.05	0.1	0.35	1.5	1.7	1.1	1.1	0.885932
0.5	0.3	0.15	0.05	1.5	1.2	1.4	1.3	0.881903
0.4	0.1	0.35	0.15	1.9	1.4	1	1.1	0
0.3	0.35	0.05	0.3	2	1.5	1	1.9	0
0.35	0.1	0.35	0.20	1.9	1.2	1	1.1	0
0.15	0.05	0.35	0.45	1	1.5	1.9	1.6	0
0.35	0.05	0.15	0.45	1.6	2	1.6	1.1	0
0.3	0.05	0.35	0.3	1.8	1.4	2	2	0
0.5	0.15	0.15	0.20	1.4	1.4	1.8	1.1	0
0.4	0.15	0.4	0.05	1.9	1.3	1.4	1.9	0
0.35	0.1	0.05	0.5	1.6	1.8	1.5	1.1	0.963999
0.3	0.35	0.3	0.05	1.8	1.5	1.9	1.2	0.839479
0.55	0.15	0.15	0.15	1.9	1.4	2	1	0.938736
0.6	0.05	0.15	0.20	1.3	1.8	1.4	1.3	0
0.35	0.15	0.1	0.4	1.8	1.9	1.9	1.6	0.939024
0.1	0.15	0.25	0.5	1.1	1.3	1.6	1.1	0
0.35	0.15	0.05	0.45	1.6	1.4	1.5	1.5	0.917102
0.05	0.75	0.1	0.1	1.8	2	1.1	1.5	0
0.35	0.20	0.15	0.3	1.6	1.5	1.5	2	0.879808
0.35	0.15	0.25	0.25	1.9	1.8	1.8	1.7	0
0.35	0.05	0.1	0.5	1.8	2	1.7	1.1	0
0.25	0.20	0.25	0.3	2	1.7	1.5	1.1	0
0.65	0.1	0.15	0.1	1.8	1.3	2	1.1	0.877627
0.45	0.25	0.1	0.20	1.2	1.3	1.1	1.9	0.880567
0.45	0.25	0.15	0.15	1.8	1.3	2	1.1	0.938103
0.25	0.4	0.25	0.1	1.7	1.1	1.3	1.9	0.867432
0.35	0.20	0.05	0.4	1.7	1.9	1.9	2	0.913254
0.20	0.55	0.1	0.15	1.4	1.2	2	1.6	0
0.35	0.25	0.1	0.3	1.6	1.9	1.9	1.7	0.905995
0.1	0.05	0.65	0.20	1.5	2	1.3	1.4	0
0.5	0.15	0.05	0.3	1.2	1.1	1.4	1.7	0
0.25	0.1	0.6	0.05	1.5	1.4	2	1.3	0
0.5	0.15	0.05	0.3	1.1	1	1.6	1.4	0.837751
0.1	0.45	0.1	0.35	1.2	1.7	1.1	1.5	0
0.35	0.3	0.05	0.3	1.6	1.5	1.5	1	0
0.20	0.05	0.15	0.6	1.4	1.9	1.5	1.4	0
0.35	0.1	0.05	0.5	1.6	1.8	1.4	1.1	0
0.05	0.25	0.55	0.15	1.1	1.3	1.5	1.8	0
0.55	0.15	0.15	0.15	1.9	1.3	1.6	1	0.935578
0.25	0.15	0.35	0.25	1.1	1	1.6	1.5	0
0.5	0.35	0.05	0.1	1.6	1.9	1.9	1	0
0.15	0.3	0.1	0.45	1	1	2	1.9	0
0.35	0.1	0.05	0.5	1.9	1.6	1.7	1.2	0.94688
0.05	0.45	0.35	0.15	2	1.7	1.8	1.7	0
0.35	0.1	0.05	0.5	1.8	2	2	1.2	0.937402
0.20	0.1	0.3	0.4	1.1	1.4	1.1	1	0
0.35	0.1	0.05	0.5	1.8	1.8	1.5	2	0.902336
0.15	0.25	0.20	0.4	1.4	1.4	1.3	1.5	0
0.35	0.1	0.05	0.5	2	1.9	1.4	1.8	0.887432
0.25	0.3	0.25	0.20	2	1.3	1.4	1.9	0
0.35	0.20	0.15	0.3	1.6	1.5	1.4	1.8	0.905116
0.20	0.55	0.05	0.20	2	1.2	1	1.1	0
0.3	0.15	0.25	0.3	1.9	1.6	1.3	1.8	0
0.15	0.45	0.35	0.05	1.4	1.4	1.3	1	0
0.25	0.15	0.3	0.3	1	1.6	1.7	1.6	0
0.3	0.25	0.3	0.15	1.7	1.1	1.7	1.3	0
0.25	0.1	0.25	0.4	1.4	1.6	1.6	1.6	0
0.45	0.20	0.15	0.20	1.3	1.6	1.3	1.9	0.903557
0.3	0.1	0.20	0.4	1.8	1.6	1.5	2	0
0.20	0.15	0.15	0.5	1.9	1.2	1.5	1.4	0
0.3	0.05	0.25	0.4	2	1.6	1.6	1.5	0
0.55	0.3	0.1	0.05	1.6	1.1	1.2	2	0.788708
0.3	0.05	0.20	0.45	1.7	1.6	1.3	1.8	0
0.45	0.3	0.20	0.05	1.6	1.2	1.5	1.4	0.856025
0.25	0.05	0.4	0.3	1.6	1.6	1.3	1.7	0
0.1	0.1	0.6	0.20	1.5	2	1.9	1.8	0
0.35	0.1	0.15	0.4	1.6	1.4	1.9	1	0.948896
0.45	0.05	0.05	0.45	1.5	1.5	1.5	1	0
0.35	0.1	0.15	0.4	1.4	1.4	2	1.1	0
0.1	0.65	0.20	0.05	1	1.3	2	1.8	0
0.6	0.05	0.15	0.20	1.5	1.7	1.7	1.2	0.785634
0.55	0.20	0.15	0.1	1.8	2	1.3	1.3	0.941863
0.35	0.20	0.1	0.35	1.2	1.5	1.6	1.5	0.924202
0.35	0.1	0.15	0.4	1.2	1.9	1.1	1.2	0
0.45	0.20	0.1	0.25	1.2	1.5	1.6	1.2	0.944365
0.65	0.05	0.15	0.15	2	1.6	1.4	1.6	0.912483
0.4	0.20	0.15	0.25	1.1	1.7	1.5	1.2	0.919797
0.5	0.3	0.1	0.1	2	1.5	2	1.7	0.913182
0.45	0.15	0.05	0.35	1.1	1.3	1.2	1.8	0.869097
0.65	0.1	0.05	0.20	1.8	1.4	1.2	1.1	0.872662
0.6	0.20	0.15	0.05	1	1.8	1.6	1.4	0.888442
0.1	0.1	0.1	0.7	1.3	1.5	1.8	1.4	0
0.35	0.1	0.05	0.5	1.5	1.8	1.5	1.1	0.935366
0.05	0.25	0.1	0.6	1.2	1.2	1	1.7	0
0.6	0.05	0.05	0.3	1.5	2	1.8	1.5	0.897257
0.05	0.3	0.55	0.1	1.9	1.6	1.9	1.5	0
0.35	0.15	0.05	0.45	1.1	1.8	1	1.4	0
0.25	0.5	0.20	0.05	1.6	1	1.2	1.1	0
0.4	0.15	0.05	0.4	1	1.5	1.3	1.3	0
0.1	0.4	0.35	0.15	1	1.5	2	1.4	0
0.6	0.05	0.1	0.25	1.4	2	1.8	1.2	0
0.15	0.20	0.20	0.45	1.9	1.6	1.9	1.4	0
