ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
0.3	0.25	0.15	0.3	1.6	1.4	1.3	1.1	0
0.3	0.3	0.05	0.35	1.9	1.9	1.8	1.7	0
0.35	0.25	0.1	0.3	1.2	1.2	1.5	1.3	0
0.25	0.15	0.3	0.3	1.8	1.7	1	1.8	0
0.35	0.25	0.1	0.3	1.7	1.4	1.3	1.2	0
0.45	0.1	0.4	0.05	1.6	1	2	1.5	0
0.4	0.25	0.1	0.25	1.6	1.2	1.5	1.2	0
0.4	0.3	0.05	0.25	1.2	2	1.1	1.4	0
0.4	0.25	0.15	0.20	1.5	1.3	1.3	1.3	0.879409
0.1	0.25	0.15	0.5	1.9	1.6	1.7	1	0
0.4	0.20	0.15	0.25	1.7	1.2	1.3	1.3	0
0.05	0.15	0.20	0.6	1.3	1.4	2	1.5	0
0.4	0.15	0.15	0.3	1.7	1.3	1.6	1.2	0.933234
0.25	0.4	0.1	0.25	1	1.7	1.4	1.3	0
0.7	0.1	0.05	0.15	2	1.7	1.2	1.1	0.876539
0.05	0.65	0.25	0.05	1.8	1.6	1.9	1.1	0
0.3	0.20	0.15	0.35	1.7	1.4	1.3	1.1	0
0.75	0.05	0.15	0.05	1.1	1.7	1.7	1	0
0.4	0.1	0.15	0.35	1.4	1.2	1.3	1.1	0
0.1	0.1	0.05	0.75	1.3	2	1.9	1.5	0
0.35	0.15	0.15	0.35	1.1	1.2	1.6	1.1	0
0.25	0.20	0.15	0.4	1.3	2	1.1	1	0
0.35	0.25	0.15	0.25	1.7	1.2	1.2	1.1	0
0.8	0.1	0.05	0.05	1.4	1	1.4	1.3	0
0.35	0.25	0.1	0.3	1.7	1.3	1	1.1	0.906565
0.05	0.65	0.15	0.15	1.3	1.8	1.2	1.7	0
0.4	0.15	0.15	0.3	1.6	1.8	1.6	1.8	0.919197
0.1	0.1	0.65	0.15	1.2	1	1.2	1.6	0
0.4	0.15	0.15	0.3	1.2	1.3	1.5	1.4	0.923219
0.20	0.25	0.20	0.35	1.4	1.5	2	1.3	0
0.4	0.25	0.1	0.25	1.7	1.3	1.5	1.7	0.883512
0.15	0.3	0.35	0.20	1.5	1.4	1.8	1.3	0
0.7	0.15	0.05	0.1	1.8	1.2	1.5	1.3	0.764965
0.15	0.25	0.5	0.1	1.9	1.5	1.5	1.9	0
0.4	0.15	0.05	0.4	1.6	1.4	1.4	1.3	0.928389
0.05	0.55	0.35	0.05	2	1.2	1.3	1.1	0
