Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-6.0,-16.0,-7.0,-2.0,-10.0,-5.0,4.7,-1.2	0.724812	0.00046065842328814327	0.992436	0.539775	108
MaxYieldNew_MinTime	-6.0,-18.0,-7.0,-2.0,-6.0,-5.0,4.7,-1.2	0.724741	0.0003326269146511046	0.992283	0.53969	108
MaxYieldNew_MinTime	-8.0,-4.0,-7.0,-6.0,-12.0,-7.0,8.2,4.7	0.723909	0.002988570066189398	0.942442	0.512024	98
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-4.0,0.0,-7.0,0.5,0.5	0.723836	0.0008591597887431524	0.996331	0.541937	110
MaxYieldNew_MinTime	-12.0,-14.0,-7.0,-2.0,-12.0,-6.0,14.2,-2.4	0.723253	0.003778520444903291	0.894483	0.485404	87
MaxYieldNew_MinTime	-8.0,-12.0,-7.0,-2.0,-6.0,-6.0,8.2,-2.4	0.72297	0.00016168930115349555	0.947919	0.515064	99
MaxYieldNew_MinTime	-8.0,-12.0,-7.0,-4.0,0.0,-4.0,8.2,4.0	0.720758	0.0005736458579487664	0.952145	0.51741	101
MaxYieldNew_MinTime	-12.0,-18.0,-7.0,-6.0,0.0,-7.0,14.2,4.7	0.720669	0.0017814727633512386	0.8934	0.484802	88
MaxYieldNew_MinTime	-10.0,-18.0,-7.0,-2.0,0.0,-5.0,11.3,0.0	0.720574	0.00018565491723326934	0.920219	0.499689	94
MaxYieldNew_MinTime	-8.0,-12.0,-7.0,-4.0,0.0,-2.0,8.2,4.7	0.720509	1.1876980967291384e-08	0.956109	0.519611	102
MaxYieldNew_MinTime	-4.0,-14.0,-7.0,-6.0,-2.0,-7.0,0.5,4.7	0.720406	0.005282445800512012	0.987415	0.536988	109
MaxYieldNew_MinTime	-2.0,-14.0,-7.0,-4.0,-2.0,-7.0,-3.4,0.5	0.720228	0.0013921689061931854	1.039574	0.56594	120
MaxYieldNew_MinTime	-2.0,0.0,-4.0,-12.0,-8.0,-7.0,0.0,14.2	0.719981	0.00016054448302052105	0.896418	0.486477	89
MaxYieldNew_MinTime	-2.0,-4.0,-7.0,-4.0,0.0,-7.0,-3.6,0.5	0.719912	0.000843611074257039	1.038892	0.565561	121
MaxYieldNew_MinTime	-2.0,0.0,-5.0,-6.0,-6.0,-7.0,0.0,4.7	0.719409	0.0	1.007778	0.548291	114
MaxYieldNew_MinTime	-2.0,-14.0,-7.0,-4.0,-6.0,-7.0,-3.6,0.5	0.719407	0.003044304559542774	1.039301	0.565788	121
MaxYieldNew_MinTime	-2.0,-14.0,-7.0,-4.0,0.0,-7.0,-3.6,0.5	0.718632	0.002915926487279558	1.036123	0.564024	120
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-4.0,-7.0,0.5,-0.0	0.718391	0.0031592330925068065	1.034101	0.562902	120
MaxYieldNew_MinTime	-2.0,-18.0,-7.0,-4.0,0.0,-7.0,-0.0,0.5	0.718148	0.0024872954704218274	1.032076	0.561778	120
