glu1	ac1	o21	glu2	ac2	o22	sd	fitness
378	-4	-8	-7	-6	-12	-7	0.00319914541498721	0.746673
267	-4	-18	-7	-6	-8	-7	0.00321919194458867	0.74653
265	-4	-16	-7	-6	-8	-7	0.0047599297285348	0.74564
375	-4	-8	-7	-6	-8	-7	0.00474311190414126	0.745503
307	-6	-12	-7	-2	-12	-7	0.00122387045708711	0.745316
305	-6	-12	-7	-2	-8	-7	0.00121843809425684	0.745252
497	-6	-16	-7	-2	-8	-7	0.00072259155572049	0.745222
271	-4	-18	-7	-6	-10	-7	0.00419440006211959	0.744074
365	-4	-12	-7	-6	-16	-7	0.00419440006211959	0.744074
321	-4	-14	-7	-6	-16	-7	0.00474687328552644	0.743185
317	-4	-14	-7	-6	-8	-7	0.0047599297285348	0.742892
309	-6	-14	-7	-2	-6	-7	0.000507149272670248	0.741838
370	-4	-10	-7	-6	-6	-7	0.00548942204188835	0.741297
407	-4	-12	-7	-6	-6	-7	0.00548942204188835	0.741297
154	-6	-12	-7	-4	0	-7	0.00479084294402067	0.737579
311	-4	-16	-6	-8	-14	-7	0.00144329939287883	0.737168
374	-4	-8	-7	-8	-18	-7	0	0.73701
164	-6	-18	-7	-4	0	-6	0	0.736918
500	-10	-12	-7	-2	-10	-7	0.000649264812189874	0.735599
293	-8	-12	-7	-2	-12	-7	0.000324250336876478	0.735538
409	-4	-6	-7	-8	-12	-7	0.00075957495203008	0.733879
39	-2	0	-4	-6	-12	-7	0.000294888908398881	0.732621
285	-10	-12	-7	-4	-8	-7	0.0023202857889093	0.731678
61	-8	-6	-7	-10	-12	-7	0.00147576301160808	0.730537
171	-10	-16	-7	-2	-18	-6	0.000190256318043797	0.730162
315	-4	-14	-7	-6	-4	-7	0.00463355940862672	0.730093
289	-10	-12	-7	-2	-10	-6	8.14297731607015e-05	0.730037
173	-10	-16	-7	-2	-8	-6	0.000267291536144209	0.729478
1	-10	-18	-7	-10	-18	-7	0	0.729049
391	-4	-10	-7	-10	-18	-7	0.00055323040484777	0.728676
63	-10	-12	-7	-10	-8	-7	1.58796649373053e-05	0.728615
413	-4	-12	-7	-10	-12	-7	0	0.728356
495	-12	-16	-7	-2	-16	-7	0.00340947103372958	0.727312
382	-4	-10	-7	-4	-8	-7	3.1251639876547e-05	0.726364
269	-4	-16	-7	-4	-8	-7	5.76762217506974e-05	0.726349
372	-4	-8	-7	-4	-18	-7	5.04542670663445e-05	0.726331
291	-8	-12	-7	-2	-10	-6	0.000467935270593039	0.725526
158	-6	-12	-7	-2	0	-3	0.000181581892283064	0.725489
259	-4	-14	-7	-4	-4	-7	0.00107688748207436	0.725423
287	-8	-12	-7	-2	-18	-6	0.000366376028087401	0.724999
327	-6	-16	-7	-2	-10	-5	0.000460658423288143	0.724812
329	-6	-18	-7	-2	-6	-5	0.000332626914651105	0.724741
59	-8	-4	-7	-6	-12	-7	0.0029885700661894	0.723909
261	-4	-18	-7	-4	0	-7	0.000859159788743152	0.723836
169	-12	-14	-7	-2	-12	-6	0.00377852044490329	0.723253
167	-8	-12	-7	-2	-6	-6	0.000161689301153496	0.72297
99	-8	-12	-7	-4	0	-4	0.000573645857948766	0.720758
142	-12	-18	-7	-6	0	-7	0.00178147276335124	0.720669
138	-10	-18	-7	-2	0	-5	0.000185654917233269	0.720574
101	-8	-12	-7	-4	0	-2	1.18769809672914e-08	0.720509
