48: p1_glu1='-4', p2_ac1='-18', p3_o21='-2', p4_glu2='-10', p5_ac2='-16', p6_o22='-7',48,0.704432
49: p1_glu1='-6', p2_ac1='-2', p3_o21='-1', p4_glu2='-2', p5_ac2='-16', p6_o22='-5',49,0.421423
50: p1_glu1='-2', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-6', p6_o22='-7',50,0.714635
51: p1_glu1='-12', p2_ac1='-2', p3_o21='-7', p4_glu2='-6', p5_ac2='-14', p6_o22='-1',51,0.502824
52: p1_glu1='-6', p2_ac1='-18', p3_o21='-2', p4_glu2='-6', p5_ac2='-18', p6_o22='-7',52,0.695214
53: p1_glu1='-12', p2_ac1='-2', p3_o21='-1', p4_glu2='-12', p5_ac2='-12', p6_o22='-2',53,0.202222
54: p1_glu1='-2', p2_ac1='-18', p3_o21='-1', p4_glu2='-10', p5_ac2='-12', p6_o22='-7',54,0.710803
55: p1_glu1='-8', p2_ac1='0', p3_o21='-7', p4_glu2='-6', p5_ac2='-6', p6_o22='-7',55,0.677644
56: p1_glu1='-6', p2_ac1='-10', p3_o21='-3', p4_glu2='-20', p5_ac2='-8', p6_o22='-2',56,0.37307
57: p1_glu1='-10', p2_ac1='-2', p3_o21='-7', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',57,0.685589
58: p1_glu1='-4', p2_ac1='-12', p3_o21='-5', p4_glu2='-18', p5_ac2='-16', p6_o22='-1',58,0.381566
59: p1_glu1='-8', p2_ac1='-4', p3_o21='-7', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',59,0.723909
60: p1_glu1='-6', p2_ac1='-6', p3_o21='-6', p4_glu2='-16', p5_ac2='-10', p6_o22='-6',60,0.6636
61: p1_glu1='-8', p2_ac1='-6', p3_o21='-7', p4_glu2='-10', p5_ac2='-12', p6_o22='-7',61,0.730537
62: p1_glu1='-12', p2_ac1='-16', p3_o21='-1', p4_glu2='-4', p5_ac2='0', p6_o22='-2',62,0.143821
63: p1_glu1='-10', p2_ac1='-12', p3_o21='-7', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',63,0.728615
64: p1_glu1='-20', p2_ac1='-10', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-7',64,0.687563
65: p1_glu1='-10', p2_ac1='-4', p3_o21='-7', p4_glu2='-6', p5_ac2='-10', p6_o22='-7',65,0.706188
66: p1_glu1='-12', p2_ac1='0', p3_o21='-2', p4_glu2='-6', p5_ac2='-14', p6_o22='-7',66,0.614491
67: p1_glu1='-8', p2_ac1='-18', p3_o21='-1', p4_glu2='-2', p5_ac2='-10', p6_o22='-4',67,0.277447
68: p1_glu1='-12', p2_ac1='-6', p3_o21='-1', p4_glu2='-10', p5_ac2='-12', p6_o22='-7',68,0.658293
69: p1_glu1='-14', p2_ac1='0', p3_o21='-1', p4_glu2='-4', p5_ac2='0', p6_o22='-2',69,0.464364
70: p1_glu1='-12', p2_ac1='-8', p3_o21='-2', p4_glu2='-6', p5_ac2='-14', p6_o22='-7',70,0.61414
71: p1_glu1='-6', p2_ac1='0', p3_o21='-1', p4_glu2='-2', p5_ac2='0', p6_o22='-2',71,0.272953
72: p1_glu1='-12', p2_ac1='-6', p3_o21='-2', p4_glu2='-6', p5_ac2='-18', p6_o22='-7',72,0.617188
73: p1_glu1='-20', p2_ac1='-10', p3_o21='-2', p4_glu2='-14', p5_ac2='-14', p6_o22='-3',73,0.417997
74: p1_glu1='-12', p2_ac1='-12', p3_o21='-1', p4_glu2='-6', p5_ac2='-18', p6_o22='-7',74,0.614627
75: p1_glu1='-16', p2_ac1='-6', p3_o21='-6', p4_glu2='-4', p5_ac2='0', p6_o22='-5',75,0.64409
76: p1_glu1='-12', p2_ac1='-10', p3_o21='-1', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',76,0.619402
77: p1_glu1='-2', p2_ac1='-10', p3_o21='-1', p4_glu2='-6', p5_ac2='-6', p6_o22='-5',77,0.609678
78: p1_glu1='-6', p2_ac1='-16', p3_o21='-6', p4_glu2='-18', p5_ac2='-10', p6_o22='-3',78,0.563882
79: p1_glu1='-2', p2_ac1='-10', p3_o21='-1', p4_glu2='-10', p5_ac2='-6', p6_o22='-5',79,0.605083
80: p1_glu1='-20', p2_ac1='0', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',80,0.193825
81: p1_glu1='-2', p2_ac1='-12', p3_o21='-4', p4_glu2='-6', p5_ac2='0', p6_o22='-7',81,0.441932
82: p1_glu1='-12', p2_ac1='-10', p3_o21='-1', p4_glu2='-14', p5_ac2='-18', p6_o22='-5',82,0.578142
83: p1_glu1='-2', p2_ac1='-16', p3_o21='-4', p4_glu2='-8', p5_ac2='0', p6_o22='-7',83,0.373663
84: p1_glu1='-14', p2_ac1='-12', p3_o21='-7', p4_glu2='-2', p5_ac2='-18', p6_o22='-3',84,0.702419
85: p1_glu1='-2', p2_ac1='-12', p3_o21='-3', p4_glu2='-8', p5_ac2='-2', p6_o22='-7',85,0.576211
86: p1_glu1='-12', p2_ac1='-6', p3_o21='-3', p4_glu2='-14', p5_ac2='-16', p6_o22='-2',86,0.417952
87: p1_glu1='-2', p2_ac1='-16', p3_o21='-4', p4_glu2='-6', p5_ac2='0', p6_o22='-7',87,0.44193
88: p1_glu1='-12', p2_ac1='-4', p3_o21='-7', p4_glu2='-10', p5_ac2='-2', p6_o22='-6',88,0.631922
89: p1_glu1='-10', p2_ac1='-14', p3_o21='-6', p4_glu2='-18', p5_ac2='-8', p6_o22='-4',89,0.614292
90: p1_glu1='-4', p2_ac1='-4', p3_o21='-7', p4_glu2='-6', p5_ac2='-2', p6_o22='-6',90,0.666175
91: p1_glu1='-8', p2_ac1='-8', p3_o21='-6', p4_glu2='-14', p5_ac2='-10', p6_o22='-4',91,0.620149
92: p1_glu1='-14', p2_ac1='-4', p3_o21='-7', p4_glu2='-8', p5_ac2='-2', p6_o22='-5',92,0.632457
93: p1_glu1='-18', p2_ac1='-12', p3_o21='-6', p4_glu2='-18', p5_ac2='-10', p6_o22='-1',93,0.61049
94: p1_glu1='-12', p2_ac1='-2', p3_o21='-7', p4_glu2='-8', p5_ac2='-2', p6_o22='-7',94,0.559974
95: p1_glu1='-10', p2_ac1='-16', p3_o21='-7', p4_glu2='-12', p5_ac2='-4', p6_o22='-2',95,0.664457
96: p1_glu1='-10', p2_ac1='-4', p3_o21='-7', p4_glu2='-8', p5_ac2='-2', p6_o22='-5',96,0.652694
97: p1_glu1='-12', p2_ac1='-10', p3_o21='-7', p4_glu2='-14', p5_ac2='-14', p6_o22='-6',97,0.704018
98: p1_glu1='-8', p2_ac1='-4', p3_o21='-7', p4_glu2='-2', p5_ac2='-2', p6_o22='-7',98,0.675853
99: p1_glu1='-8', p2_ac1='-12', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-4',99,0.720758
100: p1_glu1='-8', p2_ac1='-14', p3_o21='-6', p4_glu2='-2', p5_ac2='-2', p6_o22='-6',100,0.679051
101: p1_glu1='-8', p2_ac1='-12', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-2',101,0.720509
102: p1_glu1='-20', p2_ac1='-18', p3_o21='-7', p4_glu2='-18', p5_ac2='-12', p6_o22='-5',102,0.678901
103: p1_glu1='-10', p2_ac1='-8', p3_o21='-7', p4_glu2='-8', p5_ac2='0', p6_o22='-4',103,0.702223
104: p1_glu1='-10', p2_ac1='-10', p3_o21='-4', p4_glu2='-10', p5_ac2='-14', p6_o22='-4',104,0.567215
105: p1_glu1='-16', p2_ac1='-18', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-4',105,0.688468
106: p1_glu1='-18', p2_ac1='-6', p3_o21='-6', p4_glu2='-16', p5_ac2='-10', p6_o22='-3',106,0.617554
107: p1_glu1='-18', p2_ac1='-10', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-4',107,0.690974
108: p1_glu1='-10', p2_ac1='-10', p3_o21='-4', p4_glu2='-4', p5_ac2='-8', p6_o22='-5',108,0.587672
109: p1_glu1='-8', p2_ac1='-14', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-2',109,0.713216
110: p1_glu1='-6', p2_ac1='-14', p3_o21='-1', p4_glu2='-18', p5_ac2='-2', p6_o22='-7',110,0.486089
111: p1_glu1='-16', p2_ac1='-10', p3_o21='-7', p4_glu2='-20', p5_ac2='-2', p6_o22='-7',111,0.664097
112: p1_glu1='-4', p2_ac1='-14', p3_o21='-1', p4_glu2='-12', p5_ac2='-2', p6_o22='-7',112,0.520881
113: p1_glu1='-4', p2_ac1='-12', p3_o21='-5', p4_glu2='-6', p5_ac2='-8', p6_o22='-2',113,0.553388
114: p1_glu1='-6', p2_ac1='-14', p3_o21='-3', p4_glu2='-8', p5_ac2='-2', p6_o22='-7',114,0.565659
115: p1_glu1='-12', p2_ac1='-16', p3_o21='-5', p4_glu2='-14', p5_ac2='-8', p6_o22='-2',115,0.566639
116: p1_glu1='-2', p2_ac1='-14', p3_o21='-3', p4_glu2='-8', p5_ac2='-2', p6_o22='-7',116,0.576163
117: p1_glu1='-16', p2_ac1='-18', p3_o21='-1', p4_glu2='-14', p5_ac2='-18', p6_o22='-6',117,0.602694
118: p1_glu1='-2', p2_ac1='-14', p3_o21='-2', p4_glu2='-10', p5_ac2='-2', p6_o22='-7',118,0.544839
119: p1_glu1='-12', p2_ac1='-2', p3_o21='-5', p4_glu2='-10', p5_ac2='-10', p6_o22='-4',119,0.534283
120: p1_glu1='-4', p2_ac1='-18', p3_o21='-2', p4_glu2='-18', p5_ac2='-2', p6_o22='-7',120,0.493812
121: p1_glu1='-20', p2_ac1='-12', p3_o21='-7', p4_glu2='-8', p5_ac2='-10', p6_o22='-2',121,0.676718
122: p1_glu1='-10', p2_ac1='-12', p3_o21='-1', p4_glu2='-18', p5_ac2='-6', p6_o22='-1',122,0.134951
123: p1_glu1='-20', p2_ac1='-16', p3_o21='-7', p4_glu2='-8', p5_ac2='-6', p6_o22='-2',123,0.676885
124: p1_glu1='-8', p2_ac1='-18', p3_o21='-3', p4_glu2='-4', p5_ac2='-12', p6_o22='-3',124,0.445477
