glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-7	-10	-18	-7	0.729049
-4	-4	-2	-12	-2	-1	0.156865
-10	-18	-6	-8	-8	-2	0.65061
-10	-2	-4	-14	-8	-6	0.644349
-18	-10	-1	-2	-14	-4	0.198545
-8	-10	-5	-2	-16	-3	0.63023
-2	-2	-3	-12	-8	-1	0.162465
-2	-12	-7	-20	-16	-7	0.698515
-8	-6	-1	-14	-4	-7	0.622993
-2	-18	-5	-4	-6	-5	0.630455
-14	-12	-4	-4	-10	-7	0.607361
-20	-14	-3	-6	-14	-3	0.493902
-6	-6	-7	-20	-12	-4	0.605308
-18	-12	-4	-16	-18	-6	0.626693
-8	-6	-4	-4	-8	-1	0.527264
-4	-6	-7	-16	-2	-7	0.597577
-6	0	-4	-6	-18	-1	0.232733
-14	-2	-5	-4	-18	-1	0.426083
-10	-2	-6	-12	-2	-7	0.530207
-16	-8	-1	-4	-12	-4	0.286733
-20	-6	-5	-20	-16	-5	0.629745
-4	-8	-4	-4	-4	-6	0.64117
-16	0	-7	-10	-8	-7	0.638984
-2	-6	-6	-14	-12	-2	0.442422
-4	0	-7	-16	-4	-7	0.645432
-18	-8	-3	-6	-4	-2	0.47599
-4	0	-7	-2	-4	-7	0.717342
-10	-12	-4	-10	-8	-7	0.690844
-4	0	-7	-8	-4	-7	0.677239
-18	-10	-5	-16	-12	-3	0.593542
-14	0	-7	-6	-12	-7	0.627034
-2	-4	-6	-8	-18	-5	0.640831
-2	0	-6	-6	-16	-6	0.686896
-20	-2	-4	-12	-6	-1	0.381704
-6	0	-5	-10	-6	-7	0.694378
-2	-14	-4	-2	-10	-6	0.498082
-4	0	-4	-2	-6	-5	0.529787
-18	-18	-7	-12	-2	-5	0.676811
-2	0	-4	-6	-12	-7	0.732621
-6	0	-1	-12	-8	-7	0.701533
-2	0	-5	-6	-6	-7	0.719409
-8	-6	-4	-8	-12	-4	0.569301
-8	0	-5	-4	-12	-5	0.532079
-2	-16	-2	-10	-6	-7	0.697041
-14	-2	-7	-10	0	-4	0.466213
-6	-18	-1	-8	-10	-7	0.702377
-20	-6	-3	-18	-8	-7	0.65231
-4	-18	-2	-10	-16	-7	0.704432
-6	-2	-1	-2	-16	-5	0.421423
-2	-14	-3	-6	-6	-7	0.714635
-12	-2	-7	-6	-14	-1	0.502824
-6	-18	-2	-6	-18	-7	0.695214
-12	-2	-1	-12	-12	-2	0.202222
-2	-18	-1	-10	-12	-7	0.710803
-8	0	-7	-6	-6	-7	0.677644
-6	-10	-3	-20	-8	-2	0.37307
