glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-15	-10	-18	-15	1.00861
-2	-6	-14	-16	-6	-12	0.914967
-18	-10	-2	-2	-14	-15	0.586502
-20	-2	-6	-4	0	-1	0.642793
-2	-2	-12	-12	-8	-1	0.423889
-10	-14	-12	-14	-6	-10	0.945461
-20	-18	-2	-12	-18	-16	0.875215
-20	-18	-10	-12	-10	-10	0.836862
-10	-6	-2	-6	-16	-2	0.535247
-14	0	-4	-12	-12	-12	0.904746
-20	-18	-6	-6	-10	-20	0.772633
-8	0	-11	-6	-14	-16	0
-4	-6	-10	-12	-12	-4	0.742182
-2	-6	-28	-4	-14	-2	0
-2	-2	-14	-18	-8	-2	0.495824
-2	-16	-18	-2	-6	-10	0.937166
-8	-18	-2	-14	0	-16	0.829152
-2	-6	-1	-10	-6	-10	0.943583
-4	-12	-11	-10	0	-8	0.932849
-4	-10	-26	-6	-10	-2	0
-4	-2	-22	-14	-18	-1	0.580584
-4	-12	-16	-18	-14	-4	0.697036
-6	-10	-24	-18	-2	-6	0.78424
-8	-14	-20	-4	-14	-1	0
-2	-14	-24	-18	-2	-6	0.712165
-16	-16	-28	-8	-4	-2	1.00741
-6	-12	-24	-16	-4	-6	0.864381
-20	-10	-1	-10	-18	-24	0.933037
-8	-16	-24	-12	0	-6	0
-16	-16	-18	-2	-10	-1	0
-10	-10	-24	-16	-6	-6	0.97735
-8	-18	-14	-20	-12	-16	0.968433
-14	-4	-4	-10	0	-1	0.600846
-20	-2	-1	-12	-18	-8	0.66434
-18	0	-13	-10	0	-1	0.589092
-8	-16	-11	-2	-2	-13	0
-20	-10	-4	-10	0	-2	0.575299
-8	0	-13	-12	-6	-14	0.985763
-16	-8	-24	-8	0	-2	0.985647
-10	-8	-1	-16	-16	-8	0.807343
-10	-6	-22	-10	0	-2	0
-18	-14	-18	-2	-18	-4	0.987119
-14	-12	-16	-10	0	-1	1.0197
-10	-18	-16	-14	-6	-8	0.94691
-8	-14	-10	-18	-14	-4	0.730854
-8	-18	-14	-16	-6	-8	0.857883
-16	-4	-14	-4	-4	-11	0.915952
-16	-18	-16	-12	-6	-8	1.01322
-16	-8	-13	-4	-4	-11	0.936353
-4	-18	-16	-16	-8	-8	0.829709
-10	-12	-18	-16	-10	-12	0.960157
-6	-18	-20	-14	-8	-8	0.927151
-10	-16	-4	-18	-4	-24	1.01537
-16	-16	-18	-16	-6	-8	0.976234
-10	-16	-11	-18	-4	-15	0.915627
-20	-14	-15	-12	-18	-4	0.938242
-12	-18	-11	-20	-4	-16	0.911498
-18	-18	-20	-12	-8	-1	0.96036
-10	-16	-11	-18	-4	-18	0.973394
-6	-6	-2	-8	-2	-10	0.924712
-14	-4	-11	-18	-4	-16	0.938125
-14	-2	-6	-18	-14	-13	0.906227
-16	-8	-11	-18	-4	-15	0.89529
-18	-12	-20	-14	-4	-4	1.01672
-12	-8	-11	-18	-6	-16	0.942946
-10	-10	-24	-10	-10	-1	0
-16	-4	-13	-16	0	-16	0.951643
-10	-12	-22	-10	-12	-1	0
-2	-18	-12	-12	0	-10	0.961783
-10	-16	-28	-8	-10	-2	0
-8	-6	-12	-6	-14	-8	0.99457
-12	-16	-24	-8	-12	-2	0
-2	-10	-18	-18	-4	-4	0.623936
-10	-18	-20	-10	-8	-1	1.0177
-4	0	-8	-12	0	-13	0.804619
-10	-16	-15	-10	-8	-2	0.97565
-10	-18	-22	-12	-18	-6	0
-16	-18	-12	-4	-2	-4	0.948124
-12	-12	-26	-12	-16	-4	0
-16	-2	-6	-6	-10	-1	0.636648
-12	-12	-24	-16	-12	-4	0.945754
-4	-6	-1	-4	-4	-28	0
-10	-18	-24	-18	-12	-6	0.947597
-8	-6	-13	-6	-18	-15	0
-10	-12	-26	-16	-14	-4	0
-8	-12	-14	-6	-4	-16	0
-18	-18	-26	-16	-16	-4	0
-16	-2	-22	-12	-12	-8	0
-14	-16	-2	-16	-14	-13	0.86202
-20	-10	-22	-8	-12	-8	0.991929
-18	-14	-8	-2	-6	-10	0.783241
-10	-18	-11	-12	-8	-18	0
-6	-6	-12	-20	0	-16	0.901733
-14	-16	-12	-8	-8	-18	0.976862
-14	0	-28	-6	-2	-1	0
-16	-18	-11	-8	-4	-18	0.938973
-2	-2	-2	-2	-18	-22	0
-14	-12	-12	-10	-8	-18	0.993957
-10	-10	-4	-8	-6	-26	1.01105
-4	-16	-18	-4	0	-6	0
-10	-14	-1	-12	-2	-26	0
-10	-2	-22	-8	-16	-1	1.01763
-10	-18	-4	-10	-4	-26	0
-6	0	-2	-2	-18	-16	0
-16	-16	-12	-12	-14	-18	0.943347
-18	-18	-4	-6	-10	-11	0.696225
-10	-14	-4	-10	-2	-22	0.980424
-2	-18	-6	-6	-18	-8	1.007
-10	-6	-4	-12	-2	-20	0.953815
-6	-16	-15	-10	-14	-15	0
-10	-14	-6	-6	-12	-20	0
-6	-18	-15	-10	-18	-15	0
-2	0	-13	-18	-8	-2	0.487594
-8	-16	-15	-8	-2	-15	1.00566
-16	0	-16	-8	-2	-2	0.758712
-8	0	-15	-10	-16	-15	0
-14	0	-12	-6	-14	-16	0.986304
-2	0	-15	-10	-14	-15	0
-14	-8	-8	-4	-2	-16	0.844548
