glu1	ac1	o21	glu2	ac2	o22	sd	fitness
273	-10	-4	-12	-4	-16	-13	0.00441068502478271	1.02452
497	-2	-10	-13	-8	-12	-12	0.00162487346081391	1.02427
325	-18	-18	-22	-10	-4	-1	0.000413717089515299	1.02141
448	-16	-2	-2	-18	-18	-20	0.00134390309101391	1.02032
271	-10	-2	-13	-4	-14	-14	0.0050417638412901	1.02019
43	-14	-12	-16	-10	0	-1	3.34972852962639e-08	1.0197
301	-4	-8	-14	-6	-12	-11	0	1.01923
132	-14	-16	-16	-10	-2	-6	0.00231566191157495	1.01888
371	-10	-16	-15	-10	-18	-12	0.00672151966593518	1.01805
74	-10	-18	-20	-10	-8	-1	0.00827311849918578	1.0177
189	-10	-2	-11	-12	-18	-15	0.0148884350720611	1.01768
102	-10	-2	-22	-8	-16	-1	0.00259847949051635	1.01763
499	-4	-18	-14	-8	-2	-12	0.0103707558580421	1.01757
158	-10	0	-10	-14	-16	-20	0	1.01687
64	-18	-12	-20	-14	-4	-4	0.0018169006060745	1.01672
443	-6	-10	-8	-6	-2	-13	0.0115270413331718	1.01654
459	-8	-10	-20	-4	-8	-10	0.00209466350879883	1.01605
150	-10	-16	-8	-10	-16	-15	0.00499548726988243	1.01577
53	-10	-16	-4	-18	-4	-24	0.000223837918787274	1.01537
478	-8	0	-11	-2	-14	-12	0.00471298774224695	1.01536
186	-18	0	-1	-16	-2	-28	0.00142827711900105	1.01493
407	-8	-16	-15	-4	-8	-10	0.00209466350879883	1.01484
461	-8	-16	-20	-4	-8	-10	0	1.01363
48	-16	-18	-16	-12	-6	-8	0.00483813262298819	1.01322
457	-10	-4	-12	-12	-14	-15	0	1.01264
147	-12	-12	-18	-10	-2	-4	0.00142118777838059	1.01238
426	-2	-6	-8	-4	-16	-6	0.0119429953183687	1.01133
99	-10	-10	-4	-8	-6	-26	0.00724571241968681	1.01105
373	-10	-14	-15	-8	-10	-8	0.0188624714455445	1.01104
302	-10	-16	-14	-8	-14	-14	0.0141168424062109	1.01084
317	-10	-8	-11	-8	-14	-16	0.00402892286387074	1.01064
434	-8	-8	-2	-12	-14	-14	0.00057542017511542	1.01047
334	-14	0	-13	-10	-16	-15	0.00846513285633908	1.00964
165	-20	-14	-2	-20	-8	-22	0.00193805837757819	1.00961
258	-6	-10	-8	-12	-12	-12	0.00229753922495244	1.00958
1	-10	-18	-15	-10	-18	-15	0	1.00861
121	-14	-18	-22	-10	-2	-8	0.00017827509946617	1.00808
380	-10	-18	-13	-2	-10	-6	0.00034969434057782	1.00794
26	-16	-16	-28	-8	-4	-2	0.000444694922952821	1.00741
263	-2	-8	-10	-8	-18	-11	0.00286146800563844	1.0073
398	-12	-4	-15	-16	-14	-15	0.0251885899579157	1.00725
445	-8	-14	-11	-10	0	-13	0.0160560685105041	1.00724
417	-2	-18	-8	-8	-12	-14	0.000583464298778725	1.00722
218	-10	-2	-13	-2	-10	-1	5.99885312520582e-05	1.00704
108	-2	-18	-6	-6	-18	-8	0.000778969394770428	1.007
138	-14	-16	-15	-8	-8	-2	0.000557970921343658	1.00655
303	-4	-12	-18	-6	-12	-11	0.0231596543211709	1.00585
467	-6	-10	-12	-4	-16	-12	0.0231596543211709	1.00585
114	-8	-16	-15	-8	-2	-15	0	1.00566
181	-10	-16	-11	-6	-6	-18	0.00359538946603727	1.0051
396	-8	-18	-13	-8	-8	-2	9.88916637153987e-05	1.00381
234	-2	-10	-14	-12	-8	-12	0.00379540349822749	1.00366
156	-10	-4	-11	-18	-14	-18	0.00466963283331879	1.00362
403	-6	-8	-18	-10	-16	-12	0.00544408599839808	1.00355
319	-10	-6	-24	-14	-10	-4	0.0306741868727643	1.00339
297	-6	-8	-18	-10	-12	-11	0.0069273898038096	1.003
260	-8	-14	-13	-10	-16	-16	0.00560646438751404	1.00297
439	-6	-10	-8	-12	-8	-12	0.00437332355777257	1.00284
483	-6	-16	-2	-10	-16	-13	0.000408456103172738	1.00232
357	-10	-12	-11	-10	-18	-13	0.0116984400754621	1.00231
231	-10	-4	-12	-8	-14	-13	0	1.00226
184	-8	-6	-12	-2	-4	-8	0.000545061369875605	1.00223
388	-6	-10	-11	-6	-4	-16	0	1.00188
320	-10	-4	-11	-8	-14	-16	0	1.00183
367	-10	0	-2	-14	-16	-20	4.30299155334836e-08	1.00181
368	-8	-18	-11	-14	-16	-14	0.00794960504035475	1.00162
197	-14	-6	-18	-14	-10	-11	0.0160381805941311	1.0015
275	-10	-10	-13	-8	-12	-15	0.0182400992359517	1.00137
370	-8	-14	-11	-10	-2	-15	0.0094667581680324	1.0013
397	-10	-16	-11	-10	-6	-14	0.0162491283837155	1.00126
261	-14	-14	-14	-8	-18	-11	0.00794960504035462	1.00104
477	-6	-10	-8	-12	-10	-13	0.00317777349204082	1.00082
405	-8	-12	-8	-10	-6	-16	0.00710151267286709	1.00068
235	-20	-14	-24	-10	-16	-2	0.00049797489645347	1.00061
