1: p1_glu1='-10', p2_ac1='-18', p3_o21='-15', p4_glu2='-10', p5_ac2='-18', p6_o22='-15',1,1.00861
2: p1_glu1='-2', p2_ac1='-6', p3_o21='-14', p4_glu2='-16', p5_ac2='-6', p6_o22='-12',2,0.914967
3: p1_glu1='-18', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-14', p6_o22='-15',3,0.586502
4: p1_glu1='-20', p2_ac1='-2', p3_o21='-6', p4_glu2='-4', p5_ac2='0', p6_o22='-1',4,0.642793
5: p1_glu1='-2', p2_ac1='-2', p3_o21='-12', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',5,0.423889
6: p1_glu1='-10', p2_ac1='-14', p3_o21='-12', p4_glu2='-14', p5_ac2='-6', p6_o22='-10',6,0.945461
7: p1_glu1='-20', p2_ac1='-18', p3_o21='-2', p4_glu2='-12', p5_ac2='-18', p6_o22='-16',7,0.875215
8: p1_glu1='-20', p2_ac1='-18', p3_o21='-10', p4_glu2='-12', p5_ac2='-10', p6_o22='-10',8,0.836862
9: p1_glu1='-10', p2_ac1='-6', p3_o21='-2', p4_glu2='-6', p5_ac2='-16', p6_o22='-2',9,0.535247
10: p1_glu1='-14', p2_ac1='0', p3_o21='-4', p4_glu2='-12', p5_ac2='-12', p6_o22='-12',10,0.904746
11: p1_glu1='-20', p2_ac1='-18', p3_o21='-6', p4_glu2='-6', p5_ac2='-10', p6_o22='-20',11,0.772633
12: p1_glu1='-8', p2_ac1='0', p3_o21='-11', p4_glu2='-6', p5_ac2='-14', p6_o22='-16',12,0
13: p1_glu1='-4', p2_ac1='-6', p3_o21='-10', p4_glu2='-12', p5_ac2='-12', p6_o22='-4',13,0.742182
14: p1_glu1='-2', p2_ac1='-6', p3_o21='-28', p4_glu2='-4', p5_ac2='-14', p6_o22='-2',14,0
15: p1_glu1='-2', p2_ac1='-2', p3_o21='-14', p4_glu2='-18', p5_ac2='-8', p6_o22='-2',15,0.495824
16: p1_glu1='-2', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-6', p6_o22='-10',16,0.937166
17: p1_glu1='-8', p2_ac1='-18', p3_o21='-2', p4_glu2='-14', p5_ac2='0', p6_o22='-16',17,0.829152
18: p1_glu1='-2', p2_ac1='-6', p3_o21='-1', p4_glu2='-10', p5_ac2='-6', p6_o22='-10',18,0.943583
19: p1_glu1='-4', p2_ac1='-12', p3_o21='-11', p4_glu2='-10', p5_ac2='0', p6_o22='-8',19,0.932849
20: p1_glu1='-4', p2_ac1='-10', p3_o21='-26', p4_glu2='-6', p5_ac2='-10', p6_o22='-2',20,0
21: p1_glu1='-4', p2_ac1='-2', p3_o21='-22', p4_glu2='-14', p5_ac2='-18', p6_o22='-1',21,0.580584
22: p1_glu1='-4', p2_ac1='-12', p3_o21='-16', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',22,0.697036
23: p1_glu1='-6', p2_ac1='-10', p3_o21='-24', p4_glu2='-18', p5_ac2='-2', p6_o22='-6',23,0.78424
24: p1_glu1='-8', p2_ac1='-14', p3_o21='-20', p4_glu2='-4', p5_ac2='-14', p6_o22='-1',24,0
25: p1_glu1='-2', p2_ac1='-14', p3_o21='-24', p4_glu2='-18', p5_ac2='-2', p6_o22='-6',25,0.712165
26: p1_glu1='-16', p2_ac1='-16', p3_o21='-28', p4_glu2='-8', p5_ac2='-4', p6_o22='-2',26,1.00741
27: p1_glu1='-6', p2_ac1='-12', p3_o21='-24', p4_glu2='-16', p5_ac2='-4', p6_o22='-6',27,0.864381
28: p1_glu1='-20', p2_ac1='-10', p3_o21='-1', p4_glu2='-10', p5_ac2='-18', p6_o22='-24',28,0.933037
29: p1_glu1='-8', p2_ac1='-16', p3_o21='-24', p4_glu2='-12', p5_ac2='0', p6_o22='-6',29,0
30: p1_glu1='-16', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-10', p6_o22='-1',30,0
31: p1_glu1='-10', p2_ac1='-10', p3_o21='-24', p4_glu2='-16', p5_ac2='-6', p6_o22='-6',31,0.97735
32: p1_glu1='-8', p2_ac1='-18', p3_o21='-14', p4_glu2='-20', p5_ac2='-12', p6_o22='-16',32,0.968433
33: p1_glu1='-14', p2_ac1='-4', p3_o21='-4', p4_glu2='-10', p5_ac2='0', p6_o22='-1',33,0.600846
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-1', p4_glu2='-12', p5_ac2='-18', p6_o22='-8',34,0.66434
35: p1_glu1='-18', p2_ac1='0', p3_o21='-13', p4_glu2='-10', p5_ac2='0', p6_o22='-1',35,0.589092
36: p1_glu1='-8', p2_ac1='-16', p3_o21='-11', p4_glu2='-2', p5_ac2='-2', p6_o22='-13',36,0
37: p1_glu1='-20', p2_ac1='-10', p3_o21='-4', p4_glu2='-10', p5_ac2='0', p6_o22='-2',37,0.575299
38: p1_glu1='-8', p2_ac1='0', p3_o21='-13', p4_glu2='-12', p5_ac2='-6', p6_o22='-14',38,0.985763
39: p1_glu1='-16', p2_ac1='-8', p3_o21='-24', p4_glu2='-8', p5_ac2='0', p6_o22='-2',39,0.985647
40: p1_glu1='-10', p2_ac1='-8', p3_o21='-1', p4_glu2='-16', p5_ac2='-16', p6_o22='-8',40,0.807343
41: p1_glu1='-10', p2_ac1='-6', p3_o21='-22', p4_glu2='-10', p5_ac2='0', p6_o22='-2',41,0
42: p1_glu1='-18', p2_ac1='-14', p3_o21='-18', p4_glu2='-2', p5_ac2='-18', p6_o22='-4',42,0.987119
43: p1_glu1='-14', p2_ac1='-12', p3_o21='-16', p4_glu2='-10', p5_ac2='0', p6_o22='-1',43,1.0197
44: p1_glu1='-10', p2_ac1='-18', p3_o21='-16', p4_glu2='-14', p5_ac2='-6', p6_o22='-8',44,0.94691
45: p1_glu1='-8', p2_ac1='-14', p3_o21='-10', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',45,0.730854
46: p1_glu1='-8', p2_ac1='-18', p3_o21='-14', p4_glu2='-16', p5_ac2='-6', p6_o22='-8',46,0.857883
47: p1_glu1='-16', p2_ac1='-4', p3_o21='-14', p4_glu2='-4', p5_ac2='-4', p6_o22='-11',47,0.915952
48: p1_glu1='-16', p2_ac1='-18', p3_o21='-16', p4_glu2='-12', p5_ac2='-6', p6_o22='-8',48,1.01322
