1: p1_glu1='-10', p2_ac1='-18', p3_o21='-15', p4_glu2='-10', p5_ac2='-18', p6_o22='-15',1,0.933086
2: p1_glu1='-2', p2_ac1='-6', p3_o21='-14', p4_glu2='-16', p5_ac2='-6', p6_o22='-12',2,0.84611
3: p1_glu1='-18', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-14', p6_o22='-15',3,0.544312
4: p1_glu1='-20', p2_ac1='-2', p3_o21='-6', p4_glu2='-4', p5_ac2='0', p6_o22='-1',4,0.594523
5: p1_glu1='-2', p2_ac1='-2', p3_o21='-12', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',5,0.394558
6: p1_glu1='-10', p2_ac1='-14', p3_o21='-12', p4_glu2='-14', p5_ac2='-6', p6_o22='-10',6,0.874669
7: p1_glu1='-20', p2_ac1='-18', p3_o21='-2', p4_glu2='-12', p5_ac2='-18', p6_o22='-16',7,0.821597
8: p1_glu1='-20', p2_ac1='-18', p3_o21='-10', p4_glu2='-12', p5_ac2='-10', p6_o22='-10',8,0.774202
9: p1_glu1='-10', p2_ac1='-6', p3_o21='-2', p4_glu2='-6', p5_ac2='-16', p6_o22='-2',9,0.495299
10: p1_glu1='-14', p2_ac1='0', p3_o21='-4', p4_glu2='-12', p5_ac2='-12', p6_o22='-12',10,0.819793
11: p1_glu1='-20', p2_ac1='-18', p3_o21='-6', p4_glu2='-6', p5_ac2='-10', p6_o22='-20',11,0.704886
12: p1_glu1='-8', p2_ac1='0', p3_o21='-11', p4_glu2='-6', p5_ac2='-14', p6_o22='-16',12,0
13: p1_glu1='-4', p2_ac1='-6', p3_o21='-10', p4_glu2='-12', p5_ac2='-12', p6_o22='-4',13,0.694851
14: p1_glu1='-2', p2_ac1='-6', p3_o21='-28', p4_glu2='-4', p5_ac2='-14', p6_o22='-2',14,0
15: p1_glu1='-2', p2_ac1='-2', p3_o21='-14', p4_glu2='-18', p5_ac2='-8', p6_o22='-2',15,0.457913
16: p1_glu1='-2', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-6', p6_o22='-10',16,0.866995
17: p1_glu1='-8', p2_ac1='-18', p3_o21='-2', p4_glu2='-14', p5_ac2='0', p6_o22='-16',17,0.767524
18: p1_glu1='-2', p2_ac1='-6', p3_o21='-1', p4_glu2='-10', p5_ac2='-6', p6_o22='-10',18,0.872932
19: p1_glu1='-4', p2_ac1='-12', p3_o21='-11', p4_glu2='-10', p5_ac2='0', p6_o22='-8',19,0.847354
20: p1_glu1='-4', p2_ac1='-10', p3_o21='-26', p4_glu2='-6', p5_ac2='-10', p6_o22='-2',20,0
21: p1_glu1='-4', p2_ac1='-2', p3_o21='-22', p4_glu2='-14', p5_ac2='-18', p6_o22='-1',21,0.533266
22: p1_glu1='-4', p2_ac1='-12', p3_o21='-16', p4_glu2='-18', p5_ac2='-14', p6_o22='-4',22,0.644016
23: p1_glu1='-6', p2_ac1='-10', p3_o21='-24', p4_glu2='-18', p5_ac2='-2', p6_o22='-6',23,0.739306
24: p1_glu1='-8', p2_ac1='-14', p3_o21='-20', p4_glu2='-4', p5_ac2='-14', p6_o22='-1',24,0
25: p1_glu1='-2', p2_ac1='-14', p3_o21='-24', p4_glu2='-18', p5_ac2='-2', p6_o22='-6',25,0.6627
26: p1_glu1='-16', p2_ac1='-16', p3_o21='-28', p4_glu2='-8', p5_ac2='-4', p6_o22='-2',26,0.932121
27: p1_glu1='-6', p2_ac1='-12', p3_o21='-24', p4_glu2='-16', p5_ac2='-4', p6_o22='-6',27,0.794854
28: p1_glu1='-20', p2_ac1='-10', p3_o21='-1', p4_glu2='-10', p5_ac2='-18', p6_o22='-24',28,0.872524
29: p1_glu1='-8', p2_ac1='-16', p3_o21='-24', p4_glu2='-12', p5_ac2='0', p6_o22='-6',29,0
30: p1_glu1='-16', p2_ac1='-16', p3_o21='-18', p4_glu2='-2', p5_ac2='-10', p6_o22='-1',30,0
31: p1_glu1='-10', p2_ac1='-10', p3_o21='-24', p4_glu2='-16', p5_ac2='-6', p6_o22='-6',31,0.897827
32: p1_glu1='-8', p2_ac1='-18', p3_o21='-14', p4_glu2='-20', p5_ac2='-12', p6_o22='-16',32,0.89803
33: p1_glu1='-18', p2_ac1='0', p3_o21='-12', p4_glu2='-10', p5_ac2='-14', p6_o22='-15',33,0.847511
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-1', p4_glu2='-12', p5_ac2='-18', p6_o22='-8',34,0.614597
35: p1_glu1='-8', p2_ac1='-2', p3_o21='-12', p4_glu2='-10', p5_ac2='-16', p6_o22='-12',35,0.924488
36: p1_glu1='-8', p2_ac1='-16', p3_o21='-11', p4_glu2='-2', p5_ac2='-2', p6_o22='-13',36,0
37: p1_glu1='-8', p2_ac1='-2', p3_o21='-12', p4_glu2='-8', p5_ac2='-14', p6_o22='-11',37,0.920963
38: p1_glu1='-8', p2_ac1='0', p3_o21='-13', p4_glu2='-12', p5_ac2='-6', p6_o22='-14',38,0
39: p1_glu1='-12', p2_ac1='-2', p3_o21='-13', p4_glu2='-8', p5_ac2='-12', p6_o22='-10',39,0.900276
