glu1	ac1	o21	glu2	ac2	o22	sd	fitness
357	-10	-16	-11	-12	-6	-16	0.000382629022299275	0.949173
275	-10	-4	-15	-12	-16	-15	0.00170201967951926	0.948679
70	-8	-16	-16	-8	-16	-13	0.00625936586721602	0.94636
125	-16	-18	-26	-10	-14	-1	0.000382763807727258	0.945995
81	-10	-2	-13	-12	-14	-16	0.000545155961875807	0.945534
337	-8	-16	-16	-8	-10	-13	0.00346992075633051	0.943201
448	-16	-2	-2	-18	-18	-20	7.85367683263612e-05	0.943183
325	-10	-2	-12	-6	-14	-13	0.00687810599249336	0.942853
201	-8	-18	-16	-8	-16	-13	0.0018546710662987	0.942725
107	-8	-18	-15	-10	-14	-14	0.000562754211790049	0.942336
123	-10	-18	-20	-10	-10	-1	0.00708161890555072	0.941829
368	-8	-18	-11	-14	-16	-14	0.019898935242258	0.941105
213	-4	-4	-8	-8	-10	-15	0	0.941092
345	-4	-4	-10	-8	-2	-16	0	0.941092
64	-18	-12	-20	-14	-4	-4	0.00168078987299939	0.940593
343	-4	-4	-8	-8	-10	-18	0.0019378248772303	0.939974
102	-10	-2	-22	-8	-16	-1	0.00224093170725845	0.939616
478	-8	0	-11	-2	-14	-12	0.00317620637307184	0.939261
497	-8	-8	-11	-12	-4	-15	0.00582958397179311	0.939165
186	-18	0	-1	-16	-2	-28	0.00109464836434755	0.938941
53	-10	-16	-4	-18	-4	-24	0.000592508302506684	0.938879
211	-4	0	-14	-8	-10	-15	0.0019378248772303	0.938855
103	-10	-2	-14	-10	-8	-14	0.00430774778272979	0.937965
205	-8	0	-12	-8	-8	-15	0.00079382789243909	0.937866
257	-8	-16	-15	-10	-14	-14	0	0.937838
359	-4	-4	-14	-8	-8	-15	0	0.937736
445	-6	-18	-12	-8	-16	-10	0.0124590978349845	0.937401
131	-14	-6	-22	-4	-6	-8	0.000837841784513626	0.937325
150	-10	-16	-8	-10	-16	-15	0.00608826432482906	0.935732
451	-10	-8	-13	-10	-8	-15	0.0194379114761993	0.935428
434	-8	-8	-2	-12	-14	-14	0.000566141863922162	0.935154
114	-10	-12	-15	-10	-18	-12	0.00997300366453972	0.935115
469	-8	-6	-12	-10	-6	-14	0.0202557347243764	0.935075
268	-8	-12	-13	-6	-12	-14	0.00437834170267346	0.934755
181	-2	-8	-13	-8	-14	-11	0.00225538565228212	0.934733
231	-10	-16	-15	-12	-14	-15	0	0.934664
273	-10	-2	-13	-6	-14	-16	0.00110410799612046	0.933739
426	-2	-6	-8	-4	-16	-6	0.00408717630009269	0.933491
347	-8	-6	-12	-8	-8	-13	0	0.933417
99	-10	0	-13	-10	-14	-14	0	0.933287
1	-10	-18	-15	-10	-18	-15	0	0.933086
380	-10	-18	-13	-2	-10	-6	0.000326821842011372	0.933047
245	-8	-18	-12	-2	-6	-6	0.000349713780393223	0.932545
327	-10	-2	-12	-2	-14	-14	0.00188542358629614	0.932458
467	-8	-8	-16	-12	-16	-12	0.00950823850690995	0.932264
177	-10	-4	-14	-14	-16	-13	0.0278169962883686	0.932239
387	-10	-16	-13	-12	-14	-16	0.00516389262682019	0.932237
389	-10	-18	-13	-12	-14	-16	0.00516389262682019	0.932237
26	-16	-16	-28	-8	-4	-2	0.000418342559947827	0.932121
397	-8	-4	-11	-10	-6	-15	0	0.93212
302	-10	-16	-14	-8	-14	-14	0.0113175755337561	0.93162
218	-10	-2	-13	-2	-10	-1	3.44080732407223e-09	0.931601
353	-4	-10	-4	-12	-10	-12	0.000201598861493561	0.931109
199	-4	-6	-16	-10	-8	-12	0.00687540061827217	0.931017
258	-6	-10	-8	-12	-12	-12	0.0015261112843215	0.930998
108	-2	-18	-6	-6	-18	-8	0.000209575947030481	0.930746
370	-8	-14	-11	-10	-2	-15	0.0125348697052556	0.930689
101	-14	0	-13	-10	-12	-14	0.0161372055941397	0.930638
281	-6	-10	-11	-4	-8	-11	0.0214255674494246	0.930541
373	-4	-8	-14	-6	-14	-11	0.0214255674494246	0.930541
441	-6	-2	-12	-4	-12	-13	0.0214255674494246	0.930541
225	-6	-10	-16	-10	-12	-13	0	0.930004
477	-8	-16	-12	-8	-16	-13	0.00772192414896584	0.929986
489	-8	-6	-12	-10	-4	-14	0.0189862849764853	0.929861
383	-8	0	-13	-10	-16	-14	0	0.929562
105	-10	-2	-13	-10	-8	-14	0.00248680462613689	0.929454
112	-2	-10	-14	-10	-18	-12	0	0.928474
134	-10	-8	-15	-10	-8	-12	0.00386976516528819	0.928348
396	-8	-18	-13	-8	-8	-2	0.000740707396230547	0.928247
417	-6	-8	-13	-10	-8	-15	0.0129671407230198	0.928158
235	-2	-4	-14	-8	-12	-12	0.000267389085937338	0.927891
234	-2	-10	-14	-12	-8	-12	0.00116944131084773	0.927719
195	-6	-2	-16	-12	-16	-12	0.00660424514837261	0.927598
116	-10	-18	-15	-10	-18	-11	0	0.92756
191	-10	-2	-14	-8	-12	-15	0.000875975930054957	0.927235
335	-6	-16	-16	-6	-10	-13	0	0.926865
388	-6	-10	-11	-6	-4	-16	0	0.926865
443	-6	0	-12	-6	-12	-13	0	0.926865
203	-2	-4	-16	-10	-12	-13	0.000289456666991815	0.926764
404	-8	-10	-11	-10	-4	-15	0.0103296538545046	0.926543
184	-8	-6	-12	-2	-4	-8	0.000867821508081397	0.926522
196	-2	-18	-6	-10	-2	-14	0.000286221951676984	0.925999
485	-8	-18	-12	-10	-10	-11	0.00868362670827635	0.925697
149	-10	-4	-16	-10	-12	-10	0.010077103019918	0.92569
144	-8	-8	-6	-8	0	-13	0.00662705053832569	0.925611
334	-14	0	-13	-10	-16	-15	0	0.925002
35	-8	-2	-12	-10	-16	-12	0.000676117446808912	0.924488
285	-8	-14	-12	-8	-4	-11	0.00348967587219882	0.924366
348	-12	-14	-28	-20	0	-2	0.0114098498010016	0.924193
156	-10	0	-12	-8	-16	-16	0.0016599410950294	0.92369
71	-8	-6	-12	-6	-14	-8	0.0058465044024867	0.92262
263	-8	-6	-16	-12	-8	-14	0.0035296005337853	0.922567
471	-8	-16	-12	-8	-18	-11	0.00899301154915329	0.922399
394	-14	-14	-4	-18	-8	-20	0.00174944285539901	0.922083
46	-2	0	-16	-8	-12	-10	0.000357816432964349	0.92202
391	-10	-14	-13	-12	-14	-12	0.000499957234936491	0.922008
260	-8	-14	-13	-10	-16	-16	0	0.921883
136	-10	-18	-15	-14	-8	-13	0.0145107246143806	0.921665
375	-2	-10	-15	-10	-14	-13	0.00090894448638101	0.921564
120	-6	-16	-12	-10	-16	-12	0.00481507775885349	0.921111
37	-8	-2	-12	-8	-14	-11	0.000310533186222685	0.920963
118	-12	-14	-14	-10	-18	-12	0	0.920925
76	-10	-18	-18	-10	-14	-10	0.0030467129512827	0.920511
318	-10	-10	-15	-4	-12	-14	0.00258167535688403	0.920232
409	-8	-8	-12	-8	-2	-8	0.0194361490292298	0.91951
250	-18	-12	-2	-14	-8	-24	0.00197428365923265	0.918527
132	-10	-18	-15	-10	-8	-14	0.00788572475875909	0.918525
121	-12	-18	-22	-8	-14	-2	0.000463167077928404	0.918251
215	-4	-8	-16	-6	-10	-13	0.0214255674494246	0.918171
350	-4	-12	-11	-6	-2	-12	0.0214255674494246	0.918171
424	-6	0	-16	-4	-2	-8	0.0214255438840073	0.918171
447	-6	-6	-11	-4	-10	-13	0.0214255674494246	0.918171
449	-6	-6	-12	-4	-4	-13	0.0214255438840073	0.918171
474	-18	-6	-15	-4	-10	-11	0.00153489542337928	0.918143
398	-12	-4	-15	-16	-14	-15	0.0225556102289229	0.917983
319	-2	-16	-14	-8	-2	-8	0.0301118022799284	0.917862
293	-8	-18	-11	-8	-4	-10	0.00260703407111545	0.917749
455	-4	-18	-12	-14	-16	-14	0.0017836492409906	0.917652
52	-6	0	-14	-10	-14	-11	0	0.917555
351	-8	-16	-12	-12	-2	-18	0.00597612292034785	0.917414
311	-8	-16	-11	-8	-6	-8	0.00476292284099279	0.91718
187	-10	-6	-15	-8	-16	-15	0	0.916724
145	-14	-4	-16	-10	-14	-1	0.000510829952285998	0.916617
48	-2	0	-12	-8	-18	-12	0.000326189441175353	0.915663
165	-14	-14	-16	-14	-6	-14	0	0.914627
