glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-15	-10	-18	-15	0.933086
-2	-6	-14	-16	-6	-12	0.84611
-18	-10	-2	-2	-14	-15	0.544312
-20	-2	-6	-4	0	-1	0.594523
-2	-2	-12	-12	-8	-1	0.394558
-10	-14	-12	-14	-6	-10	0.874669
-20	-18	-2	-12	-18	-16	0.821597
-20	-18	-10	-12	-10	-10	0.774202
-10	-6	-2	-6	-16	-2	0.495299
-14	0	-4	-12	-12	-12	0.819793
-20	-18	-6	-6	-10	-20	0.704886
-8	0	-11	-6	-14	-16	0
-4	-6	-10	-12	-12	-4	0.694851
-2	-6	-28	-4	-14	-2	0
-2	-2	-14	-18	-8	-2	0.457913
-2	-16	-18	-2	-6	-10	0.866995
-8	-18	-2	-14	0	-16	0.767524
-2	-6	-1	-10	-6	-10	0.872932
-4	-12	-11	-10	0	-8	0.847354
-4	-10	-26	-6	-10	-2	0
-4	-2	-22	-14	-18	-1	0.533266
-4	-12	-16	-18	-14	-4	0.644016
-6	-10	-24	-18	-2	-6	0.739306
-8	-14	-20	-4	-14	-1	0
-2	-14	-24	-18	-2	-6	0.6627
-16	-16	-28	-8	-4	-2	0.932121
-6	-12	-24	-16	-4	-6	0.794854
-20	-10	-1	-10	-18	-24	0.872524
-8	-16	-24	-12	0	-6	0
-16	-16	-18	-2	-10	-1	0
-10	-10	-24	-16	-6	-6	0.897827
-8	-18	-14	-20	-12	-16	0.89803
-18	0	-12	-10	-14	-15	0.847511
-20	-2	-1	-12	-18	-8	0.614597
-8	-2	-12	-10	-16	-12	0.924488
-8	-16	-11	-2	-2	-13	0
-8	-2	-12	-8	-14	-11	0.920963
-8	0	-13	-12	-6	-14	0
-12	-2	-13	-8	-12	-10	0.900276
-10	-8	-1	-16	-16	-8	0.746893
-12	0	-16	-8	-2	-11	0.904773
-18	-14	-18	-2	-18	-4	0.913086
-14	-2	-15	-8	-12	-15	0.907117
-8	0	-15	-10	-16	-8	0.884338
-8	-14	-10	-18	-14	-4	0.669247
-2	0	-16	-8	-12	-10	0.92202
-16	-4	-14	-4	-4	-11	0.847351
-2	0	-12	-8	-18	-12	0.915663
-16	-8	-13	-4	-4	-11	0.865534
-2	0	-20	-10	-2	-8	0.776982
-10	-12	-18	-16	-10	-12	0.884899
