1: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-10', p5_ac2='-18', p6_o22='-7',1,0.864494
2: p1_glu1='-4', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',2,0.33952
3: p1_glu1='-10', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-8', p6_o22='-2',3,0.807988
4: p1_glu1='-10', p2_ac1='-2', p3_o21='-4', p4_glu2='-14', p5_ac2='-8', p6_o22='-6',4,0.731625
5: p1_glu1='-18', p2_ac1='-10', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-4',5,0.428193
6: p1_glu1='-8', p2_ac1='-10', p3_o21='-5', p4_glu2='-2', p5_ac2='-16', p6_o22='-3',6,0.86234
7: p1_glu1='-2', p2_ac1='-2', p3_o21='-3', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',7,0.350637
8: p1_glu1='-2', p2_ac1='-12', p3_o21='-7', p4_glu2='-20', p5_ac2='-16', p6_o22='-7',8,0.744811
9: p1_glu1='-8', p2_ac1='-6', p3_o21='-1', p4_glu2='-14', p5_ac2='-4', p6_o22='-7',9,0.761618
10: p1_glu1='-2', p2_ac1='-18', p3_o21='-5', p4_glu2='-4', p5_ac2='-6', p6_o22='-5',10,0.95162
11: p1_glu1='-14', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',11,0.682493
12: p1_glu1='-20', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-14', p6_o22='-3',12,0.56295
13: p1_glu1='-16', p2_ac1='-18', p3_o21='-2', p4_glu2='-16', p5_ac2='-18', p6_o22='-2',13,0.481422
14: p1_glu1='-18', p2_ac1='-12', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-6',14,0.647716
15: p1_glu1='-18', p2_ac1='-18', p3_o21='-3', p4_glu2='-10', p5_ac2='-6', p6_o22='-6',15,0.633786
16: p1_glu1='-4', p2_ac1='-6', p3_o21='-7', p4_glu2='-16', p5_ac2='-2', p6_o22='-7',16,0.760425
17: p1_glu1='-20', p2_ac1='-18', p3_o21='-3', p4_glu2='-2', p5_ac2='-12', p6_o22='-1',17,0.553611
18: p1_glu1='-14', p2_ac1='-2', p3_o21='-5', p4_glu2='-4', p5_ac2='-18', p6_o22='-1',18,0.623786
19: p1_glu1='-8', p2_ac1='-18', p3_o21='-3', p4_glu2='-4', p5_ac2='-2', p6_o22='-1',19,0.644951
20: p1_glu1='-16', p2_ac1='-8', p3_o21='-1', p4_glu2='-4', p5_ac2='-12', p6_o22='-4',20,0.485437
21: p1_glu1='-12', p2_ac1='-18', p3_o21='-1', p4_glu2='-10', p5_ac2='-18', p6_o22='-1',21,0.29646
22: p1_glu1='-4', p2_ac1='-8', p3_o21='-4', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',22,0.940568
23: p1_glu1='-4', p2_ac1='0', p3_o21='-2', p4_glu2='-14', p5_ac2='-14', p6_o22='-7',23,0.824654
24: p1_glu1='-2', p2_ac1='-6', p3_o21='-6', p4_glu2='-14', p5_ac2='-12', p6_o22='-2',24,0.537597
25: p1_glu1='-2', p2_ac1='-2', p3_o21='-2', p4_glu2='-16', p5_ac2='-10', p6_o22='-7',25,0.752023
26: p1_glu1='-18', p2_ac1='-8', p3_o21='-3', p4_glu2='-6', p5_ac2='-4', p6_o22='-2',26,0.560303
27: p1_glu1='-4', p2_ac1='-2', p3_o21='-1', p4_glu2='-4', p5_ac2='-14', p6_o22='-7',27,0.936549
28: p1_glu1='-10', p2_ac1='-12', p3_o21='-4', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',28,0.821838
29: p1_glu1='-2', p2_ac1='-4', p3_o21='-2', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',29,0.984716
30: p1_glu1='-18', p2_ac1='-10', p3_o21='-5', p4_glu2='-16', p5_ac2='-12', p6_o22='-3',30,0.624897
31: p1_glu1='-4', p2_ac1='0', p3_o21='-1', p4_glu2='-8', p5_ac2='0', p6_o22='-7',31,0.651224
32: p1_glu1='-2', p2_ac1='-4', p3_o21='-6', p4_glu2='-8', p5_ac2='-18', p6_o22='-5',32,0.858004
33: p1_glu1='-12', p2_ac1='-18', p3_o21='-2', p4_glu2='-2', p5_ac2='0', p6_o22='-5',33,0.53399
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-4', p4_glu2='-12', p5_ac2='-6', p6_o22='-1',34,0.53244
35: p1_glu1='-12', p2_ac1='0', p3_o21='-1', p4_glu2='-4', p5_ac2='-8', p6_o22='-6',35,0.615667
36: p1_glu1='-2', p2_ac1='-14', p3_o21='-4', p4_glu2='-2', p5_ac2='-10', p6_o22='-6',36,0.937169
37: p1_glu1='-12', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-10', p6_o22='-5',37,0.55488
38: p1_glu1='-18', p2_ac1='-18', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-5',38,0.730263
39: p1_glu1='-12', p2_ac1='-14', p3_o21='-2', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',39,0.613513
40: p1_glu1='-6', p2_ac1='0', p3_o21='-1', p4_glu2='-12', p5_ac2='-8', p6_o22='-7',40,0.836349
41: p1_glu1='-12', p2_ac1='-10', p3_o21='-1', p4_glu2='-4', p5_ac2='-2', p6_o22='-7',41,0.586191
42: p1_glu1='-8', p2_ac1='-6', p3_o21='-4', p4_glu2='-8', p5_ac2='-12', p6_o22='-4',42,0.748837
43: p1_glu1='-12', p2_ac1='-12', p3_o21='-2', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',43,0.654538
44: p1_glu1='-2', p2_ac1='-10', p3_o21='-3', p4_glu2='-4', p5_ac2='-10', p6_o22='-6',44,0.979069
45: p1_glu1='-14', p2_ac1='-2', p3_o21='-7', p4_glu2='-10', p5_ac2='0', p6_o22='-4',45,0.728676
46: p1_glu1='-2', p2_ac1='-14', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-5',46,1.00107
47: p1_glu1='-20', p2_ac1='-6', p3_o21='-3', p4_glu2='-18', p5_ac2='-8', p6_o22='-7',47,0.667793
48: p1_glu1='-2', p2_ac1='-16', p3_o21='-3', p4_glu2='-4', p5_ac2='-14', p6_o22='-6',48,0.979473
49: p1_glu1='-6', p2_ac1='-2', p3_o21='-1', p4_glu2='-2', p5_ac2='-16', p6_o22='-5',49,0.672874
50: p1_glu1='-4', p2_ac1='-12', p3_o21='-2', p4_glu2='-4', p5_ac2='-12', p6_o22='-6',50,0.923166
51: p1_glu1='-12', p2_ac1='-2', p3_o21='-7', p4_glu2='-6', p5_ac2='-14', p6_o22='-1',51,0.758257
52: p1_glu1='-4', p2_ac1='-10', p3_o21='-2', p4_glu2='-2', p5_ac2='-14', p6_o22='-5',52,0.837692
53: p1_glu1='-12', p2_ac1='-2', p3_o21='-1', p4_glu2='-12', p5_ac2='-12', p6_o22='-2',53,0.437178
54: p1_glu1='-2', p2_ac1='-14', p3_o21='-2', p4_glu2='-4', p5_ac2='-16', p6_o22='-5',54,0.95835
55: p1_glu1='-2', p2_ac1='-4', p3_o21='-5', p4_glu2='-2', p5_ac2='-6', p6_o22='-2',55,0.984086
56: p1_glu1='-6', p2_ac1='-10', p3_o21='-3', p4_glu2='-20', p5_ac2='-8', p6_o22='-2',56,0.51307
57: p1_glu1='-2', p2_ac1='-4', p3_o21='-5', p4_glu2='-2', p5_ac2='-12', p6_o22='-2',57,0.984916
58: p1_glu1='-4', p2_ac1='-12', p3_o21='-5', p4_glu2='-18', p5_ac2='-16', p6_o22='-1',58,0.496112
59: p1_glu1='-2', p2_ac1='-6', p3_o21='-5', p4_glu2='-4', p5_ac2='-12', p6_o22='-2',59,0.838592
60: p1_glu1='-6', p2_ac1='-6', p3_o21='-6', p4_glu2='-16', p5_ac2='-10', p6_o22='-6',60,0.726318
61: p1_glu1='-2', p2_ac1='-6', p3_o21='-2', p4_glu2='-4', p5_ac2='-4', p6_o22='-2',61,0.514721
62: p1_glu1='-12', p2_ac1='-16', p3_o21='-1', p4_glu2='-4', p5_ac2='0', p6_o22='-2',62,0.310922
