glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-7	-10	-18	-7	0.864494
-4	-4	-2	-12	-2	-1	0.33952
-10	-18	-6	-8	-8	-2	0.807988
-10	-2	-4	-14	-8	-6	0.731625
-18	-10	-1	-2	-14	-4	0.428193
-8	-10	-5	-2	-16	-3	0.86234
-2	-2	-3	-12	-8	-1	0.350637
-2	-12	-7	-20	-16	-7	0.744811
-8	-6	-1	-14	-4	-7	0.761618
-2	-18	-5	-4	-6	-5	0.95162
-14	-12	-4	-4	-10	-7	0.682493
-20	-14	-3	-6	-14	-3	0.56295
-16	-18	-2	-16	-18	-2	0.481422
-18	-12	-4	-16	-18	-6	0.647716
-18	-18	-3	-10	-6	-6	0.633786
-4	-6	-7	-16	-2	-7	0.760425
-20	-18	-3	-2	-12	-1	0.553611
-14	-2	-5	-4	-18	-1	0.623786
-8	-18	-3	-4	-2	-1	0.644951
-16	-8	-1	-4	-12	-4	0.485437
-12	-18	-1	-10	-18	-1	0.29646
-4	-8	-4	-4	-4	-6	0.940568
-4	0	-2	-14	-14	-7	0.824654
-2	-6	-6	-14	-12	-2	0.537597
-2	-2	-2	-16	-10	-7	0.752023
-18	-8	-3	-6	-4	-2	0.560303
-4	-2	-1	-4	-14	-7	0.936549
-10	-12	-4	-10	-8	-7	0.821838
-2	-4	-2	-4	-10	-7	0.984716
-18	-10	-5	-16	-12	-3	0.624897
-4	0	-1	-8	0	-7	0.651224
-2	-4	-6	-8	-18	-5	0.858004
-12	-18	-2	-2	0	-5	0.53399
-20	-2	-4	-12	-6	-1	0.53244
-12	0	-1	-4	-8	-6	0.615667
-2	-14	-4	-2	-10	-6	0.937169
-12	-10	-2	-2	-10	-5	0.55488
-18	-18	-7	-12	-2	-5	0.730263
-12	-14	-2	-4	-4	-6	0.613513
-6	0	-1	-12	-8	-7	0.836349
-12	-10	-1	-4	-2	-7	0.586191
-8	-6	-4	-8	-12	-4	0.748837
-12	-12	-2	-4	-10	-7	0.654538
