glu1	ac1	o21	glu2	ac2	o22	sd	fitness
293	-2	-18	-5	-2	-16	-1	0.00500662509465548	1.00567
414	-2	-8	-5	-2	0	-1	0.00972910311072873	1.00534
401	-2	-14	-1	-2	-16	-5	0.00277802421855303	1.0033
287	-2	-18	-5	-2	-8	-1	0.00302736213177251	1.00327
279	-2	-18	-5	-2	0	-1	0.00821930260964955	1.00322
46	-2	-14	-1	-2	-14	-5	0.00634293118178084	1.00107
410	-2	-16	-5	-2	-4	-1	0.00227087090324164	1.00073
275	-2	-18	-5	-2	-12	-1	0.00764923773806213	0.998909
412	-2	-16	-5	-2	0	-1	0.00944776248626401	0.998331
277	-2	-18	-5	-2	-6	-1	0.00455047336892693	0.998131
291	-2	-18	-5	-2	-14	-1	0.00761232167855022	0.998037
407	-2	-14	-5	-2	-8	-1	0.00677162004156371	0.99387
405	-2	-14	-5	-2	-6	-1	0.00435644125966505	0.992544
498	-2	-18	-5	-2	-18	-3	0.00385652190066767	0.990724
357	-2	-4	-5	-2	-12	-3	0.00274376290516263	0.989362
179	-2	-12	-5	-2	-8	-2	0.00432892359291236	0.98797
211	-2	-16	-5	-2	-6	-2	0.00259059578024764	0.987008
359	-2	-8	-5	-2	-18	-3	0.00179237914254236	0.986572
488	-4	-16	-6	-2	-2	-3	0.000474691285284282	0.986527
221	-6	-16	-7	-2	-6	-3	0.000260992551156538	0.986315
235	-6	-18	-7	-2	0	-2	0.0002015884594576	0.98628
237	-6	-14	-7	-2	0	-2	0.0002015884594576	0.986163
181	-2	-14	-5	-2	-14	-2	0.00212364269205735	0.986123
281	-2	-18	-5	-2	-6	-3	0.00774317968216569	0.985617
205	-2	-16	-5	-2	-8	-2	0.00255480148772943	0.985503
207	-2	-14	-5	-2	-6	-2	0.00432824212830942	0.985337
57	-2	-4	-5	-2	-12	-2	0.00673796269187734	0.984916
29	-2	-4	-2	-4	-10	-7	7.02709317001513e-05	0.984716
312	-4	-18	-7	-2	-4	-2	0	0.984675
239	-4	-16	-7	-2	-2	-2	0.000180069451469711	0.984638
203	-4	-12	-7	-2	-10	-2	0.000246767214046908	0.984598
310	-4	-18	-7	-2	0	-2	0.000271876606588118	0.984276
185	-2	-10	-5	-2	0	-2	0.00675541529339478	0.984126
55	-2	-4	-5	-2	-6	-2	0.00547789082526327	0.984086
225	-2	-14	-5	-2	-4	-2	0.00453636484666775	0.983809
217	-4	-14	-6	-2	0	-3	0.000662522280515941	0.983808
492	-4	-18	-6	-2	0	-3	0.000662522280515941	0.983808
472	-2	-14	-2	-2	-2	-5	0.00523400034182127	0.983586
437	-2	-14	-7	-4	-2	-5	0.00271902305452586	0.981985
189	-2	-12	-5	-2	0	-2	0.00386551827883975	0.981069
94	-2	0	-3	-2	-2	-5	0.00365437427494837	0.980615
175	-2	-12	-5	-2	-16	-2	0.00226124724047242	0.980108
283	-2	-18	-5	-2	-8	-2	0.00255919250726734	0.979751
48	-2	-16	-3	-4	-14	-6	0.00755305251949422	0.979473
44	-2	-10	-3	-4	-10	-6	0.00792545425850898	0.979069
439	-2	-14	-7	-4	-12	-6	0.00343865702385745	0.978719
490	-4	-16	-6	-2	-4	-3	0.00825160983762395	0.978666
68	-2	-16	-7	-4	0	-5	0.0071884127643476	0.978663
435	-2	-14	-7	-4	-10	-5	0.00750420850926251	0.978197
465	-2	-18	-7	-4	-4	-3	0.00698594022777403	0.976866
345	-4	-18	-6	-2	-18	-3	0.000698557363163154	0.974709
