glu1	ac1	o21	glu2	ac2	o22	sd	fitness
471	-6	-10	-7	-2	-18	-7	0.000481817587618655	0.782351
357	-6	-10	-7	-2	-4	-7	0.000465215400425254	0.78162
359	-6	-18	-7	-2	-6	-7	0.00115285332292866	0.779783
350	-6	-10	-7	-2	-6	-7	0.00054819560191347	0.779115
362	-6	-14	-7	-2	-6	-7	0.000610140563397361	0.77843
489	-6	-6	-7	-2	-18	-7	0.000507938154221558	0.775415
243	-6	-12	-7	-2	-4	-4	0.000183308735511254	0.773717
499	-6	-18	-7	-4	-2	-7	0.0053977678690554	0.771708
473	-2	-4	-6	-6	-10	-7	0.000429088202689545	0.76879
215	-6	-8	-7	-2	-4	-6	0.000349353524940355	0.767668
173	-10	-10	-7	-2	-4	-7	0.000462162536457923	0.767462
221	-8	-14	-7	-2	-6	-7	0.00394377437918584	0.767277
171	-10	-10	-7	-2	-6	-7	0.000134821902575119	0.766189
251	-6	-14	-7	-2	-14	-6	0.000969191938606029	0.766084
245	-6	-16	-7	-2	-8	-6	0.000521543647018054	0.765739
165	-8	-10	-7	-2	-6	-6	0.00049625511950572	0.764586
225	-6	-18	-7	-2	-6	-3	0.00011476649593533	0.76416
497	-6	-18	-7	-2	-2	-6	0.0002316697075204	0.764109
227	-6	-16	-7	-2	-6	-3	0.000185235651664188	0.764084
205	-6	-10	-7	-2	-6	-3	0.000114053298028745	0.764037
247	-10	-14	-7	-2	-8	-6	0.000366638924032658	0.763915
495	-6	-18	-7	-2	-2	-7	0.000515252524695058	0.763844
217	-6	-8	-7	-2	-2	-6	0.000687061153633471	0.763285
364	-12	-10	-7	-2	-4	-7	0.00023807013235299	0.761994
1	-10	-18	-7	-10	-18	-7	0	0.761414
427	-2	-4	-6	-8	-18	-7	0.000397437068835389	0.761362
249	-6	-10	-7	-2	-18	-5	0.000231678696961631	0.760935
485	-2	-4	-6	-8	-8	-7	0.000186682463270128	0.760674
253	-10	-18	-7	-2	-18	-5	0.000283310867529542	0.760035
389	-4	-16	-7	-4	0	-7	0.00083134607370698	0.759908
219	-8	-14	-7	-2	-2	-6	7.10170388550446e-05	0.759255
193	-4	-10	-7	-2	-10	-7	0.00166665515425178	0.758815
127	-6	-10	-7	-4	-14	-3	0.000496536506745819	0.758692
167	-8	-10	-7	-2	-4	-5	0.000425848900492272	0.757384
187	-4	-10	-7	-2	-18	-7	0.0056966471991627	0.75644
387	-6	-18	-7	-2	-18	-2	7.81152876167037e-05	0.756023
487	-2	-4	-6	-12	-8	-7	0.000176160019767743	0.755172
156	-10	-10	-7	-2	0	-7	0	0.754392
233	-8	-16	-7	-2	-4	-2	0.00953463458029071	0.753752
72	-4	-10	-1	-10	-16	-7	8.8676839806787e-05	0.753416
223	-8	-16	-7	-2	-6	-5	0.000258105662101661	0.75341
477	-6	0	-4	-10	-8	-7	0	0.752934
209	-10	-12	-7	-2	-14	-3	3.57925190352993e-05	0.752556
229	-10	-18	-7	-2	-14	-3	5.78490437822035e-05	0.752448
301	-4	-18	-7	-6	-16	-6	0	0.751093
429	-2	-12	-6	-4	-18	-7	0.00395829403346872	0.751016
