1: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-10', p5_ac2='-18', p6_o22='-7',1,0.761414
2: p1_glu1='-4', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',2,0.169561
3: p1_glu1='-10', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-8', p6_o22='-2',3,0.685897
4: p1_glu1='-10', p2_ac1='-2', p3_o21='-4', p4_glu2='-14', p5_ac2='-8', p6_o22='-6',4,0.672411
5: p1_glu1='-18', p2_ac1='-10', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-4',5,0.214095
6: p1_glu1='-8', p2_ac1='-10', p3_o21='-5', p4_glu2='-2', p5_ac2='-16', p6_o22='-3',6,0.662666
7: p1_glu1='-2', p2_ac1='-2', p3_o21='-3', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',7,0.175466
8: p1_glu1='-2', p2_ac1='-12', p3_o21='-7', p4_glu2='-20', p5_ac2='-16', p6_o22='-7',8,0.726572
9: p1_glu1='-8', p2_ac1='-6', p3_o21='-1', p4_glu2='-14', p5_ac2='-4', p6_o22='-7',9,0.651642
10: p1_glu1='-2', p2_ac1='-18', p3_o21='-5', p4_glu2='-4', p5_ac2='-6', p6_o22='-5',10,0.666015
11: p1_glu1='-14', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',11,0.633572
12: p1_glu1='-20', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-14', p6_o22='-3',12,0.514676
13: p1_glu1='-6', p2_ac1='-6', p3_o21='-7', p4_glu2='-20', p5_ac2='-12', p6_o22='-4',13,0.631608
14: p1_glu1='-18', p2_ac1='-12', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-6',14,0.651528
15: p1_glu1='-8', p2_ac1='-6', p3_o21='-4', p4_glu2='-4', p5_ac2='-8', p6_o22='-1',15,0.5551
16: p1_glu1='-4', p2_ac1='-6', p3_o21='-7', p4_glu2='-16', p5_ac2='-2', p6_o22='-7',16,0.626713
17: p1_glu1='-6', p2_ac1='0', p3_o21='-4', p4_glu2='-6', p5_ac2='-18', p6_o22='-1',17,0.251569
18: p1_glu1='-14', p2_ac1='-2', p3_o21='-5', p4_glu2='-4', p5_ac2='-18', p6_o22='-1',18,0.449439
19: p1_glu1='-10', p2_ac1='-2', p3_o21='-6', p4_glu2='-12', p5_ac2='-2', p6_o22='-7',19,0.55883
20: p1_glu1='-16', p2_ac1='-8', p3_o21='-1', p4_glu2='-4', p5_ac2='-12', p6_o22='-4',20,0.304881
21: p1_glu1='-20', p2_ac1='-6', p3_o21='-5', p4_glu2='-20', p5_ac2='-16', p6_o22='-5',21,0.653566
22: p1_glu1='-4', p2_ac1='-8', p3_o21='-4', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',22,0.675901
23: p1_glu1='-16', p2_ac1='0', p3_o21='-7', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',23,0.667938
24: p1_glu1='-2', p2_ac1='-6', p3_o21='-6', p4_glu2='-14', p5_ac2='-12', p6_o22='-2',24,0.462909
25: p1_glu1='-2', p2_ac1='0', p3_o21='-6', p4_glu2='-12', p5_ac2='-4', p6_o22='-7',25,0.68635
26: p1_glu1='-18', p2_ac1='-8', p3_o21='-3', p4_glu2='-6', p5_ac2='-4', p6_o22='-2',26,0.496955
27: p1_glu1='-18', p2_ac1='0', p3_o21='-6', p4_glu2='-6', p5_ac2='-16', p6_o22='-7',27,0.600485
28: p1_glu1='-10', p2_ac1='-12', p3_o21='-4', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',28,0.718957
29: p1_glu1='-14', p2_ac1='0', p3_o21='-6', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',29,0.654309
30: p1_glu1='-18', p2_ac1='-10', p3_o21='-5', p4_glu2='-16', p5_ac2='-12', p6_o22='-3',30,0.615125
31: p1_glu1='-10', p2_ac1='0', p3_o21='-6', p4_glu2='-16', p5_ac2='-10', p6_o22='-7',31,0.725723
32: p1_glu1='-2', p2_ac1='-4', p3_o21='-6', p4_glu2='-8', p5_ac2='-18', p6_o22='-5',32,0.672792
33: p1_glu1='-4', p2_ac1='-16', p3_o21='-2', p4_glu2='-8', p5_ac2='-14', p6_o22='-6',33,0.709937
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-4', p4_glu2='-12', p5_ac2='-6', p6_o22='-1',34,0.401637
35: p1_glu1='-8', p2_ac1='-16', p3_o21='-2', p4_glu2='-8', p5_ac2='-12', p6_o22='-7',35,0.716059
36: p1_glu1='-2', p2_ac1='-14', p3_o21='-4', p4_glu2='-2', p5_ac2='-10', p6_o22='-6',36,0.533168
