glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-7	-10	-18	-7	0.761414
-4	-4	-2	-12	-2	-1	0.169561
-10	-18	-6	-8	-8	-2	0.685897
-10	-2	-4	-14	-8	-6	0.672411
-18	-10	-1	-2	-14	-4	0.214095
-8	-10	-5	-2	-16	-3	0.662666
-2	-2	-3	-12	-8	-1	0.175466
-2	-12	-7	-20	-16	-7	0.726572
-8	-6	-1	-14	-4	-7	0.651642
-2	-18	-5	-4	-6	-5	0.666015
-14	-12	-4	-4	-10	-7	0.633572
-20	-14	-3	-6	-14	-3	0.514676
-6	-6	-7	-20	-12	-4	0.631608
-18	-12	-4	-16	-18	-6	0.651528
-8	-6	-4	-4	-8	-1	0.5551
-4	-6	-7	-16	-2	-7	0.626713
-6	0	-4	-6	-18	-1	0.251569
-14	-2	-5	-4	-18	-1	0.449439
-10	-2	-6	-12	-2	-7	0.55883
-16	-8	-1	-4	-12	-4	0.304881
-20	-6	-5	-20	-16	-5	0.653566
-4	-8	-4	-4	-4	-6	0.675901
-16	0	-7	-10	-8	-7	0.667938
-2	-6	-6	-14	-12	-2	0.462909
-2	0	-6	-12	-4	-7	0.68635
-18	-8	-3	-6	-4	-2	0.496955
-18	0	-6	-6	-16	-7	0.600485
-10	-12	-4	-10	-8	-7	0.718957
-14	0	-6	-6	-12	-7	0.654309
-18	-10	-5	-16	-12	-3	0.615125
-10	0	-6	-16	-10	-7	0.725723
-2	-4	-6	-8	-18	-5	0.672792
-4	-16	-2	-8	-14	-6	0.709937
-20	-2	-4	-12	-6	-1	0.401637
-8	-16	-2	-8	-12	-7	0.716059
-2	-14	-4	-2	-10	-6	0.533168
-4	-12	-2	-20	-12	-5	0.643426
-18	-18	-7	-12	-2	-5	0.707991
-8	-12	-2	-6	-10	-7	0.698637
-6	0	-1	-12	-8	-7	0.732758
-10	-16	-2	-10	-12	-6	0.663789
-8	-6	-4	-8	-12	-4	0.597335
-8	-16	-1	-20	-16	-5	0.625866
-4	-16	-3	-10	-2	-2	0.354372
-14	-2	-7	-10	0	-4	0.493324
-4	-12	-3	-18	-2	-2	0.375105
-20	-6	-3	-18	-8	-7	0.677465
-12	-12	-3	-16	-14	-4	0.576579
-6	-2	-1	-2	-16	-5	0.446853
-6	-14	-3	-16	-8	-3	0.499758
-12	-2	-7	-6	-14	-1	0.531304
-18	-14	-3	-8	-6	-2	0.490888
-12	-2	-1	-12	-12	-2	0.220886
-4	-14	-3	-12	-4	-4	0.568239
-2	-18	-3	-4	-4	-7	0.717477
-6	-10	-3	-20	-8	-2	0.392304
-4	-14	-2	-4	-6	-7	0.714145
-4	-12	-5	-18	-16	-1	0.399397
-6	-6	-6	-16	-10	-6	0.690829
-8	-14	-3	-4	-6	-7	0.640463
-12	-16	-1	-4	0	-2	0.155618
-4	-12	-3	-4	-18	-7	0.722425
-20	-10	-7	-12	-2	-7	0.718932
-4	0	-2	-4	-14	-7	0.716626
-20	-18	-2	-12	-4	-4	0.488052
-6	-8	-1	-18	-16	-7	0.713228
-8	-18	-1	-2	-10	-4	0.297717
-2	-14	-1	-6	-16	-7	0.750125
-14	0	-1	-4	0	-2	0.475769
-6	-8	-1	-18	-18	-7	0.713228
-6	0	-1	-2	0	-2	0.285602
