sucrPer	Synecho	KT	NH4	sd	fitness
246	40	1.25	0.02	3.5	0	0.558566
352	60	1.75	0.075	2.5	0	0.558197
460	60	1.75	0.125	4.5	0	0.536
458	60	1.75	0.15	4.5	0	0.53592
184	40	2	0.02	1	0	0.53026
464	60	1.75	0.175	5	0	0.53017
328	20	2	0.125	1.5	0	0.511431
212	50	1.25	0.2	2.5	0	0.504507
120	20	2	0.02	3	0	0.498804
62	20	2	0.075	4	0	0.491154
146	60	1.5	0.075	1	0	0.490909
482	60	1.5	0.2	1	0	0.490803
484	60	1.5	0.2	2	0	0.479793
48	70	2	0.2	1	0	0.476309
158	70	2	0.02	1	0	0.476153
96	20	1.75	0.1	1	0	0.472219
149	20	1.75	0.05	1.5	0	0.469491
88	20	1.75	0.1	2	0	0.465744
98	20	1.75	0.2	2.5	0	0.461921
94	20	1.75	0.05	2.5	0	0.46056
46	70	2	0.2	2.5	0	0.459917
155	60	1.5	0.125	4	0	0.457705
92	20	1.75	0.125	3	0	0.456451
44	70	2	0.2	3	0	0.454457
6	40	1	0.1	2	0	0.451845
2	40	1	0.02	3	0	0.446134
52	70	2	0.2	4	0	0.443442
423	20	1.75	0.125	5	0	0.442149
455	70	2	0.02	4.5	0	0.436772
69	20	1.75	0.05	6	0	0.433679
139	70	2	0.2	5	0	0.43231
8	20	1.5	0.075	1	0	0.430018
461	20	1.5	0.125	1	0	0.429973
408	20	1.5	0.15	1	0	0.429949
488	20	1.5	0.175	1	0	0.429916
50	70	2	0.2	6	0	0.421153
206	70	1.75	0.1	0.5	0	0.420118
500	50	1	0.05	1.5	0	0.408539
38	20	1.5	0.02	4	0	0.407728
346	60	1.25	0.1	1	0	0.407254
314	70	1.75	0.125	2	0	0.404562
110	50	2	0.02	0.5	0	0.401159
436	20	1.5	0.02	6	0	0.392119
280	70	1.75	0.05	4	0	0.382819
134	70	1.75	0.1	5	0	0.371612
34	20	1.25	0.075	3	0	0.369541
264	30	0.75	0.05	1	0	0.356646
286	80	2	0.05	2.5	0	0.353325
279	70	1.5	0.15	1.5	0	0.349057
471	70	1.5	0.05	3	0	0.332776
489	70	1.5	0.175	3	0	0.332527
7	80	2	0.05	4.5	0	0.33213
491	60	1	0.15	1	0	0.325694
415	60	1	0.15	1.5	0	0.320045
178	80	1.75	0.15	1.5	0	0.317018
198	80	1.75	0.2	1.5	0	0.316975
148	80	2	0.125	6	0	0.315268
390	50	0.75	0.2	0.5	0	0.312067
107	80	1.75	0.175	3	0	0.300595
440	70	1.25	0.175	0.5	0	0.299028
31	80	1.75	0.2	4	0	0.289527
399	70	1.25	0.2	1.5	0	0.288017
9	80	1.75	0.125	5	0	0.27879
275	70	1.25	0.1	4	0	0.260499
250	10	2	0.02	3	0	0.258374
258	80	1.5	0.2	2.5	0	0.258354
226	80	1.5	0.15	3.5	0	0.247426
129	10	2	0.02	8	0	0.241775
433	10	1.75	0.05	3	0	0.238093
494	80	1.5	0.15	4.5	0	0.236296
448	10	1.75	0.05	4	0	0.234948
446	10	1.75	0.02	4	0	0.234903
26	80	1.25	0.175	0.5	0	0.232614
172	80	1.5	0.05	5	0	0.231118
72	10	1.75	0.05	6	0	0.228522
278	10	2	0.02	12	0	0.227951
322	10	1.5	0.05	0.5	0	0.22454
342	20	0.5	0.02	1	0	0.214339
291	10	1.25	0.05	0.5	0	0.202602
302	10	1.75	0.02	0.5	0	0.202012
