58: p1_percSucr='30', p2_biomassSynecho='1.25', p3_biomassKT='0.2', p4_nh4='4',58,0.0585688
59: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='1',59,0.8351
60: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.175', p4_nh4='5',60,0.0740898
61: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='7',61,0.098317
62: p1_percSucr='20', p2_biomassSynecho='2', p3_biomassKT='0.075', p4_nh4='4',62,0.491154
63: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='6',63,0.08142
64: p1_percSucr='80', p2_biomassSynecho='0.75', p3_biomassKT='0.05', p4_nh4='11',64,0
65: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='2.5',65,0.821927
66: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='7',66,0.0430849
67: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='10',67,0.0963527
68: p1_percSucr='20', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='12',68,0.0714103
69: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='6',69,0.433679
70: p1_percSucr='80', p2_biomassSynecho='1.25', p3_biomassKT='0.075', p4_nh4='12',70,0.100293
71: p1_percSucr='80', p2_biomassSynecho='1.5', p3_biomassKT='0.02', p4_nh4='10',71,0.123193
72: p1_percSucr='10', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='6',72,0.228522
73: p1_percSucr='50', p2_biomassSynecho='1.75', p3_biomassKT='0.02', p4_nh4='12',73,0.131429
74: p1_percSucr='20', p2_biomassSynecho='0.5', p3_biomassKT='0.15', p4_nh4='11',74,0.0494638
75: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.02', p4_nh4='12',75,0.109102
76: p1_percSucr='30', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='6',76,0.609721
77: p1_percSucr='50', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='7',77,0.108109
78: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='2.5',78,0.821853
79: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='14',79,0.0770339
80: p1_percSucr='60', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='7',80,0.116043
81: p1_percSucr='30', p2_biomassSynecho='1.75', p3_biomassKT='0.075', p4_nh4='6',81,0.609786
82: p1_percSucr='60', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='6',82,0.105572
83: p1_percSucr='50', p2_biomassSynecho='1', p3_biomassKT='0.02', p4_nh4='9',83,0.0924204
84: p1_percSucr='60', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='5',84,0.0944469
85: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.1', p4_nh4='5',85,0.0605255
86: p1_percSucr='20', p2_biomassSynecho='0.5', p3_biomassKT='0.02', p4_nh4='3.5',86,0.0191864
87: p1_percSucr='50', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='5',87,0.0885599
88: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='2',88,0.465744
89: p1_percSucr='50', p2_biomassSynecho='0.75', p3_biomassKT='0.15', p4_nh4='2',89,0.0460849
90: p1_percSucr='10', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='0.5',90,0.0243111
91: p1_percSucr='80', p2_biomassSynecho='1.25', p3_biomassKT='0.15', p4_nh4='7',91,0.108698
92: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.125', p4_nh4='3',92,0.456451
93: p1_percSucr='60', p2_biomassSynecho='0.5', p3_biomassKT='0.1', p4_nh4='14',93,0
94: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='2.5',94,0.46056
95: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.125', p4_nh4='10',95,0.159009
96: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='1',96,0.472219
97: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='14',97,0.132924
98: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.2', p4_nh4='2.5',98,0.461921
99: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='1',99,0.891034
100: p1_percSucr='10', p2_biomassSynecho='1.25', p3_biomassKT='0.175', p4_nh4='4',100,0.0349391
101: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='1.5',101,0.884742
102: p1_percSucr='20', p2_biomassSynecho='1.5', p3_biomassKT='0.075', p4_nh4='8',102,0.0495595
103: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='2.5',103,0.868813
104: p1_percSucr='20', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='3.5',104,0.0484526
105: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='2',105,0.87586
106: p1_percSucr='20', p2_biomassSynecho='0.75', p3_biomassKT='0.175', p4_nh4='12',106,0.0627233
107: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.175', p4_nh4='3',107,0.300595
108: p1_percSucr='70', p2_biomassSynecho='1.25', p3_biomassKT='0.15', p4_nh4='3',108,0.0630757
109: p1_percSucr='70', p2_biomassSynecho='0.75', p3_biomassKT='0.075', p4_nh4='1.5',109,0.166291
110: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='0.5',110,0.401159
111: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='14',111,0.173144
112: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='3',112,0.865771
113: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.2', p4_nh4='9',113,0.142758
114: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='2.5',114,0.822108
115: p1_percSucr='30', p2_biomassSynecho='0.75', p3_biomassKT='0.1', p4_nh4='4',115,0.0419202
116: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='2',116,0.871356
117: p1_percSucr='10', p2_biomassSynecho='1.75', p3_biomassKT='0.2', p4_nh4='6',117,0.043487
118: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='1',118,0.686378
119: p1_percSucr='10', p2_biomassSynecho='1.5', p3_biomassKT='0.175', p4_nh4='1',119,0.0292152
120: p1_percSucr='20', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='3',120,0.498804
121: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='2.5',121,0.720725
122: p1_percSucr='10', p2_biomassSynecho='0.75', p3_biomassKT='0.02', p4_nh4='3',122,0.148257
123: p1_percSucr='10', p2_biomassSynecho='1.25', p3_biomassKT='0.15', p4_nh4='1.5',123,0.0263735
124: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='3',124,0.714036
125: p1_percSucr='80', p2_biomassSynecho='0.75', p3_biomassKT='0.125', p4_nh4='10',125,0
126: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='2.5',126,0.720691
127: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='2',127,0.727275
128: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='7',128,0.0819228
129: p1_percSucr='10', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='8',129,0.241775
130: p1_percSucr='10', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='10',130,0.0421362
131: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='2',131,0.727305
