Fitness_function	configuration	fitness	sd	C80aPHA(mM)	sucr(mM)	endCycle
MaxPHA	40.0,1.75,0.2,3.5	0.764149	0.0	19.103719	0.0	1000
MaxPHA	40.0,1.75,0.05,3.5	0.762338	0.0	19.058457	0.0	1000
MaxPHA	40.0,2.0,0.075,0.5	0.757494	0.0	18.937341	5.912791	1000
MaxPHA	40.0,1.75,0.075,4.0	0.756022	0.0	18.900556	0.0	1000
MaxPHA	40.0,1.75,0.125,4.0	0.755387	0.0	18.884663	0.0	1000
MaxPHA	40.0,1.75,0.1,4.5	0.751262	0.0	18.781556	0.0	1000
MaxPHA	40.0,1.75,0.15,4.5	0.751112	0.0	18.7778	0.0	1000
MaxPHA	40.0,2.0,0.02,1.5	0.750651	0.0	18.76627	5.838935	1000
MaxPHA	40.0,1.75,0.175,4.5	0.748229	0.0	18.705726	0.0	1000
MaxPHA	40.0,1.75,0.175,5.0	0.744238	0.0	18.605944	0.0	1000
MaxPHA	40.0,1.75,0.15,5.0	0.7442	0.0	18.604999	0.0	1000
MaxPHA	40.0,1.75,0.05,5.0	0.742237	0.0	18.555913	0.0	1000
MaxPHA	30.0,2.0,0.15,1.0	0.740235	0.0	18.505876	0.0	1000
MaxPHA	30.0,2.0,0.1,1.0	0.740203	0.0	18.505087	0.0	1000
MaxPHA	50.0,1.75,0.15,1.0	0.729978	0.0	18.249445	0.0	1000
MaxPHA	40.0,1.75,0.175,6.0	0.729691	0.0	18.242285	0.0	1000
MaxPHA	40.0,1.75,0.02,6.0	0.729378	0.0	18.234449	0.0	1000
MaxPHA	30.0,2.0,0.15,2.0	0.727305	0.0	18.182617	0.0	1000
MaxPHA	30.0,2.0,0.175,2.0	0.727275	0.0	18.181884	0.0	1000
MaxPHA	50.0,1.75,0.05,1.5	0.725483	0.0	18.137086	0.0	1000
MaxPHA	50.0,1.75,0.2,1.5	0.725307	0.0	18.132669	0.0	1000
MaxPHA	50.0,1.75,0.1,2.0	0.720789	0.0	18.019724	0.0	1000
MaxPHA	30.0,2.0,0.175,2.5	0.720725	0.0	18.018135	0.0	1000
MaxPHA	30.0,2.0,0.2,2.5	0.720691	0.0	18.017273	0.0	1000
MaxPHA	50.0,1.75,0.2,2.0	0.72064	0.0	18.015996	0.0	1000
MaxPHA	50.0,1.75,0.2,2.5	0.715949	0.0	17.898713	0.0	1000
MaxPHA	30.0,2.0,0.2,3.0	0.714036	0.0	17.850897	0.0	1000
MaxPHA	30.0,2.0,0.2,3.5	0.707056	0.0	17.676412	0.0	1000
MaxPHA	30.0,2.0,0.02,3.5	0.706048	0.0	17.65119	0.0	1000
MaxPHA	50.0,1.75,0.175,4.5	0.697116	0.0	17.427902	0.0	1000
MaxPHA	30.0,2.0,0.15,4.0	0.69709	0.0	17.427247	0.0	1000
MaxPHA	30.0,2.0,0.1,4.5	0.69336	0.0	17.334009	0.0	1000
MaxPHA	50.0,1.75,0.05,5.0	0.692783	0.0	17.319579	0.0	1000
MaxPHA	50.0,1.75,0.125,5.0	0.692486	0.0	17.312151	0.0	1000
MaxPHA	50.0,1.75,0.175,5.0	0.692337	0.0	17.308413	0.0	1000
MaxPHA	30.0,2.0,0.05,5.0	0.686701	0.0	17.167524	0.0	1000
MaxPHA	50.0,2.0,0.02,1.0	0.686378	0.0	17.15946	6.370878	1000
MaxPHA	30.0,1.75,0.2,0.5	0.679645	0.0	16.991127	0.0	1000
MaxPHA	30.0,1.75,0.175,0.5	0.67964	0.0	16.991002	0.0	1000
MaxPHA	30.0,1.75,0.2,1.0	0.673804	0.0	16.845092	0.0	1000
MaxPHA	40.0,1.5,0.02,3.0	0.67011	0.0	16.752746	0.0	1000
MaxPHA	30.0,1.75,0.175,1.5	0.667786	0.0	16.69466	0.0	1000
MaxPHA	40.0,1.5,0.125,3.5	0.665262	0.0	16.631553	0.0	1000
MaxPHA	40.0,1.5,0.2,3.5	0.665164	0.0	16.629098	0.0	1000
MaxPHA	40.0,1.5,0.02,3.5	0.665079	0.0	16.626979	0.0	1000
MaxPHA	30.0,1.75,0.15,2.0	0.661732	0.0	16.543306	0.0	1000
MaxPHA	30.0,1.75,0.175,2.0	0.6617	0.0	16.542499	0.0	1000
MaxPHA	30.0,1.75,0.2,2.0	0.661668	0.0	16.541692	0.0	1000
MaxPHA	30.0,2.0,0.1,7.0	0.657774	0.0	16.444349	0.0	1000
MaxPHA	30.0,1.75,0.175,2.5	0.655567	0.0	16.389166	0.0	1000
MaxPHA	30.0,1.75,0.2,2.5	0.655529	0.0	16.388213	0.0	1000
MaxPHA	40.0,1.5,0.05,4.5	0.654835	0.0	16.370886	0.0	1000
MaxPHA	40.0,1.5,0.175,4.5	0.654532	0.0	16.363291	0.0	1000
MaxPHA	60.0,2.0,0.075,1.5	0.652753	0.0	16.318824	0.0	1000
MaxPHA	60.0,2.0,0.15,1.5	0.652688	0.0	16.317212	0.0	1000
MaxPHA	30.0,1.75,0.2,3.0	0.649171	0.0	16.22927	0.0	1000
MaxPHA	60.0,2.0,0.02,2.0	0.647012	0.0	16.17531	0.0	1000
MaxPHA	60.0,2.0,0.05,3.0	0.636458	0.0	15.911458	0.0	1000
MaxPHA	30.0,1.75,0.175,4.0	0.636436	0.0	15.910908	0.0	1000
MaxPHA	30.0,1.75,0.02,4.0	0.6342	0.0	15.855011	0.0	1000
MaxPHA	30.0,1.75,0.02,4.5	0.630337	0.0	15.758432	0.0	1000
MaxPHA	50.0,1.5,0.2,0.5	0.628967	0.0	15.72418	0.0	1000
MaxPHA	30.0,1.75,0.125,4.5	0.626696	0.0	15.667411	0.0	1000
MaxPHA	60.0,2.0,0.175,4.0	0.625167	0.0	15.629175	0.0	1000
MaxPHA	50.0,1.5,0.15,1.0	0.624369	0.0	15.609216	0.0	1000
MaxPHA	40.0,1.5,0.02,7.0	0.623974	0.0	15.599356	0.0	1000
MaxPHA	30.0,1.75,0.15,5.0	0.623205	0.0	15.580126	0.0	1000
MaxPHA	30.0,1.75,0.125,5.0	0.623075	0.0	15.576886	0.0	1000
MaxPHA	60.0,2.0,0.02,4.5	0.620216	0.0	15.505399	0.0	1000
MaxPHA	60.0,2.0,0.2,4.5	0.619471	0.0	15.486787	0.0	1000
MaxPHA	50.0,1.5,0.05,2.0	0.615223	0.0	15.38058	0.0	1000
MaxPHA	60.0,2.0,0.1,5.0	0.614294	0.0	15.357352	0.0	1000
MaxPHA	30.0,1.75,0.075,6.0	0.609786	0.0	15.244656	0.0	1000
MaxPHA	30.0,1.75,0.05,6.0	0.609721	0.0	15.243013	0.0	1000
MaxPHA	30.0,1.5,0.1,0.5	0.608851	0.0	15.221274	0.0	1000
MaxPHA	60.0,2.0,0.175,6.0	0.602738	0.0	15.068455	0.0	1000
MaxPHA	60.0,2.0,0.2,6.0	0.602673	0.0	15.066832	0.0	1000
MaxPHA	60.0,2.0,0.125,7.0	0.591776	0.0	14.794401	0.0	1000
MaxPHA	30.0,1.5,0.02,3.0	0.58218	0.0	14.554492	0.0	1000
MaxPHA	30.0,1.5,0.02,3.5	0.576173	0.0	14.404336	0.0	1000
MaxPHA	40.0,1.25,0.1,1.5	0.570605	0.0	14.265113	0.0	1000
MaxPHA	40.0,1.25,0.15,1.5	0.570522	0.0	14.263061	0.0	1000
MaxPHA	40.0,1.25,0.02,3.5	0.558566	0.0	13.964143	0.0	1000
MaxPHA	60.0,1.75,0.075,2.5	0.558197	0.0	13.954914	0.0	1000
MaxPHA	60.0,1.75,0.125,4.5	0.536	0.0	13.4	0.0	1000
MaxPHA	60.0,1.75,0.15,4.5	0.53592	0.0	13.397993	0.0	1000
MaxPHA	40.0,2.0,0.02,1.0	0.53026	0.0	13.256512	15.437104	1000
MaxPHA	60.0,1.75,0.175,5.0	0.53017	0.0	13.254254	0.0	1000
MaxPHA	20.0,2.0,0.125,1.5	0.511431	0.0	12.785785	0.0	1000
MaxPHA	50.0,1.25,0.2,2.5	0.504507	0.0	12.612668	0.0	1000
MaxPHA	20.0,2.0,0.02,3.0	0.498804	0.0	12.470111	0.0	1000
MaxPHA	20.0,2.0,0.075,4.0	0.491154	0.0	12.278841	0.0	1000
MaxPHA	60.0,1.5,0.075,1.0	0.490909	0.0	12.272718	0.0	1000
MaxPHA	60.0,1.5,0.2,1.0	0.490803	0.0	12.270085	0.0	1000
MaxPHA	60.0,1.5,0.2,2.0	0.479793	0.0	11.99482	0.0	1000
MaxPHA	70.0,2.0,0.2,1.0	0.476309	0.0	11.907727	0.0	1000
MaxPHA	70.0,2.0,0.02,1.0	0.476153	0.0	11.903816	0.0	1000
MaxPHA	20.0,1.75,0.1,1.0	0.472219	0.0	11.805481	0.0	1000
MaxPHA	20.0,1.75,0.05,1.5	0.469491	0.0	11.737274	0.0	1000
MaxPHA	20.0,1.75,0.1,2.0	0.465744	0.0	11.643612	0.0	1000
MaxPHA	20.0,1.75,0.2,2.5	0.461921	0.0	11.54802	0.0	1000
MaxPHA	20.0,1.75,0.05,2.5	0.46056	0.0	11.514009	0.0	1000
MaxPHA	70.0,2.0,0.2,2.5	0.459917	0.0	11.497927	0.0	1000
MaxPHA	60.0,1.5,0.125,4.0	0.457705	0.0	11.442637	0.0	1000
MaxPHA	20.0,1.75,0.125,3.0	0.456451	0.0	11.411272	0.0	1000
MaxPHA	70.0,2.0,0.2,3.0	0.454457	0.0	11.361428	0.0	1000
MaxPHA	40.0,1.0,0.1,2.0	0.451845	0.0	11.296119	0.0	1000
MaxPHA	40.0,1.0,0.02,3.0	0.446134	0.0	11.153354	0.0	1000
MaxPHA	70.0,2.0,0.2,4.0	0.443442	0.0	11.086062	0.0	1000
MaxPHA	20.0,1.75,0.125,5.0	0.442149	0.0	11.053731	0.0	1000
MaxPHA	70.0,2.0,0.02,4.5	0.436772	0.0	10.919288	0.0	1000
MaxPHA	20.0,1.75,0.05,6.0	0.433679	0.0	10.841968	0.0	1000
MaxPHA	70.0,2.0,0.2,5.0	0.43231	0.0	10.807761	0.0	1000
MaxPHA	20.0,1.5,0.075,1.0	0.430018	0.0	10.750448	0.0	1000
MaxPHA	20.0,1.5,0.125,1.0	0.429973	0.0	10.749313	0.0	1000
MaxPHA	20.0,1.5,0.15,1.0	0.429949	0.0	10.748715	0.0	1000
MaxPHA	20.0,1.5,0.175,1.0	0.429916	0.0	10.74789	0.0	1000
MaxPHA	70.0,2.0,0.2,6.0	0.421153	0.0	10.528813	0.0	1000
MaxPHA	70.0,1.75,0.1,0.5	0.420118	0.0	10.502941	0.0	1000
MaxPHA	50.0,1.0,0.05,1.5	0.408539	0.0	10.213468	0.0	1000
MaxPHA	20.0,1.5,0.02,4.0	0.407728	0.0	10.193198	0.0	1000
MaxPHA	60.0,1.25,0.1,1.0	0.407254	0.0	10.181346	0.0	1000
MaxPHA	70.0,1.75,0.125,2.0	0.404562	0.0	10.114056	0.0	1000
MaxPHA	50.0,2.0,0.02,0.5	0.401159	0.0	10.028964	18.637064	1000
MaxPHA	20.0,1.5,0.02,6.0	0.392119	0.0	9.802963	0.0	1000
MaxPHA	70.0,1.75,0.05,4.0	0.382819	0.0	9.570472	0.0	1000
MaxPHA	70.0,1.75,0.1,5.0	0.371612	0.0	9.290301	0.0	1000
MaxPHA	20.0,1.25,0.075,3.0	0.369541	0.0	9.23852	0.0	1000
MaxPHA	30.0,0.75,0.05,1.0	0.356646	0.0	8.916139	0.0	1000
MaxPHA	80.0,2.0,0.05,2.5	0.353325	0.0	8.833119	0.0	1000
MaxPHA	70.0,1.5,0.15,1.5	0.349057	0.0	8.726434	0.0	1000
MaxPHA	70.0,1.5,0.05,3.0	0.332776	0.0	8.319399	0.0	1000
MaxPHA	70.0,1.5,0.175,3.0	0.332527	0.0	8.313174	0.0	1000
MaxPHA	80.0,2.0,0.05,4.5	0.33213	0.0	8.303247	0.0	1000
MaxPHA	60.0,1.0,0.15,1.0	0.325694	0.0	8.142348	0.0	1000
MaxPHA	60.0,1.0,0.15,1.5	0.320045	0.0	8.001137	0.0	1000
MaxPHA	80.0,1.75,0.15,1.5	0.317018	0.0	7.925461	0.0	1000
MaxPHA	80.0,1.75,0.2,1.5	0.316975	0.0	7.92437	0.0	1000
MaxPHA	80.0,2.0,0.125,6.0	0.315268	0.0	7.881708	0.0	1000
MaxPHA	50.0,0.75,0.2,0.5	0.312067	0.0	7.801682	0.0	1000
MaxPHA	80.0,1.75,0.175,3.0	0.300595	0.0	7.514864	0.0	1000
MaxPHA	70.0,1.25,0.175,0.5	0.299028	0.0	7.475707	0.0	1000
MaxPHA	80.0,1.75,0.2,4.0	0.289527	0.0	7.238176	0.0	1000
MaxPHA	70.0,1.25,0.2,1.5	0.288017	0.0	7.20042	0.0	1000
MaxPHA	80.0,1.75,0.125,5.0	0.27879	0.0	6.969758	0.0	1000
MaxPHA	70.0,1.25,0.1,4.0	0.260499	0.0	6.512483	0.0	1000
MaxPHA	10.0,2.0,0.02,3.0	0.258374	0.0	6.459338	0.0	1000
MaxPHA	80.0,1.5,0.2,2.5	0.258354	0.0	6.458861	0.0	1000
