1: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-10', p5_ac2='-18', p6_o22='-7',1,0.58495
2: p1_glu1='-4', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',2,0.262275
3: p1_glu1='-10', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-8', p6_o22='-2',3,0.414795
4: p1_glu1='-10', p2_ac1='-2', p3_o21='-4', p4_glu2='-14', p5_ac2='-8', p6_o22='-6',4,0.548444
5: p1_glu1='-18', p2_ac1='-10', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-4',5,0.351289
6: p1_glu1='-8', p2_ac1='-10', p3_o21='-5', p4_glu2='-2', p5_ac2='-16', p6_o22='-3',6,0.295386
7: p1_glu1='-2', p2_ac1='-2', p3_o21='-3', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',7,0.251775
8: p1_glu1='-2', p2_ac1='-12', p3_o21='-7', p4_glu2='-20', p5_ac2='-16', p6_o22='-7',8,0.577194
9: p1_glu1='-8', p2_ac1='-6', p3_o21='-1', p4_glu2='-14', p5_ac2='-4', p6_o22='-7',9,0.47065
10: p1_glu1='-2', p2_ac1='-18', p3_o21='-5', p4_glu2='-4', p5_ac2='-6', p6_o22='-5',10,0.263716
11: p1_glu1='-14', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',11,0.463962
12: p1_glu1='-20', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-14', p6_o22='-3',12,0.476207
13: p1_glu1='-2', p2_ac1='-14', p3_o21='-6', p4_glu2='-20', p5_ac2='-18', p6_o22='-6',13,0.53627
14: p1_glu1='-18', p2_ac1='-12', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-6',14,0.68736
15: p1_glu1='-4', p2_ac1='-10', p3_o21='-3', p4_glu2='-18', p5_ac2='-14', p6_o22='-6',15,0.493779
