glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-7	-10	-18	-7	0.58495
-4	-4	-2	-12	-2	-1	0.262275
-10	-18	-6	-8	-8	-2	0.414795
-10	-2	-4	-14	-8	-6	0.548444
-18	-10	-1	-2	-14	-4	0.351289
-8	-10	-5	-2	-16	-3	0.295386
-2	-2	-3	-12	-8	-1	0.251775
-2	-12	-7	-20	-16	-7	0.577194
-8	-6	-1	-14	-4	-7	0.47065
-2	-18	-5	-4	-6	-5	0.263716
-14	-12	-4	-4	-10	-7	0.463962
-20	-14	-3	-6	-14	-3	0.476207
-2	-14	-6	-20	-18	-6	0.53627
-18	-12	-4	-16	-18	-6	0.68736
-4	-10	-3	-18	-14	-6	0.493779
-4	-6	-7	-16	-2	-7	0.566767
-4	-10	-6	-14	-16	-6	0.497816
-14	-2	-5	-4	-18	-1	0.365073
-4	0	-5	-16	-14	-7	0.533659
-16	-8	-1	-4	-12	-4	0.36229
-2	-14	-3	-16	-16	-7	0.457384
-4	-8	-4	-4	-4	-6	0.303293
-18	-4	-2	-12	-18	-6	0.581784
-2	-6	-6	-14	-12	-2	0.352888
-20	-16	-3	-10	-12	-7	0.627841
-18	-8	-3	-6	-4	-2	0.423419
-18	-18	-2	-10	0	-6	0.553721
-10	-12	-4	-10	-8	-7	0.513923
-18	-18	-3	-12	-2	-6	0.606789
-18	-10	-5	-16	-12	-3	0.63735
-20	-14	-2	-10	-2	-6	0.581506
-2	-4	-6	-8	-18	-5	0.343708
-4	-12	-5	-16	-16	-3	0.433632
-20	-2	-4	-12	-6	-1	0.534552
-6	-12	-6	-18	-14	-5	0.564753
-2	-14	-4	-2	-10	-6	0.186807
-2	-10	-1	-18	0	-1	0.292837
-18	-18	-7	-12	-2	-5	0.681804
-2	-6	-6	-16	-12	-2	0.380673
-6	0	-1	-12	-8	-7	0.415084
-8	-10	-4	-16	-2	-1	0.423419
-8	-6	-4	-8	-12	-4	0.387301
-6	-8	-5	-16	-12	-1	0.415613
-16	-10	-6	-12	-10	-4	0.604011
-14	-2	-7	-10	0	-4	0.573449
-16	-12	-7	-12	-4	-5	0.65402
-20	-6	-3	-18	-8	-7	0.742927
-16	-10	-6	-12	0	-3	0.579006
-6	-2	-1	-2	-16	-5	0.200737
-16	-14	-7	-12	-2	-5	0.65402
-12	-2	-7	-6	-14	-1	0.415084
-16	-10	-7	-10	-2	-3	0.576227
-12	-2	-1	-12	-12	-2	0.373409
-16	-8	-7	-10	-10	-4	0.601232
-20	-6	-1	-18	-8	-7	0.692917
-6	-10	-3	-20	-8	-2	0.451202
-16	-4	-1	-20	-8	-7	0.665134
-4	-12	-5	-18	-16	-1	0.411404
-20	-8	-1	-18	-2	-7	0.692917
-6	-6	-6	-16	-10	-6	0.561975
-16	-2	-1	-18	-8	-7	0.637351
-12	-16	-1	-4	0	-2	0.262275
-20	-18	-1	-20	-10	-7	0.7207
-20	-10	-7	-12	-2	-7	0.759597
-20	-2	-1	-18	-8	-7	0.692917
-16	-12	-7	-8	0	-7	0.640304
-8	-18	-1	-2	-10	-4	0.212363
-18	-8	-5	-8	0	-7	0.618076
-14	0	-1	-4	0	-2	0.290059
