glu1	ac1	o21	glu2	ac2	o22	sd	fitness
64	-20	-10	-7	-12	-2	-7	0	0.759597
88	-20	-10	-7	-12	0	-7	0	0.759597
177	-14	-2	-7	-18	-8	-7	0	0.759597
183	-14	-6	-7	-18	-8	-7	0	0.759597
361	-20	-8	-6	-20	0	-3	0	0.745705
47	-20	-6	-3	-18	-8	-7	0	0.742927
249	-20	-2	-4	-18	-12	-6	0	0.742927
251	-20	-6	-4	-18	-2	-6	0	0.742927
269	-20	-8	-6	-18	-18	-4	0	0.742927
425	-20	-16	-7	-18	-2	-3	0	0.742927
427	-20	-2	-7	-18	-2	-3	0	0.742927
465	-18	-6	-7	-20	-18	-3	0	0.742927
151	-18	-14	-6	-18	-2	-5	0	0.740149
255	-16	-14	-4	-20	-18	-7	0	0.740149
261	-16	-10	-4	-20	-12	-7	0	0.740149
315	-20	-16	-7	-16	-18	-4	0	0.740149
317	-20	-14	-7	-16	-2	-4	0	0.740149
323	-20	-8	-4	-16	-16	-7	0	0.740149
435	-20	-16	-5	-16	0	-6	0	0.740149
483	-16	-12	-7	-20	-18	-4	0	0.740149
77	-20	-2	-5	-14	-2	-7	0	0.73737
94	-16	-6	-5	-18	-18	-7	0	0.73737
125	-18	-2	-6	-16	-8	-6	0	0.73737
452	-14	-18	-5	-20	-2	-7	0	0.73737
79	-20	-2	-6	-12	-18	-7	0	0.734592
121	-16	-4	-7	-16	-2	-6	0	0.734592
123	-16	-4	-7	-16	-8	-6	0	0.734592
127	-16	0	-7	-16	-18	-6	0	0.734592
175	-14	-8	-7	-16	-4	-7	0	0.731814
63	-20	-18	-1	-20	-10	-7	0	0.7207
357	-20	-2	-5	-20	-4	-3	0	0.7207
363	-20	-14	-5	-20	-4	-3	0	0.7207
200	-20	-14	-2	-18	-6	-7	0	0.717922
247	-20	0	-4	-18	-14	-5	0	0.717922
253	-20	-8	-4	-18	-4	-5	0	0.717922
271	-20	0	-5	-18	-2	-4	0	0.717922
273	-20	0	-5	-18	0	-4	0	0.717922
319	-20	-18	-6	-16	-10	-4	0	0.715144
257	-14	-14	-4	-20	-12	-7	0	0.712365
275	-14	-8	-7	-20	-18	-4	0	0.712365
321	-18	-14	-4	-16	0	-7	0	0.712365
331	-14	-4	-5	-20	0	-6	0	0.712365
391	-16	-6	-4	-18	-14	-7	0	0.712365
83	-20	-2	-5	-12	-2	-7	0	0.709587
90	-20	-12	-5	-12	0	-7	0	0.709587
96	-18	-8	-5	-14	-8	-7	0	0.709587
129	-16	-2	-7	-16	-12	-5	0	0.709587
131	-16	-2	-6	-16	-10	-6	0	0.709587
101	-18	-10	-6	-12	0	-7	0	0.706809
105	-18	-12	-6	-12	0	-7	0	0.706809
103	-16	-10	-7	-12	0	-7	0	0.70403
303	-20	-18	-7	-8	-16	-7	0	0.695874
130	-20	0	-6	-20	-8	-1	0	0.695695
355	-20	-4	-4	-20	0	-3	0	0.695695
359	-20	-10	-4	-20	-18	-3	0	0.695695
55	-20	-6	-1	-18	-8	-7	0	0.692917
59	-20	-8	-1	-18	-2	-7	0	0.692917
65	-20	-2	-1	-18	-8	-7	0	0.692917
468	-18	-4	-6	-20	-18	-2	0	0.692917
343	-20	-14	-2	-16	-14	-7	0	0.690139
14	-18	-12	-4	-16	-18	-6	0	0.68736
327	-14	-10	-4	-20	-4	-6	0	0.68736
329	-14	-4	-4	-20	-2	-6	0	0.68736
87	-20	-6	-4	-12	-10	-7	0	0.684582
325	-14	-8	-5	-18	-4	-6	0	0.684582
38	-18	-18	-7	-12	-2	-5	0	0.681804
380	-18	-8	-7	-12	-6	-5	0	0.681804
436	-12	-4	-5	-18	-2	-7	0	0.681804
99	-16	-8	-6	-12	0	-7	0	0.679025
295	-20	-12	-7	-8	-2	-6	0	0.674545
297	-20	-16	-7	-8	-8	-6	0	0.674545
301	-20	-10	-7	-8	-4	-6	0	0.674545
215	-20	-18	-3	-18	-16	-4	0	0.667912
217	-20	-6	-3	-18	-8	-4	0	0.667912
219	-20	-10	-3	-18	-10	-4	0	0.667912
221	-20	-14	-3	-18	-4	-4	0	0.667912
223	-20	-2	-3	-18	-16	-4	0	0.667912
370	-18	-10	-3	-20	-8	-4	0	0.667912
57	-16	-4	-1	-20	-8	-7	0	0.665134
152	-16	0	-2	-20	-8	-6	0	0.665134
155	-18	-6	-2	-18	-12	-6	0	0.665134
280	-20	-2	-7	-16	-10	-1	0	0.665134
337	-20	-14	-1	-16	-8	-7	0	0.665134
339	-20	-10	-1	-16	-16	-7	0	0.665134
341	-20	-12	-1	-16	-6	-7	0	0.665134
85	-20	-2	-2	-14	-8	-7	0	0.662355
106	-18	-6	-6	-16	-10	-3	0	0.662355
296	-20	-16	-2	-14	-18	-7	0	0.662355
220	-16	-10	-5	-14	0	-6	0	0.656799
46	-16	-12	-7	-12	-4	-5	0	0.65402
50	-16	-14	-7	-12	-2	-5	0	0.65402
172	-14	-4	-6	-14	-18	-6	0	0.65402
97	-12	-10	-7	-14	-14	-6	0	0.651242
286	-16	-6	-7	-10	-14	-6	0	0.650968
299	-20	-14	-6	-8	-18	-6	0	0.649539
308	-20	-14	-6	-8	-16	-6	0	0.649539
481	-20	-10	-5	-8	-10	-7	0	0.645861
150	-8	-10	-7	-18	-12	-6	0	0.643082
66	-16	-12	-7	-8	0	-7	0	0.640304
93	-18	-12	-6	-18	-10	-1	0	0.640129
410	-16	-16	-1	-20	-8	-6	0	0.640129
459	-20	0	-6	-6	-8	-7	0	0.638874
461	-20	0	-6	-6	-12	-7	0	0.638874
61	-16	-2	-1	-18	-8	-7	0	0.637351
333	-14	0	-2	-20	-6	-6	0	0.637351
30	-18	-10	-5	-16	-12	-3	0	0.63735
384	-18	-2	-4	-16	-16	-4	0	0.63735
344	-18	0	-4	-14	-2	-5	0	0.634572
378	-16	-2	-5	-16	-18	-4	0	0.634572
228	-12	-14	-4	-18	-14	-6	0	0.631794
397	-14	0	-7	-16	0	-3	0	0.631794
442	-20	-2	-5	-10	-14	-5	0	0.631794
484	-14	-10	-4	-16	-4	-6	0	0.631794
450	-10	-16	-4	-18	-10	-7	0	0.629016
298	-8	0	-5	-20	-10	-6	0	0.62821
25	-20	-16	-3	-10	-12	-7	0	0.627841
270	-10	-18	-7	-20	-18	-3	0	0.627841
349	-20	-12	-1	-20	-14	-3	0	0.62068
68	-18	-8	-5	-8	0	-7	0	0.618076
254	-16	0	-5	-20	-14	-1	0	0.615124
80	-20	0	-7	-12	-2	-1	0	0.609567
81	-20	0	-1	-12	-14	-7	0	0.609567
234	-18	-8	-4	-14	-16	-4	0	0.609567
292	-14	-10	-5	-18	-8	-3	0	0.609567
412	-16	-6	-3	-16	-6	-5	0	0.609567
418	-16	-8	-1	-16	-8	-7	0	0.609567
29	-18	-18	-3	-12	-2	-6	0	0.606789
399	-14	0	-7	-16	-12	-2	0	0.606789
403	-14	0	-7	-16	-10	-2	0	0.606789
44	-16	-10	-6	-12	-10	-4	0	0.604011
208	-18	0	-6	-10	-8	-4	0	0.604011
302	-18	-6	-7	-10	-14	-3	0	0.604011
366	-10	0	-3	-18	-12	-7	0	0.604011
146	-14	-16	-5	-14	-18	-5	0	0.60401
89	-10	-14	-6	-18	-8	-4	0	0.603734
54	-16	-8	-7	-10	-10	-4	0	0.601232
322	-10	-16	-5	-16	-12	-6	0	0.601232
402	-16	-14	-7	-10	-6	-4	0	0.601232
389	-10	-18	-7	-16	-12	-4	0	0.597278
439	-20	-14	-4	-16	-2	-1	0	0.590119
443	-18	-16	-3	-18	-2	-2	0	0.590119
495	-20	-4	-4	-16	-14	-1	0	0.590119
1	-10	-18	-7	-10	-18	-7	0	0.58495
23	-18	-4	-2	-12	-18	-6	0	0.581784
395	-14	-2	-7	-16	-4	-1	0	0.581784
401	-14	0	-7	-16	-10	-1	0	0.581784
430	-18	-12	-5	-12	-4	-3	0	0.581784
432	-14	-6	-4	-16	-10	-4	0	0.581784
31	-20	-14	-2	-10	-2	-6	0	0.581506
499	-14	-16	-7	-6	-8	-7	0	0.580525
48	-16	-10	-6	-12	0	-3	0	0.579006
170	-18	-6	-4	-10	-16	-5	0	0.579006
358	-20	-12	-6	-8	-6	-3	0	0.579005
8	-2	-12	-7	-20	-16	-7	0	0.577194
52	-16	-10	-7	-10	-2	-3	0	0.576227
328	-12	-8	-6	-14	-12	-4	0	0.576227
45	-14	-2	-7	-10	0	-4	0	0.573449
128	-10	-18	-5	-12	0	-7	0	0.570671
76	-18	-18	-3	-8	0	-7	0	0.568063
16	-4	-6	-7	-16	-2	-7	0	0.566767
326	-6	-8	-5	-16	-6	-7	0	0.565652
390	-20	-12	-1	-16	-8	-3	0	0.565114
441	-18	-12	-3	-18	-4	-1	0	0.565114
35	-6	-12	-6	-18	-14	-5	0	0.564753
73	-20	-10	-2	-14	-14	-3	0	0.562335
60	-6	-6	-6	-16	-10	-6	0	0.561975
117	-16	-18	-1	-14	-18	-6	0	0.556779
159	-20	-10	-5	-10	-4	-2	0	0.556779
166	-16	-8	-4	-14	-10	-3	0	0.556779
340	-20	-12	-3	-10	-2	-4	0	0.556779
368	-14	-4	-3	-16	-18	-4	0	0.556779
400	-14	-14	-6	-16	-12	-1	0	0.556779
416	-16	-16	-6	-14	-12	-1	0	0.556779
428	-10	-4	-2	-20	-6	-5	0	0.556779
469	-18	-8	-6	-12	-18	-1	0	0.556779
240	-10	-16	-6	-20	-18	-1	0	0.556499
394	-8	-8	-4	-20	-8	-4	0	0.554
404	-12	-2	-7	-16	0	-1	0	0.554
476	-14	-16	-5	-14	-4	-3	0	0.554
27	-18	-18	-2	-10	0	-6	0	0.553721
420	-20	-16	-5	-6	-4	-4	0	0.54988
4	-10	-2	-4	-14	-8	-6	0	0.548444
284	-8	-18	-6	-18	-6	-3	0	0.546734
